Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2016-07-09T12:50:25Z,30.3129310,-97.7326380,209.6,3.9,88,0.0
2016-07-09T12:50:26Z,30.3128920,-97.7326390,209.6,8.0,88,0.0
2016-07-09T12:50:27Z,30.3128610,-97.7326310,209.6,12.0,87,0.0
2016-07-09T12:50:28Z,30.3128230,-97.7326170,210.0,16.2,88,14.76
2016-07-09T12:50:29Z,30.3127880,-97.7325920,210.2,20.3,88,14.76
2016-07-09T12:50:30Z,30.3127540,-97.7325630,210.2,24.8,88,15.120000000000001
2016-07-09T12:50:31Z,30.3127150,-97.7325470,210.0,29.3,88,15.48
2016-07-09T12:50:32Z,30.3126770,-97.7325470,209.6,33.8,88,15.840000000000002
2016-07-09T12:50:33Z,30.3126330,-97.7325450,209.6,38.3,89,15.840000000000002
2016-07-09T12:50:34Z,30.3125910,-97.7325610,209.6,43.3,90,16.56
2016-07-09T12:50:35Z,30.3125280,-97.7325760,209.4,48.2,90,16.92
2016-07-09T12:50:36Z,30.3124740,-97.7325820,209.4,53.5,91,17.28
2016-07-09T12:50:37Z,30.3124210,-97.7325880,209.4,59.1,92,18.36
2016-07-09T12:50:38Z,30.3123630,-97.7325980,209.4,64.6,92,19.08
2016-07-09T12:50:39Z,30.3123070,-97.7326090,209.2,70.5,93,19.44
2016-07-09T12:50:40Z,30.3122560,-97.7326170,209.2,76.4,94,20.16
2016-07-09T12:50:41Z,30.3121930,-97.7326230,209.0,82.6,94,20.88
2016-07-09T12:50:42Z,30.3121390,-97.7326330,209.0,88.8,94,21.240000000000002
2016-07-09T12:50:43Z,30.3120770,-97.7326440,208.8,95.1,95,21.96
2016-07-09T12:50:44Z,30.3120190,-97.7326570,208.8,101.5,95,22.32
2016-07-09T12:50:45Z,30.3119620,-97.7326710,208.6,107.9,95,22.68
2016-07-09T12:50:46Z,30.3119080,-97.7326850,208.6,114.2,95,22.68
2016-07-09T12:50:47Z,30.3118500,-97.7326960,208.4,120.5,94,22.68
2016-07-09T12:50:48Z,30.3117910,-97.7327090,208.4,126.7,94,22.68
2016-07-09T12:50:49Z,30.3117350,-97.7327260,208.2,132.8,95,22.68
2016-07-09T12:50:50Z,30.3116840,-97.7327410,208.0,138.9,95,22.32
2016-07-09T12:50:51Z,30.3116280,-97.7327510,208.0,144.9,94,21.96
2016-07-09T12:50:52Z,30.3115820,-97.7327610,207.8,150.9,93,21.96
2016-07-09T12:50:53Z,30.3115230,-97.7327770,207.8,156.8,93,21.6
2016-07-09T12:50:54Z,30.3114720,-97.7327920,207.8,162.7,92,21.6
2016-07-09T12:50:55Z,30.3114220,-97.7328120,207.8,168.4,91,21.240000000000002
2016-07-09T12:50:56Z,30.3113720,-97.7328280,207.6,174.1,89,20.88
2016-07-09T12:50:57Z,30.3113260,-97.7328470,207.6,179.7,89,20.88
2016-07-09T12:50:58Z,30.3112760,-97.7328650,207.6,185.6,88,20.88
2016-07-09T12:50:59Z,30.3112200,-97.7328860,207.6,191.6,88,20.88
2016-07-09T12:51:00Z,30.3111690,-97.7329070,207.6,197.6,88,20.88
2016-07-09T12:51:01Z,30.3111260,-97.7329270,207.8,203.6,88,21.240000000000002
2016-07-09T12:51:02Z,30.3110960,-97.7329400,207.8,208.4,87,20.52
2016-07-09T12:51:03Z,30.3110720,-97.7329490,207.8,211.9,87,19.08
2016-07-09T12:51:04Z,30.3110600,-97.7329540,207.6,214.4,87,16.56
2016-07-09T12:51:05Z,30.3110530,-97.7329580,207.6,216.9,87,14.04
2016-07-09T12:51:06Z,30.3110510,-97.7329580,207.6,216.9,88,9.72
2016-07-09T12:51:28Z,30.3110390,-97.7329930,207.6,216.9,77,0.0
2016-07-09T12:51:29Z,30.3110280,-97.7330020,207.8,219.5,78,0.36000000000000004
2016-07-09T12:51:30Z,30.3109920,-97.7330330,207.6,222.2,78,0.7200000000000001
2016-07-09T12:51:31Z,30.3109570,-97.7330560,207.6,225.3,80,1.08
2016-07-09T12:51:32Z,30.3109280,-97.7330740,207.6,229.3,82,1.8
2016-07-09T12:51:33Z,30.3108900,-97.7330950,207.6,233.6,83,1.8
2016-07-09T12:51:34Z,30.3108560,-97.7331130,207.4,238.0,85,13.32
2016-07-09T12:51:35Z,30.3108200,-97.7331280,207.4,242.6,86,14.76
2016-07-09T12:51:36Z,30.3107710,-97.7331520,207.2,247.7,88,16.2
2016-07-09T12:51:37Z,30.3107330,-97.7331750,207.2,252.7,89,16.92
2016-07-09T12:51:38Z,30.3106870,-97.7332030,207.2,257.8,90,17.28
2016-07-09T12:51:39Z,30.3106440,-97.7332300,207.2,263.0,91,18.0
2016-07-09T12:51:40Z,30.3106040,-97.7332560,207.0,268.7,93,18.720000000000002
2016-07-09T12:51:41Z,30.3105530,-97.7332860,207.0,274.4,95,19.08
2016-07-09T12:51:42Z,30.3105100,-97.7333150,206.8,280.2,95,19.8
2016-07-09T12:51:43Z,30.3104620,-97.7333480,206.8,286.0,96,20.16
2016-07-09T12:51:44Z,30.3104170,-97.7333780,206.8,291.9,97,20.88
2016-07-09T12:51:45Z,30.3103710,-97.7334070,206.6,297.9,97,20.88
2016-07-09T12:51:46Z,30.3103240,-97.7334360,206.8,304.0,97,21.240000000000002
2016-07-09T12:51:47Z,30.3102750,-97.7334680,206.6,310.2,96,21.6
2016-07-09T12:51:48Z,30.3102230,-97.7335010,206.6,316.3,96,21.96
