Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2016-04-04T21:59:47Z,30.3227070,-97.7533250,159.0,0.0,76,0.0
2016-04-04T21:59:48Z,30.3227070,-97.7533250,159.2,0.0,76,0.0
2016-04-04T21:59:49Z,30.3227080,-97.7533270,160.2,0.0,77,0.0
2016-04-04T21:59:50Z,30.3227160,-97.7533330,161.2,0.0,78,0.0
2016-04-04T21:59:51Z,30.3227280,-97.7533410,165.4,0.0,79,0.0
2016-04-04T21:59:52Z,30.3227430,-97.7533530,165.4,1.8,80,1.4400000000000002
2016-04-04T21:59:53Z,30.3227640,-97.7533640,165.4,4.0,80,2.8800000000000003
2016-04-04T21:59:54Z,30.3227850,-97.7533650,165.4,7.0,79,5.04
2016-04-04T21:59:55Z,30.3228130,-97.7533560,165.4,9.7,78,6.84
2016-04-04T21:59:56Z,30.3228310,-97.7533400,165.4,12.6,78,9.0
2016-04-04T21:59:57Z,30.3228560,-97.7533230,165.4,15.8,78,10.08
2016-04-04T21:59:58Z,30.3228830,-97.7533050,165.4,19.3,78,11.16
2016-04-04T21:59:59Z,30.3229060,-97.7532900,165.4,22.9,79,11.520000000000001
2016-04-04T22:00:00Z,30.3229360,-97.7532710,165.4,26.5,79,12.24
2016-04-04T22:00:01Z,30.3229680,-97.7532510,165.4,30.4,81,12.96
2016-04-04T22:00:02Z,30.3230000,-97.7532310,165.4,34.5,81,13.32
2016-04-04T22:00:03Z,30.3230310,-97.7532100,165.4,38.5,83,13.68
2016-04-04T22:00:04Z,30.3230600,-97.7531900,165.4,42.5,83,14.04
2016-04-04T22:00:05Z,30.3230940,-97.7531650,165.4,46.5,83,14.4
2016-04-04T22:00:06Z,30.3231220,-97.7531420,165.4,50.6,84,14.4
2016-04-04T22:00:07Z,30.3231540,-97.7531170,165.4,54.8,85,14.76
2016-04-04T22:00:08Z,30.3231860,-97.7530980,165.4,58.8,85,14.76
2016-04-04T22:00:09Z,30.3232130,-97.7530800,165.4,62.6,84,14.4
2016-04-04T22:00:10Z,30.3232450,-97.7530590,165.4,66.3,84,14.4
2016-04-04T22:00:11Z,30.3232740,-97.7530410,165.4,69.9,84,14.04
2016-04-04T22:00:12Z,30.3232980,-97.7530250,165.4,73.4,84,13.32
2016-04-04T22:00:13Z,30.3233260,-97.7530070,165.4,76.8,84,12.96
2016-04-04T22:00:14Z,30.3233490,-97.7529920,165.4,80.2,85,12.6
2016-04-04T22:00:15Z,30.3233710,-97.7529720,165.4,83.3,86,12.24
2016-04-04T22:00:16Z,30.3233870,-97.7529530,165.4,86.1,87,11.520000000000001
2016-04-04T22:00:17Z,30.3234020,-97.7529380,165.4,88.8,88,11.16
2016-04-04T22:00:18Z,30.3234180,-97.7529230,165.4,91.1,88,10.44
2016-04-04T22:00:19Z,30.3234350,-97.7529040,165.4,93.5,88,9.72
2016-04-04T22:00:20Z,30.3234500,-97.7528810,165.4,95.9,88,9.0
2016-04-04T22:00:21Z,30.3234590,-97.7528520,165.4,98.4,87,9.0
2016-04-04T22:00:22Z,30.3234610,-97.7528200,165.4,101.2,86,9.0
2016-04-04T22:00:23Z,30.3234550,-97.7527860,165.4,104.3,86,9.360000000000001
2016-04-04T22:00:24Z,30.3234460,-97.7527570,165.4,107.6,85,10.08
2016-04-04T22:00:25Z,30.3234280,-97.7527160,165.4,111.2,85,11.16
2016-04-04T22:00:26Z,30.3234090,-97.7526790,165.4,115.0,85,11.879999999999999
2016-04-04T22:00:27Z,30.3233900,-97.7526400,165.4,119.2,86,12.96
2016-04-04T22:00:28Z,30.3233690,-97.7525970,165.4,123.6,86,14.04
2016-04-04T22:00:29Z,30.3233500,-97.7525590,165.4,128.1,87,14.76
2016-04-04T22:00:30Z,30.3233270,-97.7525160,165.4,132.9,88,15.48
2016-04-04T22:00:31Z,30.3233190,-97.7524970,165.4,137.8,89,16.56
2016-04-04T22:00:32Z,30.3232800,-97.7524160,165.4,142.9,90,16.92
2016-04-04T22:00:33Z,30.3232560,-97.7523660,165.4,148.1,91,17.64
2016-04-04T22:00:34Z,30.3232360,-97.7523210,165.4,153.5,91,18.36
2016-04-04T22:00:35Z,30.3232090,-97.7522650,165.4,158.9,91,18.720000000000002
2016-04-04T22:00:36Z,30.3231870,-97.7522140,165.4,164.4,91,19.08
2016-04-04T22:00:37Z,30.3231590,-97.7521550,165.4,170.1,90,19.44
2016-04-04T22:00:38Z,30.3231360,-97.7521050,165.4,175.6,88,19.8
2016-04-04T22:00:39Z,30.3231180,-97.7520670,165.4,180.5,87,19.44
2016-04-04T22:00:40Z,30.3230970,-97.7520310,165.4,184.7,87,18.720000000000002
2016-04-04T22:00:41Z,30.3230820,-97.7520060,165.4,188.0,87,16.92
2016-04-04T22:00:42Z,30.3230700,-97.7519860,165.4,190.5,86,14.76
2016-04-04T22:00:43Z,30.3230610,-97.7519760,165.4,193.0,85,12.6
2016-04-04T22:00:44Z,30.3230550,-97.7519680,165.4,194.8,85,10.44
2016-04-04T22:00:45Z,30.3230500,-97.7519580,165.4,196.1,84,8.28
2016-04-04T22:00:46Z,30.3230490,-97.7519560,165.4,196.1,84,5.760000000000001
2016-04-04T22:00:47Z,30.3230480,-97.7519550,165.4,196.1,85,3.9600000000000004
2016-04-04T22:00:48Z,30.3230490,-97.7519570,165.4,196.1,86,2.16
2016-04-04T22:00:49Z,30.3230490,-97.7519580,165.4,196.1,86,1.08
2016-04-04T22:00:50Z,30.3230490,-97.7519580,165.4,196.1,85,0.0
2016-04-04T22:00:51Z,30.3230490,-97.7519590,165.4,196.1,85,0.0
2016-04-04T22:00:52Z,30.3230490,-97.7519580,165.4,196.1,84,0.0
2016-04-04T22:00:53Z,30.3230490,-97.7519590,165.4,196.1,84,0.0
2016-04-04T22:00:54Z,30.3230500,-97.7519620,165.4,196.1,84,0.0
2016-04-04T22:00:55Z,30.3230510,-97.7519640,165.4,196.1,84,0.0
2016-04-04T22:00:56Z,30.3230510,-97.7519650,165.4,196.1,84,0.0
2016-04-04T22:00:57Z,30.3230520,-97.7519670,165.4,196.1,83,0.0
2016-04-04T22:00:58Z,30.3230530,-97.7519700,165.4,196.1,83,0.0
2016-04-04T22:00:59Z,30.3230530,-97.7519700,165.4,196.1,81,0.0
2016-04-04T22:01:00Z,30.3230530,-97.7519700,165.4,196.1,80,0.0
2016-04-04T22:01:01Z,30.3230520,-97.7519680,165.4,196.1,80,0.0
2016-04-04T22:01:02Z,30.3230540,-97.7519660,165.4,196.1,80,0.0
2016-04-04T22:01:03Z,30.3230570,-97.7519660,165.4,196.1,80,0.0
2016-04-04T22:01:04Z,30.3230570,-97.7519650,165.4,196.1,80,0.0
2016-04-04T22:01:05Z,30.3230570,-97.7519630,165.4,196.1,79,0.0
2016-04-04T22:01:06Z,30.3230570,-97.7519630,165.4,196.1,78,0.0
2016-04-04T22:01:07Z,30.3230560,-97.7519610,165.4,196.1,77,0.0
2016-04-04T22:01:08Z,30.3230560,-97.7519580,165.4,196.1,77,0.0
2016-04-04T22:01:09Z,30.3230550,-97.7519560,165.4,196.1,76,0.0
2016-04-04T22:01:10Z,30.3230550,-97.7519540,165.4,196.1,76,0.0
2016-04-04T22:01:11Z,30.3230550,-97.7519530,165.4,196.1,76,0.0
2016-04-04T22:01:12Z,30.3230550,-97.7519510,165.4,196.1,76,0.0
2016-04-04T22:01:13Z,30.3230540,-97.7519490,165.4,196.1,76,0.0
2016-04-04T22:01:14Z,30.3230550,-97.7519480,165.4,196.1,76,0.0
2016-04-04T22:01:15Z,30.3230530,-97.7519470,165.4,196.1,75,0.0
2016-04-04T22:01:16Z,30.3230490,-97.7519430,165.4,196.1,75,0.0
2016-04-04T22:01:17Z,30.3230420,-97.7519330,165.4,196.1,75,0.0
2016-04-04T22:01:18Z,30.3230420,-97.7519330,165.4,196.1,75,0.0
2016-04-04T22:01:19Z,30.3230360,-97.7519180,165.4,196.1,76,0.0
2016-04-04T22:01:20Z,30.3230400,-97.7518740,165.4,198.0,76,1.4400000000000002
2016-04-04T22:01:21Z,30.3230560,-97.7518440,165.4,199.9,77,2.8800000000000003
2016-04-04T22:01:22Z,30.3230820,-97.7518110,165.4,203.2,78,5.04
2016-04-04T22:01:23Z,30.3231180,-97.7517830,165.4,208.0,79,8.64
2016-04-04T22:01:24Z,30.3231570,-97.7517550,165.4,212.8,80,11.879999999999999
2016-04-04T22:01:25Z,30.3232060,-97.7517270,165.4,218.3,82,14.76
2016-04-04T22:01:26Z,30.3232540,-97.7517000,165.4,224.0,84,17.28
2016-04-04T22:01:27Z,30.3233020,-97.7516710,165.4,229.6,85,19.08
2016-04-04T22:01:28Z,30.3233500,-97.7516430,165.4,235.5,87,19.8
2016-04-04T22:01:29Z,30.3233950,-97.7516190,165.4,241.5,88,20.52
2016-04-04T22:01:30Z,30.3234460,-97.7515920,165.4,247.7,90,21.240000000000002
2016-04-04T22:01:31Z,30.3235010,-97.7515630,165.4,253.9,91,21.6
2016-04-04T22:01:32Z,30.3235520,-97.7515340,165.4,260.2,92,21.96
2016-04-04T22:01:33Z,30.3236040,-97.7515050,165.4,266.4,93,22.32
2016-04-04T22:01:34Z,30.3236540,-97.7514750,165.4,272.8,93,22.68
2016-04-04T22:01:35Z,30.3237100,-97.7514460,165.4,279.2,94,22.68
2016-04-04T22:01:36Z,30.3237600,-97.7514130,165.4,285.7,94,23.040000000000003
2016-04-04T22:01:37Z,30.3238190,-97.7513810,165.4,292.1,93,23.040000000000003
2016-04-04T22:01:38Z,30.3238670,-97.7513510,165.4,298.7,93,23.400000000000002
2016-04-04T22:01:39Z,30.3239170,-97.7513220,165.4,305.2,93,23.400000000000002
2016-04-04T22:01:40Z,30.3239720,-97.7512920,165.4,311.5,92,23.400000000000002
