Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2016-08-21T14:57:02Z,30.3135240,-97.7333420,208.4,0.0,91,0.0
2016-08-21T14:57:03Z,30.3135310,-97.7333560,208.6,2.3,92,0.0
2016-08-21T14:57:04Z,30.3135480,-97.7333760,208.6,4.8,91,8.64
2016-08-21T14:57:05Z,30.3135630,-97.7333900,208.6,7.4,90,9.0
2016-08-21T14:57:06Z,30.3135810,-97.7334000,208.4,9.5,88,8.64
2016-08-21T14:57:07Z,30.3135970,-97.7334070,208.4,11.3,88,8.28
2016-08-21T14:57:08Z,30.3136150,-97.7334080,208.2,13.3,87,7.920000000000001
2016-08-21T14:57:09Z,30.3136360,-97.7334020,208.2,15.2,87,7.5600000000000005
2016-08-21T14:57:10Z,30.3136570,-97.7333920,208.2,17.6,85,7.2
2016-08-21T14:57:11Z,30.3136750,-97.7333790,208.2,20.0,85,7.5600000000000005
2016-08-21T14:57:12Z,30.3136900,-97.7333670,208.2,22.4,85,7.920000000000001
2016-08-21T14:57:13Z,30.3137110,-97.7333680,208.2,24.6,85,8.28
2016-08-21T14:57:14Z,30.3137320,-97.7333730,208.2,26.6,85,8.28
2016-08-21T14:57:15Z,30.3137550,-97.7333780,208.2,28.6,86,7.920000000000001
2016-08-21T14:57:16Z,30.3137790,-97.7333800,208.2,31.1,86,7.920000000000001
2016-08-21T14:57:17Z,30.3138050,-97.7333800,208.4,33.9,88,8.28
2016-08-21T14:57:18Z,30.3138330,-97.7333820,208.4,36.8,88,8.64
2016-08-21T14:57:19Z,30.3138600,-97.7333810,208.4,39.7,90,9.360000000000001
2016-08-21T14:57:20Z,30.3138820,-97.7333780,208.4,42.5,91,10.08
2016-08-21T14:57:21Z,30.3139040,-97.7333760,208.6,45.3,92,10.08
2016-08-21T14:57:22Z,30.3139310,-97.7333770,208.6,48.0,93,10.08
2016-08-21T14:57:23Z,30.3139590,-97.7333780,208.6,50.9,95,10.08
2016-08-21T14:57:24Z,30.3139860,-97.7333800,208.8,53.7,95,10.08
2016-08-21T14:57:25Z,30.3140150,-97.7333820,209.0,56.5,97,10.08
2016-08-21T14:57:26Z,30.3140470,-97.7333840,209.0,59.5,98,10.08
2016-08-21T14:57:27Z,30.3140750,-97.7333840,209.2,62.8,98,10.8
2016-08-21T14:57:28Z,30.3141030,-97.7333830,209.2,66.3,98,11.16
2016-08-21T14:57:29Z,30.3141380,-97.7333820,209.4,69.9,97,11.520000000000001
2016-08-21T14:57:30Z,30.3141730,-97.7333810,209.4,73.5,97,12.24
2016-08-21T14:57:31Z,30.3142120,-97.7333820,209.4,77.3,98,12.96
2016-08-21T14:57:32Z,30.3142460,-97.7333810,209.4,81.1,98,13.32
2016-08-21T14:57:33Z,30.3142800,-97.7333820,209.4,84.9,98,13.32
2016-08-21T14:57:34Z,30.3143140,-97.7333840,209.6,88.5,99,13.32
2016-08-21T14:57:35Z,30.3143460,-97.7333850,209.6,92.0,99,13.32
2016-08-21T14:57:36Z,30.3143780,-97.7333860,209.6,95.6,100,13.32
2016-08-21T14:57:37Z,30.3144100,-97.7333850,209.6,99.2,100,12.96
2016-08-21T14:57:38Z,30.3144440,-97.7333880,209.8,102.6,99,12.6
2016-08-21T14:57:39Z,30.3144760,-97.7333920,209.8,105.8,98,12.6
2016-08-21T14:57:40Z,30.3145040,-97.7333980,210.0,108.8,97,12.24
2016-08-21T14:57:41Z,30.3145340,-97.7334000,210.0,111.8,96,11.520000000000001
2016-08-21T14:57:42Z,30.3145650,-97.7334060,210.0,114.6,95,11.16
2016-08-21T14:57:43Z,30.3145920,-97.7334100,210.0,117.2,95,10.44
2016-08-21T14:57:44Z,30.3146220,-97.7334110,210.0,119.9,95,10.08
2016-08-21T14:57:45Z,30.3146530,-97.7334110,210.2,123.0,95,10.08
2016-08-21T14:57:46Z,30.3146830,-97.7334090,210.2,126.4,95,10.44
2016-08-21T14:57:47Z,30.3147140,-97.7334120,210.4,129.7,94,10.8
2016-08-21T14:57:48Z,30.3147430,-97.7334170,210.4,132.9,94,11.16
2016-08-21T14:57:49Z,30.3147680,-97.7334170,210.4,135.9,94,11.520000000000001
2016-08-21T14:57:50Z,30.3147950,-97.7334220,210.4,138.8,95,11.520000000000001
2016-08-21T14:57:51Z,30.3148200,-97.7334260,210.6,141.8,95,11.16
2016-08-21T14:57:52Z,30.3148430,-97.7334270,210.6,144.6,95,10.8
2016-08-21T14:57:53Z,30.3148670,-97.7334250,210.6,147.4,95,10.44
2016-08-21T14:57:54Z,30.3148910,-97.7334190,210.8,149.9,96,10.08
2016-08-21T14:57:55Z,30.3149100,-97.7334110,211.0,152.5,96,9.72
2016-08-21T14:57:56Z,30.3149290,-97.7334030,211.0,154.8,97,9.360000000000001
