Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2016-07-30T13:03:23Z,30.3134240,-97.7326850,180.2,0.0,77,0.0
2016-07-30T13:03:24Z,30.3134230,-97.7326840,180.4,0.0,77,0.0
2016-07-30T13:03:28Z,30.3133650,-97.7326950,180.8,0.0,77,0.0
2016-07-30T13:03:29Z,30.3133480,-97.7326960,180.8,2.4,77,1.8
2016-07-30T13:03:30Z,30.3133210,-97.7326970,180.8,4.9,78,2.8800000000000003
2016-07-30T13:03:31Z,30.3133010,-97.7327000,180.8,7.4,79,3.9600000000000004
2016-07-30T13:03:32Z,30.3132710,-97.7327000,180.8,10.0,79,4.680000000000001
2016-07-30T13:03:33Z,30.3132500,-97.7327050,180.8,12.7,79,9.0
2016-07-30T13:03:34Z,30.3132300,-97.7327100,180.8,15.6,79,9.360000000000001
2016-07-30T13:03:35Z,30.3132080,-97.7327040,180.6,18.5,79,9.72
2016-07-30T13:03:36Z,30.3131830,-97.7327090,180.6,21.7,80,10.44
2016-07-30T13:03:37Z,30.3131580,-97.7327100,180.6,25.0,80,10.8
2016-07-30T13:03:38Z,30.3131270,-97.7327120,180.4,28.4,80,11.16
2016-07-30T13:03:39Z,30.3130960,-97.7327140,180.4,31.9,80,11.879999999999999
2016-07-30T13:03:40Z,30.3130650,-97.7327210,180.2,35.5,80,12.24
2016-07-30T13:03:41Z,30.3130290,-97.7327210,180.0,39.2,80,12.6
2016-07-30T13:03:42Z,30.3129910,-97.7327230,180.0,43.0,79,12.96
2016-07-30T13:03:43Z,30.3129530,-97.7327260,179.8,46.9,79,13.32
2016-07-30T13:03:44Z,30.3129220,-97.7327380,179.8,50.8,79,13.68
2016-07-30T13:03:45Z,30.3128880,-97.7327390,179.8,54.8,79,14.04
2016-07-30T13:03:46Z,30.3128460,-97.7327300,179.8,58.7,79,14.04
2016-07-30T13:03:47Z,30.3128100,-97.7327120,179.8,62.9,78,14.4
2016-07-30T13:03:48Z,30.3127700,-97.7326880,179.8,67.0,78,14.4
2016-07-30T13:03:49Z,30.3127280,-97.7326610,179.8,71.2,77,14.76
2016-07-30T13:03:50Z,30.3126880,-97.7326420,179.8,75.7,77,15.120000000000001
2016-07-30T13:03:51Z,30.3126470,-97.7326320,179.6,80.0,77,15.48
2016-07-30T13:03:52Z,30.3126050,-97.7326280,179.6,84.3,77,15.48
2016-07-30T13:03:53Z,30.3125640,-97.7326290,179.6,88.9,78,15.840000000000002
2016-07-30T13:03:54Z,30.3125180,-97.7326410,179.6,93.6,80,16.2
2016-07-30T13:03:55Z,30.3124780,-97.7326420,179.8,98.6,80,16.56
2016-07-30T13:03:56Z,30.3124190,-97.7326430,180.0,103.9,82,17.28
2016-07-30T13:03:57Z,30.3123710,-97.7326480,180.2,109.3,83,18.0
2016-07-30T13:03:58Z,30.3123200,-97.7326530,180.2,114.9,84,18.720000000000002
2016-07-30T13:03:59Z,30.3122720,-97.7326560,180.2,120.5,84,19.44
2016-07-30T13:04:00Z,30.3122210,-97.7326590,180.2,126.1,84,19.8
2016-07-30T13:04:01Z,30.3121660,-97.7326630,180.0,131.7,84,20.16
2016-07-30T13:04:02Z,30.3121150,-97.7326720,179.6,137.5,84,20.16
2016-07-30T13:04:03Z,30.3120640,-97.7326820,179.2,143.3,84,20.52
2016-07-30T13:04:04Z,30.3120140,-97.7326930,179.0,149.2,84,20.52
2016-07-30T13:04:05Z,30.3119670,-97.7327000,178.6,155.0,83,20.88
2016-07-30T13:04:06Z,30.3119090,-97.7327080,178.4,160.8,83,20.88
2016-07-30T13:04:07Z,30.3118580,-97.7327170,178.4,166.6,82,20.88
2016-07-30T13:04:08Z,30.3118080,-97.7327290,178.2,172.3,82,20.88
2016-07-30T13:04:09Z,30.3117580,-97.7327430,178.2,178.1,82,20.88
2016-07-30T13:04:10Z,30.3117090,-97.7327540,178.0,183.8,80,20.88
2016-07-30T13:04:11Z,30.3116630,-97.7327710,178.0,189.5,79,20.52
2016-07-30T13:04:12Z,30.3116090,-97.7327830,177.8,195.2,79,20.52
2016-07-30T13:04:13Z,30.3115620,-97.7327940,177.8,200.9,78,20.52
2016-07-30T13:04:14Z,30.3115090,-97.7328060,177.8,206.5,78,20.52
2016-07-30T13:04:15Z,30.3114600,-97.7328190,177.6,212.3,78,20.52
2016-07-30T13:04:16Z,30.3114100,-97.7328340,177.4,218.1,79,20.52
2016-07-30T13:04:17Z,30.3113630,-97.7328490,177.4,223.9,79,20.52
2016-07-30T13:04:18Z,30.3113140,-97.7328620,177.4,229.3,79,20.52
2016-07-30T13:04:19Z,30.3112810,-97.7328760,177.4,233.8,80,19.8
2016-07-30T13:04:20Z,30.3112570,-97.7328870,177.6,237.4,80,18.0
2016-07-30T13:04:21Z,30.3112310,-97.7328960,177.6,240.3,78,15.840000000000002
2016-07-30T13:04:22Z,30.3112140,-97.7329080,177.8,243.3,78,14.04
2016-07-30T13:04:23Z,30.3111970,-97.7329130,178.0,245.9,77,11.879999999999999
2016-07-30T13:04:24Z,30.3111840,-97.7329200,178.0,247.7,76,10.08
2016-07-30T13:04:25Z,30.3111720,-97.7329270,178.0,249.2,76,8.64
2016-07-30T13:04:26Z,30.3111500,-97.7329350,177.8,251.2,75,7.920000000000001
2016-07-30T13:04:27Z,30.3111230,-97.7329510,177.8,254.1,76,7.920000000000001
2016-07-30T13:04:28Z,30.3110910,-97.7329660,177.6,257.6,77,8.28
2016-07-30T13:04:29Z,30.3110580,-97.7329820,177.6,261.6,77,10.08
2016-07-30T13:04:30Z,30.3110200,-97.7329980,177.6,265.9,79,11.879999999999999
2016-07-30T13:04:31Z,30.3109790,-97.7330170,177.6,270.4,81,13.68
2016-07-30T13:04:32Z,30.3109390,-97.7330370,177.6,275.1,82,15.120000000000001
2016-07-30T13:04:33Z,30.3108980,-97.7330570,177.6,279.9,84,16.2
2016-07-30T13:04:34Z,30.3108560,-97.7330790,177.6,284.9,85,16.92
2016-07-30T13:04:35Z,30.3108150,-97.7331000,177.6,290.0,85,17.28
2016-07-30T13:04:36Z,30.3107940,-97.7331160,177.6,295.3,86,18.0
2016-07-30T13:04:37Z,30.3107290,-97.7331540,177.6,300.7,87,18.36
2016-07-30T13:04:38Z,30.3106850,-97.7331810,177.6,306.1,87,18.720000000000002
2016-07-30T13:04:39Z,30.3106390,-97.7332080,177.6,311.7,87,19.44
2016-07-30T13:04:40Z,30.3105990,-97.7332350,177.6,317.2,88,19.44
2016-07-30T13:04:41Z,30.3105550,-97.7332610,177.4,322.8,88,19.8
2016-07-30T13:04:42Z,30.3105090,-97.7332890,177.4,328.4,89,19.8
2016-07-30T13:04:43Z,30.3104640,-97.7333190,177.2,334.1,89,20.16
2016-07-30T13:04:44Z,30.3104180,-97.7333470,177.0,339.8,89,20.16
2016-07-30T13:04:45Z,30.3103740,-97.7333740,176.8,345.5,89,20.52
2016-07-30T13:04:46Z,30.3103230,-97.7334050,176.8,351.4,90,20.52
2016-07-30T13:04:47Z,30.3102800,-97.7334330,176.8,357.3,90,20.88
2016-07-30T13:04:48Z,30.3102270,-97.7334670,176.8,363.4,90,21.240000000000002
2016-07-30T13:04:49Z,30.3101800,-97.7334960,177.0,369.5,91,21.240000000000002
2016-07-30T13:04:50Z,30.3101350,-97.7335220,177.2,375.5,91,21.6
2016-07-30T13:04:51Z,30.3100850,-97.7335540,177.0,381.5,91,21.6
2016-07-30T13:04:52Z,30.3100380,-97.7335840,177.0,387.5,90,21.6
2016-07-30T13:04:53Z,30.3099920,-97.7336120,176.8,393.6,89,21.6
