Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2016-08-27T13:59:45Z,30.3137810,-97.7336390,189.4,0.0,72,0.0
2016-08-27T13:59:46Z,30.3138050,-97.7336700,189.4,4.0,72,0.0
2016-08-27T13:59:47Z,30.3138240,-97.7337040,190.8,7.9,73,14.4
2016-08-27T13:59:48Z,30.3138420,-97.7337370,192.8,11.6,75,14.04
2016-08-27T13:59:49Z,30.3138580,-97.7337750,193.0,15.7,76,14.04
2016-08-27T13:59:50Z,30.3138750,-97.7338070,193.2,19.3,77,14.04
2016-08-27T13:59:51Z,30.3138930,-97.7338360,193.2,22.7,79,13.32
2016-08-27T13:59:52Z,30.3139130,-97.7338660,193.4,26.4,81,13.32
2016-08-27T13:59:53Z,30.3139320,-97.7338940,193.4,29.8,82,12.96
2016-08-27T13:59:54Z,30.3139470,-97.7339240,193.4,33.1,83,12.6
2016-08-27T13:59:55Z,30.3139650,-97.7339510,193.4,36.4,85,12.24
2016-08-27T13:59:56Z,30.3139800,-97.7339780,193.4,39.5,85,12.24
2016-08-27T13:59:57Z,30.3139990,-97.7340020,193.6,42.6,85,11.520000000000001
2016-08-27T13:59:58Z,30.3140160,-97.7340220,193.6,45.3,85,11.16
2016-08-27T13:59:59Z,30.3140310,-97.7340480,193.8,48.3,84,10.8
2016-08-27T14:00:00Z,30.3140470,-97.7340720,193.8,51.2,84,10.8
2016-08-27T14:00:01Z,30.3140620,-97.7340950,194.0,54.0,84,10.44
2016-08-27T14:00:02Z,30.3140750,-97.7341180,194.0,56.7,84,10.08
2016-08-27T14:00:03Z,30.3140950,-97.7341350,194.0,59.4,84,10.08
2016-08-27T14:00:04Z,30.3141230,-97.7341470,194.0,62.7,84,10.44
2016-08-27T14:00:05Z,30.3141530,-97.7341590,194.2,66.3,85,10.8
2016-08-27T14:00:06Z,30.3141820,-97.7341580,194.2,69.5,86,11.16
2016-08-27T14:00:07Z,30.3142160,-97.7341630,194.4,73.3,86,11.879999999999999
2016-08-27T14:00:08Z,30.3142340,-97.7341340,194.2,76.7,87,12.6
2016-08-27T14:00:09Z,30.3142920,-97.7340870,194.4,84.6,88,15.840000000000002
2016-08-27T14:00:10Z,30.3143240,-97.7340590,194.4,89.1,89,16.56
2016-08-27T14:00:11Z,30.3143540,-97.7340350,194.6,93.1,89,16.92
2016-08-27T14:00:12Z,30.3143900,-97.7340110,194.6,97.8,90,17.64
2016-08-27T14:00:13Z,30.3144220,-97.7339860,194.8,102.1,89,18.36
2016-08-27T14:00:14Z,30.3144510,-97.7339610,194.8,106.1,89,15.48
2016-08-27T14:00:15Z,30.3144770,-97.7339400,195.0,109.6,90,14.76
2016-08-27T14:00:16Z,30.3145040,-97.7339200,195.0,113.2,89,14.4
2016-08-27T14:00:17Z,30.3145310,-97.7339030,195.0,116.6,88,13.68
2016-08-27T14:00:18Z,30.3145570,-97.7338980,195.2,119.5,88,12.6
2016-08-27T14:00:19Z,30.3145830,-97.7339050,195.2,122.5,88,11.879999999999999
2016-08-27T14:00:20Z,30.3146040,-97.7339210,195.2,125.3,88,11.16
2016-08-27T14:00:21Z,30.3146230,-97.7339460,195.2,128.5,89,11.16
2016-08-27T14:00:22Z,30.3146440,-97.7339780,195.2,132.4,89,11.520000000000001
2016-08-27T14:00:23Z,30.3146640,-97.7340090,195.2,136.1,91,11.879999999999999
2016-08-27T14:00:24Z,30.3146850,-97.7340410,195.2,139.9,91,12.6
2016-08-27T14:00:25Z,30.3147070,-97.7340780,195.4,144.3,93,13.68
2016-08-27T14:00:26Z,30.3147260,-97.7341130,195.4,148.2,94,14.04
2016-08-27T14:00:27Z,30.3147470,-97.7341520,195.4,152.7,95,14.76
2016-08-27T14:00:28Z,30.3147690,-97.7341840,195.4,156.6,95,14.76
2016-08-27T14:00:29Z,30.3147870,-97.7342160,195.6,160.3,95,14.76
2016-08-27T14:00:30Z,30.3148000,-97.7342480,195.6,163.7,95,14.04
2016-08-27T14:00:31Z,30.3148160,-97.7342810,195.6,167.3,96,13.68
2016-08-27T14:00:32Z,30.3148340,-97.7343160,195.8,171.2,96,13.32
2016-08-27T14:00:33Z,30.3148500,-97.7343490,195.8,174.8,96,12.96
2016-08-27T14:00:34Z,30.3148640,-97.7343830,195.8,178.5,96,12.96
2016-08-27T14:00:35Z,30.3148760,-97.7344100,195.8,181.4,95,12.6
2016-08-27T14:00:36Z,30.3148920,-97.7344320,196.0,184.1,94,12.24
2016-08-27T14:00:37Z,30.3149150,-97.7344460,196.0,187.0,92,11.520000000000001
2016-08-27T14:00:38Z,30.3149370,-97.7344480,196.0,189.5,92,10.44
2016-08-27T14:00:39Z,30.3149580,-97.7344380,196.0,192.0,90,9.72
2016-08-27T14:00:40Z,30.3149750,-97.7344240,196.0,194.3,90,9.360000000000001
2016-08-27T14:00:41Z,30.3149930,-97.7344090,196.0,196.8,89,9.0
2016-08-27T14:00:42Z,30.3150110,-97.7343950,196.0,199.2,88,8.64
2016-08-27T14:00:43Z,30.3150300,-97.7343810,196.0,201.7,88,8.64
2016-08-27T14:00:44Z,30.3150490,-97.7343660,196.0,204.3,89,9.0
2016-08-27T14:00:45Z,30.3150630,-97.7343520,195.8,206.3,89,8.64
2016-08-27T14:00:46Z,30.3150800,-97.7343390,195.8,208.6,88,8.64
2016-08-27T14:00:47Z,30.3150970,-97.7343260,196.0,210.9,88,8.28
2016-08-27T14:00:48Z,30.3151120,-97.7343180,195.8,212.7,87,7.920000000000001
2016-08-27T14:00:49Z,30.3151310,-97.7343090,195.8,215.0,86,7.5600000000000005
2016-08-27T14:00:50Z,30.3151450,-97.7342990,195.8,216.8,85,7.5600000000000005
2016-08-27T14:00:51Z,30.3151610,-97.7342880,195.8,218.9,84,7.5600000000000005
2016-08-27T14:00:52Z,30.3151780,-97.7342780,195.8,221.0,83,7.2
2016-08-27T14:00:53Z,30.3151890,-97.7342710,196.0,222.4,82,6.84
2016-08-27T14:00:54Z,30.3151950,-97.7342640,196.0,223.4,82,6.12
2016-08-27T14:00:57Z,30.3152240,-97.7342340,196.2,227.7,83,4.680000000000001
2016-08-27T14:00:58Z,30.3152470,-97.7342270,196.2,230.3,83,5.760000000000001
2016-08-27T14:00:59Z,30.3152700,-97.7342140,196.2,233.2,82,7.2
2016-08-27T14:01:00Z,30.3152940,-97.7341990,196.2,236.2,83,7.5600000000000005
2016-08-27T14:01:01Z,30.3153200,-97.7341830,196.2,239.5,82,8.28
2016-08-27T14:01:02Z,30.3153370,-97.7341600,196.2,242.4,82,10.44
2016-08-27T14:01:03Z,30.3153540,-97.7341430,196.2,244.9,82,10.44
2016-08-27T14:01:04Z,30.3153740,-97.7341260,196.0,247.7,82,10.44
2016-08-27T14:01:05Z,30.3153970,-97.7341120,196.0,250.6,82,10.44
2016-08-27T14:01:06Z,30.3154180,-97.7340980,196.0,253.3,82,10.08
2016-08-27T14:01:07Z,30.3154400,-97.7340800,196.0,256.3,82,10.08
2016-08-27T14:01:08Z,30.3154550,-97.7340610,196.0,258.7,82,10.08
2016-08-27T14:01:09Z,30.3154640,-97.7340400,196.0,261.0,81,9.72
2016-08-27T14:01:10Z,30.3154720,-97.7340190,196.2,263.2,81,9.0
2016-08-27T14:01:11Z,30.3154850,-97.7340040,196.2,265.2,82,8.64
2016-08-27T14:01:12Z,30.3155050,-97.7339940,196.2,267.7,82,8.28
2016-08-27T14:01:13Z,30.3155250,-97.7339800,196.0,270.3,82,8.28
2016-08-27T14:01:14Z,30.3155450,-97.7339670,196.0,272.8,83,8.64
2016-08-27T14:01:15Z,30.3155650,-97.7339570,196.0,275.2,83,8.64
2016-08-27T14:01:16Z,30.3155840,-97.7339480,195.8,277.5,83,9.0
2016-08-27T14:01:17Z,30.3156060,-97.7339410,196.0,280.0,83,9.0
2016-08-27T14:01:18Z,30.3156290,-97.7339460,196.0,282.7,84,9.0
2016-08-27T14:01:19Z,30.3156530,-97.7339610,196.0,285.7,84,9.360000000000001
2016-08-27T14:01:20Z,30.3156780,-97.7339800,195.8,289.0,83,10.08
2016-08-27T14:01:21Z,30.3157000,-97.7339980,196.0,292.0,83,10.44
2016-08-27T14:01:22Z,30.3157250,-97.7340190,196.0,295.4,83,11.16
2016-08-27T14:01:23Z,30.3157500,-97.7340330,196.0,298.5,82,11.520000000000001
2016-08-27T14:01:24Z,30.3157740,-97.7340370,196.2,301.2,81,11.16
2016-08-27T14:01:25Z,30.3157960,-97.7340290,196.2,303.8,81,10.8
2016-08-27T14:01:26Z,30.3158160,-97.7340150,196.2,306.4,81,10.44
2016-08-27T14:01:27Z,30.3158390,-97.7340020,196.2,309.3,80,10.08
2016-08-27T14:01:28Z,30.3158630,-97.7339960,196.2,312.0,81,9.72
2016-08-27T14:01:29Z,30.3158860,-97.7340000,196.2,314.6,80,9.72
2016-08-27T14:01:30Z,30.3159060,-97.7340100,196.2,317.0,80,9.360000000000001
2016-08-27T14:01:31Z,30.3159270,-97.7340220,196.2,319.6,81,9.360000000000001
2016-08-27T14:01:32Z,30.3159460,-97.7340370,196.2,322.2,80,9.360000000000001
2016-08-27T14:01:33Z,30.3159590,-97.7340550,196.2,324.4,79,9.0
2016-08-27T14:01:34Z,30.3159650,-97.7340780,196.2,326.7,80,8.64
2016-08-27T14:01:35Z,30.3159630,-97.7341080,196.2,329.6,80,9.0
2016-08-27T14:01:36Z,30.3159570,-97.7341380,196.2,332.6,80,9.360000000000001
2016-08-27T14:01:37Z,30.3159470,-97.7341710,196.2,335.9,80,9.72
2016-08-27T14:01:38Z,30.3159390,-97.7341940,196.2,338.3,81,10.08
2016-08-27T14:01:39Z,30.3159370,-97.7342110,196.2,340.0,81,9.72
2016-08-27T14:01:40Z,30.3159380,-97.7342230,196.4,341.1,82,8.28
2016-08-27T14:01:41Z,30.3159380,-97.7342270,196.4,341.5,83,6.48
2016-08-27T14:01:42Z,30.3159380,-97.7342280,196.4,341.6,83,3.9600000000000004
2016-08-27T14:01:43Z,30.3159380,-97.7342310,196.4,341.9,83,2.52
2016-08-27T14:01:57Z,30.3159920,-97.7342340,196.4,347.9,84,1.4400000000000002
2016-08-27T14:01:58Z,30.3160130,-97.7342390,196.4,350.3,85,2.16
2016-08-27T14:01:59Z,30.3160360,-97.7342480,196.4,353.0,85,2.52
2016-08-27T14:02:00Z,30.3160600,-97.7342600,196.4,355.9,85,2.8800000000000003
2016-08-27T14:02:01Z,30.3160700,-97.7342640,196.2,357.1,86,2.8800000000000003
2016-08-27T14:02:02Z,30.3161020,-97.7342810,196.2,361.0,87,9.360000000000001
2016-08-27T14:02:03Z,30.3161190,-97.7343050,196.4,364.0,87,9.72
2016-08-27T14:02:04Z,30.3161250,-97.7343410,196.4,367.5,88,10.44
2016-08-27T14:02:05Z,30.3161210,-97.7343820,196.4,371.5,89,11.16
2016-08-27T14:02:06Z,30.3161140,-97.7344260,196.4,375.8,90,13.32
2016-08-27T14:02:07Z,30.3160970,-97.7344790,196.4,381.2,92,14.4
2016-08-27T14:02:08Z,30.3160850,-97.7345170,196.2,385.1,94,15.120000000000001
2016-08-27T14:02:09Z,30.3160710,-97.7345650,196.2,389.9,95,16.2
2016-08-27T14:02:10Z,30.3160560,-97.7346130,196.2,394.9,95,16.92
2016-08-27T14:02:11Z,30.3160410,-97.7346630,196.2,399.9,97,17.28
2016-08-27T14:02:12Z,30.3160240,-97.7347170,196.4,405.5,97,17.64
2016-08-27T14:02:13Z,30.3160070,-97.7347720,196.4,411.1,97,18.720000000000002
2016-08-27T14:02:14Z,30.3159890,-97.7348270,196.4,416.7,98,19.44
2016-08-27T14:02:15Z,30.3159720,-97.7348790,196.4,422.1,98,19.44
2016-08-27T14:02:16Z,30.3159540,-97.7349320,196.4,427.5,98,19.8
2016-08-27T14:02:17Z,30.3159360,-97.7349880,196.4,433.3,99,20.16
2016-08-27T14:02:18Z,30.3159200,-97.7350420,196.4,438.8,100,19.8
2016-08-27T14:02:19Z,30.3159020,-97.7350980,196.4,444.5,101,20.16
2016-08-27T14:02:20Z,30.3158840,-97.7351500,196.6,449.9,102,20.16
2016-08-27T14:02:21Z,30.3158670,-97.7352060,196.6,455.6,103,20.16
2016-08-27T14:02:22Z,30.3158470,-97.7352610,197.0,461.3,103,20.16
2016-08-27T14:02:23Z,30.3158260,-97.7353140,197.2,466.9,103,20.16
2016-08-27T14:02:24Z,30.3158050,-97.7353660,197.4,472.4,104,20.16
2016-08-27T14:02:25Z,30.3157820,-97.7354220,197.4,478.4,105,20.52
2016-08-27T14:02:26Z,30.3157640,-97.7354640,197.4,482.9,105,19.8
2016-08-27T14:02:27Z,30.3157370,-97.7355270,197.6,489.7,106,20.52
2016-08-27T14:02:28Z,30.3157130,-97.7355800,197.6,495.4,106,20.52
2016-08-27T14:02:29Z,30.3156880,-97.7356310,197.8,501.0,107,20.52
2016-08-27T14:02:30Z,30.3156630,-97.7356800,197.8,506.5,107,20.16
2016-08-27T14:02:31Z,30.3156380,-97.7357310,198.0,512.1,107,20.88
2016-08-27T14:02:32Z,30.3156090,-97.7357850,198.0,518.3,108,20.52
2016-08-27T14:02:33Z,30.3155810,-97.7358350,198.0,524.0,107,20.52
2016-08-27T14:02:34Z,30.3155510,-97.7358860,198.2,529.9,107,20.88
2016-08-27T14:02:35Z,30.3155210,-97.7359350,198.2,535.7,107,20.88
2016-08-27T14:02:36Z,30.3154910,-97.7359870,198.4,541.7,106,21.240000000000002
2016-08-27T14:02:37Z,30.3154800,-97.7360030,198.4,543.7,105,18.36
