Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2016-07-04T13:33:10Z,30.3125320,-97.7326010,196.6,0.0,75,0.0
2016-07-04T13:33:11Z,30.3125020,-97.7326030,196.6,3.3,76,0.0
2016-07-04T13:33:12Z,30.3124730,-97.7326080,196.6,6.6,77,11.879999999999999
2016-07-04T13:33:13Z,30.3124430,-97.7326120,196.6,10.0,77,11.879999999999999
2016-07-04T13:33:14Z,30.3124070,-97.7326210,196.6,14.1,78,12.6
2016-07-04T13:33:15Z,30.3123680,-97.7326260,196.2,18.4,80,13.32
2016-07-04T13:33:16Z,30.3123310,-97.7326320,196.0,22.6,81,14.04
2016-07-04T13:33:17Z,30.3122880,-97.7326380,196.0,27.4,82,15.120000000000001
2016-07-04T13:33:18Z,30.3122430,-97.7326430,196.0,32.4,83,16.2
2016-07-04T13:33:19Z,30.3121990,-97.7326490,195.8,37.4,84,16.92
2016-07-04T13:33:20Z,30.3121520,-97.7326470,195.8,42.6,85,17.28
2016-07-04T13:33:21Z,30.3121050,-97.7326490,195.6,47.8,87,18.0
2016-07-04T13:33:22Z,30.3120580,-97.7326540,195.6,53.1,87,18.36
2016-07-04T13:33:23Z,30.3120050,-97.7326610,195.6,59.1,87,19.08
2016-07-04T13:33:24Z,30.3119660,-97.7326670,195.4,63.4,87,18.720000000000002
2016-07-04T13:33:25Z,30.3119170,-97.7326760,195.6,68.9,87,19.08
2016-07-04T13:33:26Z,30.3118720,-97.7326850,195.4,74.0,86,18.720000000000002
2016-07-04T13:33:27Z,30.3118260,-97.7326950,195.4,79.2,86,18.720000000000002
2016-07-04T13:33:28Z,30.3117810,-97.7327050,195.4,84.3,85,18.0
2016-07-04T13:33:29Z,30.3117360,-97.7327170,195.4,89.5,85,18.720000000000002
2016-07-04T13:33:30Z,30.3116990,-97.7327240,195.4,93.6,84,17.64
2016-07-04T13:33:31Z,30.3116540,-97.7327360,195.2,98.8,84,18.0
2016-07-04T13:33:32Z,30.3116070,-97.7327480,195.0,104.1,84,18.0
