Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2023-10-28T07:06:39Z,36.7242170,-4.4332060,35.6,0.0,115,0.0
2023-10-28T07:06:40Z,36.7242360,-4.4331960,35.6,0.0,115,0.0
2023-10-28T07:06:41Z,36.7242470,-4.4331920,35.6,1.4,115,2.52
2023-10-28T07:06:42Z,36.7242510,-4.4332000,35.6,2.3,115,2.8800000000000003
2023-10-28T07:06:43Z,36.7242630,-4.4332020,35.6,3.5,115,3.24
2023-10-28T07:06:44Z,36.7242740,-4.4331960,35.6,5.0,115,3.6
2023-10-28T07:06:45Z,36.7242850,-4.4331920,35.6,6.4,115,4.680000000000001
2023-10-28T07:06:46Z,36.7242970,-4.4331920,35.6,7.5,115,4.32
2023-10-28T07:06:47Z,36.7243080,-4.4332000,35.6,9.0,115,4.680000000000001
2023-10-28T07:06:48Z,36.7243200,-4.4332070,35.6,10.2,115,5.04
2023-10-28T07:06:49Z,36.7243270,-4.4332070,35.6,11.3,115,4.680000000000001
2023-10-28T07:06:50Z,36.7243390,-4.4332050,35.6,12.5,115,4.32
2023-10-28T07:06:51Z,36.7243500,-4.4331970,35.6,13.8,115,4.680000000000001
2023-10-28T07:06:52Z,36.7243490,-4.4331970,35.6,13.8,115,3.6
2023-10-28T07:06:53Z,36.7243350,-4.4332070,35.6,13.8,115,2.52
2023-10-28T07:06:54Z,36.7243310,-4.4332190,35.6,13.8,115,1.8
2023-10-28T07:06:55Z,36.7243270,-4.4332270,35.6,13.8,115,1.08
2023-10-28T07:06:56Z,36.7243350,-4.4332270,35.6,14.5,115,0.7200000000000001
2023-10-28T07:06:57Z,36.7243420,-4.4332270,35.6,15.4,115,1.08
2023-10-28T07:06:58Z,36.7243460,-4.4332300,35.6,15.9,115,1.4400000000000002
2023-10-28T07:06:59Z,36.7243500,-4.4332380,35.6,16.9,115,2.16
2023-10-28T07:07:00Z,36.7243620,-4.4332350,35.6,18.1,115,3.24
2023-10-28T07:07:01Z,36.7243810,-4.4332160,35.6,20.8,115,4.680000000000001
2023-10-28T07:07:02Z,36.7244000,-4.4332030,35.6,23.3,115,5.760000000000001
2023-10-28T07:07:03Z,36.7244110,-4.4332090,35.6,24.5,115,6.12
2023-10-28T07:07:04Z,36.7244150,-4.4332210,35.6,25.8,115,6.48
2023-10-28T07:07:05Z,36.7244190,-4.4332410,35.6,27.6,115,6.84
2023-10-28T07:07:06Z,36.7244140,-4.4332700,35.6,30.2,115,6.84
2023-10-28T07:07:07Z,36.7243890,-4.4333970,35.6,50.0,115,6.84
2023-10-28T07:07:08Z,36.7243650,-4.4335240,35.6,53.6,115,20.88
2023-10-28T07:07:09Z,36.7243570,-4.4335630,35.6,53.6,115,20.16
2023-10-28T07:07:10Z,36.7243540,-4.4335910,35.6,56.1,115,20.52
2023-10-28T07:07:11Z,36.7243580,-4.4336200,35.6,56.1,115,18.720000000000002
2023-10-28T07:07:12Z,36.7243580,-4.4336480,35.6,56.1,115,4.32
2023-10-28T07:07:13Z,36.7243580,-4.4336760,35.6,56.1,115,1.8
2023-10-28T07:07:14Z,36.7243610,-4.4337140,35.6,56.1,115,1.8
2023-10-28T07:07:15Z,36.7243570,-4.4337350,35.6,56.1,115,0.0
2023-10-28T07:07:47Z,36.7243050,-4.4340400,35.6,56.1,115,0.0
2023-10-28T07:07:48Z,36.7243160,-4.4340450,35.6,57.3,114,0.0
2023-10-28T07:07:49Z,36.7243230,-4.4340540,35.6,58.5,114,0.36000000000000004
2023-10-28T07:07:50Z,36.7243350,-4.4340630,35.6,59.9,114,0.36000000000000004
2023-10-28T07:07:51Z,36.7243460,-4.4340730,35.6,61.5,112,0.7200000000000001
2023-10-28T07:07:52Z,36.7243580,-4.4340750,35.6,62.8,111,4.680000000000001
2023-10-28T07:07:53Z,36.7243690,-4.4340730,35.6,64.3,110,5.04
2023-10-28T07:07:54Z,36.7243810,-4.4340730,35.6,65.6,109,5.04
2023-10-28T07:07:55Z,36.7243960,-4.4340750,35.6,67.1,108,5.04
2023-10-28T07:07:56Z,36.7244110,-4.4340750,35.6,68.8,108,5.4
2023-10-28T07:07:57Z,36.7244270,-4.4340710,35.6,70.5,107,5.4
2023-10-28T07:07:58Z,36.7244420,-4.4340600,35.6,72.7,105,6.12
2023-10-28T07:07:59Z,36.7244610,-4.4340540,35.6,74.7,104,6.48
