Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed
2023-11-12T08:55:52Z,36.7239950,-4.4333650,-6.2,0.0,108,0.0
2023-11-12T08:55:53Z,36.7240020,-4.4333570,-6.2,0.0,109,0.0
2023-11-12T08:55:54Z,36.7240060,-4.4333570,-6.2,0.0,109,0.0
2023-11-12T08:55:55Z,36.7240070,-4.4333540,-6.0,0.0,109,0.0
2023-11-12T08:55:56Z,36.7240090,-4.4333540,-6.0,0.0,107,0.0
2023-11-12T08:55:57Z,36.7240160,-4.4333520,-6.0,0.0,103,0.0
2023-11-12T08:55:58Z,36.7240240,-4.4333590,-6.0,0.0,100,0.0
2023-11-12T08:55:59Z,36.7240200,-4.4333650,-6.0,0.0,98,0.0
2023-11-12T08:56:00Z,36.7240130,-4.4333650,-6.0,0.0,98,0.0
2023-11-12T08:56:01Z,36.7240080,-4.4333610,-6.2,0.3,101,0.36000000000000004
2023-11-12T08:56:02Z,36.7240120,-4.4333550,-6.2,1.1,100,0.7200000000000001
2023-11-12T08:56:03Z,36.7240140,-4.4333470,-6.2,1.9,102,1.4400000000000002
2023-11-12T08:56:04Z,36.7240140,-4.4333390,-6.2,2.6,104,1.8
2023-11-12T08:56:05Z,36.7240140,-4.4333320,-6.2,3.3,105,2.52
2023-11-12T08:56:06Z,36.7240140,-4.4333250,-6.2,3.9,106,2.52
2023-11-12T08:56:07Z,36.7240110,-4.4333160,-6.2,4.8,106,2.52
2023-11-12T08:56:08Z,36.7240080,-4.4333060,-6.2,5.8,107,2.8800000000000003
2023-11-12T08:56:09Z,36.7240070,-4.4332970,-6.4,6.7,108,2.8800000000000003
2023-11-12T08:56:10Z,36.7240040,-4.4332780,-6.4,8.4,109,3.6
2023-11-12T08:56:11Z,36.7239940,-4.4332400,-6.4,11.9,110,5.760000000000001
2023-11-12T08:56:12Z,36.7239800,-4.4331990,-6.6,15.9,110,7.920000000000001
2023-11-12T08:56:13Z,36.7239650,-4.4331580,-6.6,19.9,110,10.08
2023-11-12T08:56:14Z,36.7239490,-4.4331300,-6.6,23.0,109,11.879999999999999
2023-11-12T08:56:15Z,36.7239340,-4.4331060,-6.8,25.8,106,12.6
2023-11-12T08:56:16Z,36.7239450,-4.4330920,-6.8,28.5,105,11.879999999999999
2023-11-12T08:56:17Z,36.7239640,-4.4330800,-7.0,31.1,103,10.8
2023-11-12T08:56:18Z,36.7239770,-4.4330730,-7.0,32.8,103,9.360000000000001
2023-11-12T08:56:19Z,36.7239970,-4.4330620,-7.0,35.1,103,8.64
2023-11-12T08:56:20Z,36.7240200,-4.4330500,-7.0,37.8,104,8.64
2023-11-12T08:56:21Z,36.7240500,-4.4330300,-7.0,41.7,106,9.360000000000001
2023-11-12T08:56:22Z,36.7240820,-4.4330050,-7.0,45.9,108,10.8
2023-11-12T08:56:23Z,36.7241190,-4.4329660,-6.8,51.3,110,13.32
2023-11-12T08:56:24Z,36.7241480,-4.4329290,-6.8,55.9,112,15.120000000000001
2023-11-12T08:56:25Z,36.7241830,-4.4328930,-6.6,60.8,113,16.56
2023-11-12T08:56:26Z,36.7242240,-4.4328490,-6.6,66.9,114,18.0
2023-11-12T08:56:27Z,36.7242630,-4.4328120,-6.4,72.3,115,19.08
2023-11-12T08:56:28Z,36.7242930,-4.4327860,-6.4,76.4,113,18.0
2023-11-12T08:56:29Z,36.7243120,-4.4327440,-6.4,80.8,112,18.0
2023-11-12T08:56:30Z,36.7243100,-4.4327020,-6.4,84.8,111,17.28
2023-11-12T08:56:31Z,36.7243000,-4.4326540,-6.4,89.2,111,16.2
2023-11-12T08:56:32Z,36.7243020,-4.4326150,-6.2,92.9,111,14.76
2023-11-12T08:56:33Z,36.7243210,-4.4325860,-6.0,96.4,112,14.4
2023-11-12T08:56:34Z,36.7243410,-4.4325500,-5.8,100.2,113,14.04
2023-11-12T08:56:35Z,36.7243410,-4.4325050,-5.4,104.5,113,14.04
2023-11-12T08:56:36Z,36.7243250,-4.4324630,-5.4,108.7,113,14.04
2023-11-12T08:56:37Z,36.7243000,-4.4324250,-5.4,113.0,113,14.4
2023-11-12T08:56:38Z,36.7242680,-4.4323780,-5.4,118.6,113,15.840000000000002
2023-11-12T08:56:39Z,36.7242420,-4.4323270,-5.2,123.9,113,16.92
2023-11-12T08:56:40Z,36.7242330,-4.4322730,-5.2,128.9,112,17.64
2023-11-12T08:56:41Z,36.7242180,-4.4322060,-5.0,135.1,111,19.08
2023-11-12T08:56:42Z,36.7242150,-4.4321330,-5.0,141.7,110,20.52
2023-11-12T08:56:43Z,36.7242580,-4.4320300,-5.2,152.3,109,24.12
2023-11-12T08:56:44Z,36.7242960,-4.4319710,-5.2,159.1,109,25.2
2023-11-12T08:56:45Z,36.7243260,-4.4319100,-5.2,165.4,110,26.28
2023-11-12T08:56:46Z,36.7243540,-4.4318340,-5.2,172.8,111,27.0
2023-11-12T08:56:47Z,36.7243780,-4.4317840,-5.2,178.1,112,26.28
2023-11-12T08:56:48Z,36.7244000,-4.4317540,-5.0,181.8,113,21.240000000000002
2023-11-12T08:56:49Z,36.7244150,-4.4317170,-5.0,185.7,113,19.08
2023-11-12T08:56:50Z,36.7244240,-4.4316790,-5.0,189.1,114,16.92
2023-11-12T08:56:51Z,36.7244450,-4.4316470,-5.0,192.9,114,14.4
2023-11-12T08:56:52Z,36.7244740,-4.4316150,-4.8,197.2,115,13.68
2023-11-12T08:56:53Z,36.7245080,-4.4315930,-4.8,201.5,115,14.04
