calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,temperature,altitude,ascent,descent,enhanced_altitude,grade
0,0.0,0.0,41,100,438138197,-52895562,0.0,2023-10-03 16:25:37,,,,,,,
0,0.0,0.0,39,100,438138176,-52895777,0.0,2023-10-03 16:25:38,96.0,,,,,,
0,0.0,0.0,37,100,438138155,-52895991,0.0,2023-10-03 16:25:39,,,,,,,
0,0.0,0.0,35,100,438138305,-52896224,0.0,2023-10-03 16:25:40,,24.0,,,,,
0,0.0,0.0,34,100,438138525,-52896444,0.0,2023-10-03 16:25:41,,24.0,,,,,
0,0.0,0.0,32,100,438138829,-52896678,0.0,2023-10-03 16:25:42,,24.0,,,,,
0,0.0,0.0,31,101,438139186,-52896903,0.0,2023-10-03 16:25:43,,24.0,,,,,
0,0.0,0.0,29,101,438139511,-52897097,0.0,2023-10-03 16:25:44,,24.0,,,,,
0,0.0,0.0,28,101,438139867,-52897270,0.0,2023-10-03 16:25:45,,24.0,,,,,
0,0.0,0.0,27,101,438140016,-52897373,0.0,2023-10-03 16:25:46,,24.0,,,,,
1,0.0,0.0,27,101,438140123,-52897464,0.0,2023-10-03 16:25:47,,24.0,,,,,
1,3.46,2.225,25,100,438140488,-52897717,2.225,2023-10-03 16:25:48,,24.0,,,,,
1,5.89,2.571,24,100,438140602,-52897972,2.571,2023-10-03 16:25:49,,24.0,,,,,
1,7.66,2.37,24,100,438140687,-52898198,2.37,2023-10-03 16:25:50,,24.0,,,,,
1,8.92,2.214,23,99,438140700,-52898363,2.214,2023-10-03 16:25:51,,24.0,,,,,
1,10.25,2.012,23,100,438140624,-52898471,2.012,2023-10-03 16:25:52,,24.0,,,,,
1,11.35,1.784,22,100,438140571,-52898606,1.784,2023-10-03 16:25:53,,24.0,,,,,
1,12.29,1.571,22,99,438140564,-52898730,1.571,2023-10-03 16:25:54,,24.0,,,,,
2,12.91,1.338,21,98,438140602,-52898795,1.338,2023-10-03 16:25:55,,24.0,,,,,
2,13.49,1.149,21,97,438140609,-52898857,1.149,2023-10-03 16:25:56,,24.0,,,,,
2,14.8,1.005,20,97,438140686,-52899015,1.005,2023-10-03 16:25:57,,24.0,,,,,
2,16.11,1.045,20,96,438140777,-52899163,1.045,2023-10-03 16:25:58,,24.0,,,,,
2,17.97,1.103,19,95,438140867,-52899366,1.103,2023-10-03 16:25:59,,24.0,,,,,
2,19.25,1.17,19,95,438140906,-52899527,1.17,2023-10-03 16:26:00,,24.0,,,,,
2,20.83,1.31,19,95,438140936,-52899734,1.31,2023-10-03 16:26:01,,24.0,,,,,
2,23.73,1.667,18,95,438140968,-52900116,1.667,2023-10-03 16:26:02,,24.0,,,,,
2,26.22,1.699,17,96,438141049,-52900442,1.699,2023-10-03 16:26:03,,24.0,,,,,
3,27.88,1.695,17,95,438141140,-52900626,1.695,2023-10-03 16:26:04,,24.0,,,,,
3,29.59,1.706,17,95,438141270,-52900754,1.706,2023-10-03 16:26:05,,24.0,,,,,
3,31.06,1.648,16,95,438141407,-52900840,1.648,2023-10-03 16:26:06,,24.0,,,,,
3,31.81,1.592,19,96,438141505,-52900819,1.592,2023-10-03 16:26:07,,24.0,,,,,
3,32.4,1.372,19,97,438141558,-52900832,1.372,2023-10-03 16:26:08,,24.0,,,,,
3,33.36,1.269,20,99,438141642,-52900884,1.269,2023-10-03 16:26:09,,24.0,,,,,
3,35.2,1.212,19,101,438141848,-52900979,1.212,2023-10-03 16:26:10,,24.0,,,,,
3,35.51,0.195,18,101,438141998,-52901043,0.195,2023-10-03 16:26:11,,24.0,,,,,
