distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,heart_rate,calories,temperature,altitude,enhanced_altitude,ascent,descent,grade
0.0,0.0,20,438133965,-52892422,0.0,2023-10-21 16:20:43,,,,,,,,,
0.0,0.0,19,438133987,-52892413,0.0,2023-10-21 16:20:44,89.0,97.0,,,,,,,
0.0,0.0,18,438134010,-52892405,0.0,2023-10-21 16:20:45,,98.0,0.0,,,,,,
0.0,0.0,16,438134145,-52892618,0.0,2023-10-21 16:20:46,,98.0,0.0,,,,,,
0.0,0.0,16,438134103,-52892566,0.0,2023-10-21 16:20:47,,99.0,0.0,,,,,,
0.0,2.172,13,438134690,-52894704,2.172,2023-10-21 16:20:57,,101.0,0.0,22.0,,,,,
2.0,2.371,13,438134783,-52894946,2.371,2023-10-21 16:20:58,,101.0,0.0,22.0,,,,,
4.66,2.517,13,438134873,-52895283,2.517,2023-10-21 16:20:59,,102.0,0.0,22.0,,,,,
7.62,2.583,12,438134831,-52895670,2.583,2023-10-21 16:21:00,,103.0,0.0,22.0,,,,,
9.7,2.685,11,438134920,-52895940,2.685,2023-10-21 16:21:01,,104.0,0.0,22.0,,,,,
11.83,2.727,11,438135053,-52896145,2.727,2023-10-21 16:21:02,,105.0,0.0,22.0,,,,,
14.7,2.783,11,438135237,-52896457,2.783,2023-10-21 16:21:03,,106.0,1.0,22.0,,,,,
15.94,2.782,11,438135299,-52896607,2.782,2023-10-21 16:21:04,,106.0,1.0,22.0,,,,,
17.16,2.779,11,438135359,-52896755,2.779,2023-10-21 16:21:05,,105.0,1.0,22.0,,,,,
24.1,2.855,11,438135421,-52897666,2.855,2023-10-21 16:21:06,,104.0,1.0,22.0,,,,,
27.35,2.949,11,438135512,-52898087,2.949,2023-10-21 16:21:07,,101.0,1.0,22.0,,,,,
30.52,3.003,10,438135648,-52898484,3.003,2023-10-21 16:21:08,,100.0,1.0,22.0,,,,,
33.66,3.041,10,438135829,-52898841,3.041,2023-10-21 16:21:09,,98.0,1.0,22.0,,,,,
36.6,2.988,10,438136005,-52899172,2.988,2023-10-21 16:21:10,,97.0,1.0,22.0,,,,,
39.58,2.997,12,438136103,-52899539,2.997,2023-10-21 16:21:11,,96.0,2.0,22.0,,,,,
41.77,3.005,13,438136195,-52899816,3.005,2023-10-21 16:21:12,,95.0,2.0,22.0,,,,,
43.56,2.624,13,438136150,-52900054,2.624,2023-10-21 16:21:13,,94.0,2.0,22.0,,,,,
45.18,1.995,13,438136188,-52900261,1.995,2023-10-21 16:21:14,,93.0,2.0,22.0,,,,,
47.63,2.148,12,438136285,-52900570,2.148,2023-10-21 16:21:15,,94.0,2.0,22.0,,,,,
49.65,2.414,12,438136376,-52900833,2.414,2023-10-21 16:21:16,,95.0,2.0,22.0,,,,,
52.07,2.417,11,438136377,-52901150,2.417,2023-10-21 16:21:17,,95.0,2.0,22.0,,,,,
54.07,2.134,11,438136512,-52901368,2.134,2023-10-21 16:21:18,,96.0,2.0,22.0,,,,,
57.08,2.131,10,438136739,-52901663,2.131,2023-10-21 16:21:19,,97.0,2.0,22.0,,,,,
59.92,2.642,10,438137011,-52901823,2.642,2023-10-21 16:21:20,,98.0,3.0,22.0,,,,,
62.52,2.945,9,438137280,-52901770,2.945,2023-10-21 16:21:21,,99.0,3.0,22.0,,,,,
65.4,2.953,9,438137603,-52901690,2.953,2023-10-21 16:21:22,,99.0,3.0,22.0,,,,,
67.7,2.576,10,438137817,-52901636,2.576,2023-10-21 16:21:23,,100.0,3.0,22.0,,,,,
70.19,2.418,10,438138104,-52901530,2.418,2023-10-21 16:21:24,,101.0,3.0,22.0,,,,,
72.52,2.452,10,438138331,-52901434,2.452,2023-10-21 16:21:25,,101.0,3.0,22.0,,,,,
74.9,2.418,9,438138554,-52901394,2.418,2023-10-21 16:21:26,,102.0,3.0,22.0,,,,,
77.22,2.425,9,438138829,-52901315,2.425,2023-10-21 16:21:27,,102.0,3.0,22.0,,,,,
79.42,2.425,9,438139052,-52901275,2.425,2023-10-21 16:21:28,,103.0,4.0,22.0,,,,,
81.4,2.425,9,438139271,-52901310,2.425,2023-10-21 16:21:29,,104.0,4.0,22.0,,,,,
83.06,2.245,9,438139441,-52901246,2.245,2023-10-21 16:21:30,88.0,104.0,4.0,22.0,,,,,
84.7,2.049,10,438139607,-52901172,2.049,2023-10-21 16:21:31,,105.0,4.0,22.0,,,,,
86.36,2.028,10,438139787,-52901154,2.028,2023-10-21 16:21:32,,106.0,4.0,22.0,,,,,
