distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,temperature,calories,heart_rate,altitude,enhanced_altitude,ascent,descent,grade,battery_soc
0.0,0.0,25,438135786,-52888917,0.0,2023-10-28 07:06:19,,,,,,,,,
0.0,0.0,40,438136976,-52890210,0.0,2023-10-28 07:06:39,20.0,,,,,,,,
0.04,0.074,39,438137200,-52890093,0.074,2023-10-28 07:06:40,20.0,,,,,,,,
1.41,2.283,38,438137334,-52890042,2.283,2023-10-28 07:06:41,20.0,,,,,,,,
2.33,2.194,37,438137382,-52890135,2.194,2023-10-28 07:06:42,20.0,,,,,,,,
3.47,2.198,36,438137519,-52890155,2.198,2023-10-28 07:06:43,20.0,,,,,,,,
5.01,2.29,34,438137656,-52890093,2.29,2023-10-28 07:06:44,20.0,,,,,,,,
6.37,2.413,34,438137792,-52890038,2.413,2023-10-28 07:06:45,20.0,,,,,,,,
7.49,2.536,33,438137929,-52890041,2.536,2023-10-28 07:06:46,20.0,,,,,,,,
8.98,2.536,32,438138066,-52890138,2.536,2023-10-28 07:06:47,20.0,,,,,,,,
10.23,2.533,32,438138201,-52890214,2.533,2023-10-28 07:06:48,20.0,,,,,,,,
11.34,2.456,34,438138293,-52890214,2.456,2023-10-28 07:06:49,20.0,,,,,,,,
12.5,2.536,35,438138433,-52890191,2.536,2023-10-28 07:06:50,20.0,,,,,,,,
13.76,2.519,35,438138561,-52890095,2.519,2023-10-28 07:06:51,20.0,,,,,,,,
13.76,1.837,40,438138550,-52890103,1.837,2023-10-28 07:06:52,20.0,,,,,,,,
13.76,0.0,40,438138378,-52890218,0.0,2023-10-28 07:06:53,20.0,,,,,,,,
13.76,0.0,39,438138332,-52890361,0.0,2023-10-28 07:06:54,20.0,,,,,,,,
13.79,0.078,39,438138292,-52890453,0.078,2023-10-28 07:06:55,20.0,,,,,,,,
14.53,2.083,38,438138382,-52890453,2.083,2023-10-28 07:06:56,20.0,,,,,,,,
15.44,2.055,38,438138472,-52890455,2.055,2023-10-28 07:06:57,20.0,,,,,,,,
15.87,2.03,38,438138513,-52890490,2.03,2023-10-28 07:06:58,20.0,,,,,,,,
16.85,2.028,37,438138564,-52890595,2.028,2023-10-28 07:06:59,20.0,,,,,,,,
18.07,2.074,37,438138705,-52890548,2.074,2023-10-28 07:07:00,20.0,,,,,,,,
20.82,3.417,39,438138933,-52890329,3.417,2023-10-28 07:07:01,20.0,,,,,,,,
23.29,3.407,39,438139157,-52890176,3.407,2023-10-28 07:07:02,20.0,,,,,,,,
24.49,3.099,39,438139291,-52890242,3.099,2023-10-28 07:07:03,20.0,,,,,,,,
25.81,2.992,38,438139337,-52890384,2.992,2023-10-28 07:07:04,20.0,,,,,,,,
27.61,2.977,38,438139379,-52890624,2.977,2023-10-28 07:07:05,20.0,,,,,,,,
30.24,2.611,37,438139323,-52890969,2.611,2023-10-28 07:07:06,20.0,,,,,,,,
49.98,2.314,34,438138925,-52893556,2.314,2023-10-28 07:07:07,20.0,,,,,,,,
53.56,2.152,32,438138740,-52894007,2.152,2023-10-28 07:07:08,20.0,,,,,,,,
53.63,0.021,30,438138651,-52894462,0.021,2023-10-28 07:07:09,20.0,,,,,,,,
56.1,0.734,29,438138608,-52894799,0.734,2023-10-28 07:07:10,20.0,,,,,,,,
56.1,0.0,28,438138652,-52895143,0.0,2023-10-28 07:07:11,20.0,,,,,,,,
56.1,0.0,26,438138652,-52895476,0.0,2023-10-28 07:07:12,20.0,,,,,,,,
56.1,0.0,25,438138654,-52895817,0.0,2023-10-28 07:07:13,20.0,,,,,,,,
56.1,0.0,24,438138697,-52896265,0.0,2023-10-28 07:07:14,20.0,,,,,,,,
56.1,0.0,23,438138651,-52896523,0.0,2023-10-28 07:07:15,20.0,,,,,,,,
56.14,1.026,12,438138020,-52900160,1.026,2023-10-28 07:07:47,20.0,0.0,115.0,,,,,,
57.34,0.725,12,438138155,-52900219,0.725,2023-10-28 07:07:48,20.0,0.0,114.0,,,,,,
58.49,0.806,11,438138244,-52900319,0.806,2023-10-28 07:07:49,20.0,0.0,114.0,,,,,,
59.92,0.808,11,438138380,-52900438,0.808,2023-10-28 07:07:50,20.0,0.0,114.0,,,,,,
61.49,1.161,11,438138517,-52900557,1.161,2023-10-28 07:07:51,20.0,0.0,112.0,,,,,,
62.84,1.437,11,438138658,-52900573,1.437,2023-10-28 07:07:52,20.0,0.0,111.0,,,,,,
64.31,1.047,11,438138793,-52900557,1.047,2023-10-28 07:07:53,20.0,1.0,110.0,,,,,,
65.57,1.397,12,438138926,-52900557,1.397,2023-10-28 07:07:54,20.0,1.0,109.0,,,,,,
67.06,1.409,12,438139108,-52900574,1.409,2023-10-28 07:07:55,20.0,1.0,108.0,,,,,,
