timestamp,calories,heart_rate,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,altitude,enhanced_altitude,ascent,descent,grade
2023-11-07 16:33:40,,,,,,,,,,,,,,,
2023-11-07 16:33:41,0.0,97.0,,,,,,,,,,,,,
2023-11-07 16:33:42,0.0,97.0,,,,,,,,,,,,,
2023-11-07 16:33:43,0.0,97.0,96.0,0.0,0.0,27.0,438136058.0,-52892780.0,0.0,18.0,,,,,
2023-11-07 16:33:44,0.0,97.0,,2.34,2.314,24.0,438136250.0,-52892645.0,2.314,18.0,,,,,
2023-11-07 16:33:45,0.0,98.0,,3.58,2.165,23.0,438136403.0,-52892621.0,2.165,18.0,,,,,
2023-11-07 16:33:46,0.0,101.0,,5.2,1.713,22.0,438136569.0,-52892605.0,1.713,18.0,,,,,
2023-11-07 16:33:47,0.0,101.0,,7.51,1.401,22.0,438136796.0,-52892581.0,1.401,18.0,,,,,
2023-11-07 16:33:48,0.0,98.0,,9.61,0.857,21.0,438137104.0,-52892574.0,0.857,18.0,,,,,
2023-11-07 16:33:49,0.0,96.0,,9.61,0.0,20.0,438137242.0,-52892564.0,0.0,18.0,,,,,
2023-11-07 16:33:50,1.0,95.0,,9.61,0.0,19.0,438137242.0,-52892564.0,0.0,18.0,,,,,
2023-11-07 16:33:51,1.0,95.0,,9.61,0.0,19.0,438137260.0,-52892571.0,0.0,18.0,,,,,
2023-11-07 16:33:52,1.0,96.0,,9.61,0.0,19.0,438137342.0,-52892558.0,0.0,18.0,,,,,
2023-11-07 16:33:53,1.0,96.0,,9.61,0.0,18.0,438137442.0,-52892492.0,0.0,18.0,,,,,
2023-11-07 16:34:13,1.0,97.0,,10.23,1.199,19.0,438136969.0,-52892886.0,1.199,18.0,,,,,
2023-11-07 16:34:14,1.0,98.0,,11.69,1.519,19.0,438137005.0,-52893073.0,1.519,18.0,,,,,
2023-11-07 16:34:15,1.0,98.0,,13.15,1.77,19.0,438137042.0,-52893257.0,1.77,18.0,,,,,
2023-11-07 16:34:16,1.0,98.0,,14.98,2.158,18.0,438136995.0,-52893494.0,2.158,18.0,,,,,
2023-11-07 16:34:17,1.0,98.0,,17.25,2.187,18.0,438136914.0,-52893767.0,2.187,18.0,,,,,
2023-11-07 16:34:18,2.0,98.0,,19.63,2.231,17.0,438136797.0,-52894049.0,2.231,18.0,,,,,
2023-11-07 16:34:19,2.0,98.0,,22.01,2.104,17.0,438136741.0,-52894356.0,2.104,18.0,,,,,
2023-11-07 16:34:20,2.0,99.0,,24.12,1.991,16.0,438136703.0,-52894631.0,1.991,18.0,,,,,
2023-11-07 16:34:21,2.0,99.0,,26.02,2.114,16.0,438136631.0,-52894870.0,2.114,18.0,,,,,
2023-11-07 16:34:22,2.0,101.0,,28.22,2.158,15.0,438136529.0,-52895125.0,2.158,18.0,,,,,
2023-11-07 16:34:23,2.0,102.0,,30.47,2.173,15.0,438136404.0,-52895378.0,2.173,18.0,,,,,
2023-11-07 16:34:24,2.0,103.0,,32.4,2.194,15.0,438136433.0,-52895611.0,2.194,18.0,,,,,
2023-11-07 16:34:25,2.0,104.0,,34.83,2.194,15.0,438136589.0,-52895886.0,2.194,18.0,,,,,
2023-11-07 16:34:26,3.0,105.0,,37.63,2.209,15.0,438136733.0,-52896227.0,2.209,18.0,,,,,
2023-11-07 16:34:27,3.0,107.0,,40.8,2.303,14.0,438136843.0,-52896625.0,2.303,18.0,,,,,
2023-11-07 16:34:28,3.0,108.0,,44.02,2.489,15.0,438136961.0,-52897024.0,2.489,18.0,,,,,
2023-11-07 16:34:29,3.0,108.0,,47.12,2.642,16.0,438137071.0,-52897413.0,2.642,18.0,,,,,
2023-11-07 16:34:30,3.0,111.0,,50.31,2.72,16.0,438137095.0,-52897819.0,2.72,18.0,,,,,
2023-11-07 16:34:31,3.0,114.0,,54.75,2.976,15.0,438136942.0,-52898388.0,2.976,18.0,,,,,
2023-11-07 16:34:32,4.0,116.0,,60.05,3.47,14.0,438136778.0,-52899064.0,3.47,18.0,,,,,
2023-11-07 16:34:33,4.0,118.0,,64.47,3.777,14.0,438136695.0,-52899634.0,3.777,18.0,,,,,
2023-11-07 16:34:34,4.0,119.0,,69.19,3.987,14.0,438136745.0,-52900255.0,3.987,18.0,,,,,
2023-11-07 16:34:35,4.0,120.0,,74.78,4.325,13.0,438136886.0,-52900972.0,4.325,18.0,,,,,
2023-11-07 16:34:36,4.0,120.0,,79.95,4.694,13.0,438137119.0,-52901565.0,4.694,18.0,,,,,
2023-11-07 16:34:37,4.0,119.0,,83.67,4.855,12.0,438137427.0,-52901726.0,4.855,18.0,,,,,
2023-11-07 16:34:38,5.0,118.0,,86.65,4.688,12.0,438137625.0,-52901428.0,4.688,18.0,,,,,
2023-11-07 16:34:39,5.0,118.0,,90.29,4.557,12.0,438137781.0,-52900990.0,4.557,18.0,,,,,
