distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,calories,heart_rate,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,temperature
0.0,3.139,15,438142202,-52899738,3.139,2023-11-14 17:10:47,,,,,,,,,
3.41,3.263,16,438142555,-52899596,3.263,2023-11-14 17:10:48,0.0,111.0,,,,,,,
6.82,3.387,17,438142907,-52899454,3.387,2023-11-14 17:10:49,0.0,111.0,39.200000000000045,0.0,96.0,0.0,39.200000000000045,4.84,
10.23,3.512,18,438143260,-52899312,3.512,2023-11-14 17:10:50,0.0,112.0,39.39999999999998,0.0,,0.0,39.39999999999998,4.67,
14.48,3.818,18,438143695,-52899317,3.818,2023-11-14 17:10:51,0.0,112.0,39.39999999999998,0.0,,0.0,39.39999999999998,4.47,
18.56,3.894,17,438143906,-52899729,3.894,2023-11-14 17:10:52,0.0,112.0,39.60000000000002,0.0,,0.0,39.60000000000002,4.2,
22.42,3.886,16,438144118,-52900175,3.886,2023-11-14 17:10:53,0.0,111.0,39.60000000000002,0.0,,0.0,39.60000000000002,3.82,19.0
25.31,3.881,16,438144307,-52900468,3.881,2023-11-14 17:10:54,0.0,111.0,39.60000000000002,0.0,,0.0,39.60000000000002,3.32,19.0
26.71,3.472,15,438144268,-52900517,3.472,2023-11-14 17:10:55,1.0,110.0,39.60000000000002,1.0,,0.0,39.60000000000002,2.78,19.0
29.04,3.072,14,438144030,-52900627,3.072,2023-11-14 17:10:56,1.0,111.0,39.799999999999955,1.0,,0.0,39.799999999999955,2.27,19.0
30.55,2.77,14,438143940,-52900782,2.77,2023-11-14 17:10:57,1.0,111.0,39.799999999999955,1.0,,0.0,39.799999999999955,1.85,19.0
32.13,2.501,13,438143932,-52900993,2.501,2023-11-14 17:10:58,1.0,112.0,39.799999999999955,1.0,,0.0,39.799999999999955,1.53,19.0
34.06,2.36,13,438143821,-52901228,2.36,2023-11-14 17:10:59,1.0,113.0,39.799999999999955,1.0,,0.0,39.799999999999955,1.29,19.0
37.17,2.27,12,438143538,-52901448,2.27,2023-11-14 17:11:00,1.0,115.0,39.799999999999955,1.0,,0.0,39.799999999999955,1.12,19.0
40.88,3.919,12,438143182,-52901683,3.919,2023-11-14 17:11:01,1.0,116.0,39.799999999999955,1.0,,0.0,39.799999999999955,0.62,19.0
45.03,4.314,12,438142819,-52901953,4.314,2023-11-14 17:11:02,2.0,118.0,39.799999999999955,1.0,,0.0,39.799999999999955,0.0,19.0
