calories,heart_rate,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,altitude,enhanced_altitude,ascent,descent,grade
0,110,2023-12-18 15:32:52,,,,,,,,,,,,,
0,110,2023-12-18 15:32:53,79.0,,,,,,,,,,,,
0,110,2023-12-18 15:32:54,,0.0,0.0,31.0,438126683.0,-52889298.0,0.0,16.0,,,,,
0,109,2023-12-18 15:32:55,,0.0,0.0,30.0,438126452.0,-52889288.0,0.0,16.0,,,,,
0,111,2023-12-18 15:32:56,,0.0,0.0,29.0,438126261.0,-52889356.0,0.0,16.0,,,,,
0,113,2023-12-18 15:32:59,,0.0,2.16,26.0,438125922.0,-52890608.0,2.16,16.0,,,,,
0,113,2023-12-18 15:33:00,,1.94,5.248,25.0,438125846.0,-52891210.0,5.248,16.0,,,,,
1,113,2023-12-18 15:33:01,,5.53,5.532,24.0,438125656.0,-52891575.0,5.532,16.0,,,,,
1,114,2023-12-18 15:33:02,,7.92,5.4,23.0,438125759.0,-52891856.0,5.4,16.0,,,,,
1,114,2023-12-18 15:33:03,,10.74,4.915,22.0,438125921.0,-52892172.0,4.915,16.0,,,,,
1,114,2023-12-18 15:33:04,,13.48,4.491,21.0,438126000.0,-52892518.0,4.491,16.0,,,,,
1,114,2023-12-18 15:33:05,,16.6,4.17,22.0,438126112.0,-52892901.0,4.17,16.0,,,,,
1,115,2023-12-18 15:33:06,,20.99,4.021,22.0,438126404.0,-52893349.0,4.021,16.0,,,,,
2,116,2023-12-18 15:33:07,,26.09,4.042,22.0,438126854.0,-52893707.0,4.042,16.0,,,,,
2,116,2023-12-18 15:33:08,,32.47,4.264,22.0,438127454.0,-52894149.0,4.264,16.0,,,,,
2,114,2023-12-18 15:33:09,,37.26,4.725,22.0,438127832.0,-52894571.0,4.725,16.0,,,,,
2,113,2023-12-18 15:33:10,,39.69,3.734,29.0,438127875.0,-52894860.0,3.734,16.0,,,,,
2,112,2023-12-18 15:33:11,,42.03,3.047,37.0,438127709.0,-52895069.0,3.047,16.0,,,,,
2,113,2023-12-18 15:33:12,,44.6,4.326,36.0,438127473.0,-52895268.0,4.326,16.0,,,,,
3,110,2023-12-18 15:33:13,,46.39,3.772,35.0,438127347.0,-52895458.0,3.772,16.0,,,,,
3,109,2023-12-18 15:33:14,,48.61,3.356,34.0,438127431.0,-52895668.0,3.356,16.0,,,,,
3,109,2023-12-18 15:33:15,,51.83,3.156,33.0,438127649.0,-52895977.0,3.156,16.0,,,,,
3,110,2023-12-18 15:33:16,,56.03,3.171,32.0,438127842.0,-52896478.0,3.171,16.0,,,,,
3,110,2023-12-18 15:33:17,,61.71,3.732,31.0,438128171.0,-52897121.0,3.732,16.0,,,,,
3,112,2023-12-18 15:33:18,,67.55,4.858,30.0,438128581.0,-52897719.0,4.858,16.0,,,,,
3,112,2023-12-18 15:33:19,,74.23,5.333,29.0,438129117.0,-52898297.0,5.333,16.0,,,,,
4,114,2023-12-18 15:33:20,,81.71,5.357,28.0,438129826.0,-52898789.0,5.357,16.0,,,,,
4,115,2023-12-18 15:33:21,,88.58,5.523,28.0,438130511.0,-52899115.0,5.523,16.0,,,,,
4,116,2023-12-18 15:33:22,,96.78,5.815,28.0,438131345.0,-52899390.0,5.815,16.0,,,,,
4,117,2023-12-18 15:33:23,,106.04,6.136,28.0,438132299.0,-52899674.0,6.136,16.0,,,,,
4,118,2023-12-18 15:33:24,,114.15,6.522,28.0,438133173.0,-52899819.0,6.522,16.0,,,,,
4,119,2023-12-18 15:33:25,,123.39,7.017,27.0,438134166.0,-52899880.0,7.017,16.0,,,,,
5,118,2023-12-18 15:33:26,,132.54,7.683,27.0,438135137.0,-52899896.0,7.683,16.0,,,,,
5,120,2023-12-18 15:33:27,,152.52,8.182,26.0,438137296.0,-52899968.0,8.182,16.0,,,,,
5,120,2023-12-18 15:33:28,,178.42,8.558,24.0,438140072.0,-52900128.0,8.558,16.0,,,,,
5,121,2023-12-18 15:33:29,,183.91,8.634,22.0,438140647.0,-52900239.0,8.634,16.0,,,,,
5,121,2023-12-18 15:33:30,,185.22,8.397,21.0,438140775.0,-52900143.0,8.397,16.0,,,,,
6,121,2023-12-18 15:33:31,,187.62,8.012,21.0,438140958.0,-52899924.0,8.012,16.0,,,,,
6,122,2023-12-18 15:33:32,,190.22,7.432,20.0,438141139.0,-52899663.0,7.432,16.0,,,,,
6,123,2023-12-18 15:33:33,,192.64,6.79,20.0,438141321.0,-52899449.0,6.79,16.0,,,,,
6,123,2023-12-18 15:33:34,,193.82,3.702,20.0,438141485.0,-52899329.0,3.702,16.0,,,,,
6,124,2023-12-18 15:33:35,,193.82,0.0,19.0,438141584.0,-52899263.0,0.0,16.0,,,,,
6,124,2023-12-18 15:33:36,,193.82,0.0,18.0,438141648.0,-52899399.0,0.0,16.0,,,,,
7,125,2023-12-18 15:33:37,,193.82,0.0,17.0,438141795.0,-52899867.0,0.0,16.0,,,,,
7,125,2023-12-18 15:33:38,,195.88,0.653,17.0,438142079.0,-52900342.0,0.653,16.0,,,,,
7,124,2023-12-18 15:33:39,,200.93,1.431,16.0,438142480.0,-52900807.0,1.431,16.0,,,,,
7,123,2023-12-18 15:33:40,,205.87,1.425,15.0,438142916.0,-52901198.0,1.425,16.0,,,,,
7,123,2023-12-18 15:33:41,,210.1,1.911,14.0,438143214.0,-52901588.0,1.911,16.0,,,,,
8,122,2023-12-18 15:33:42,,213.57,2.186,14.0,438143332.0,-52902028.0,2.186,16.0,,,,,
8,122,2023-12-18 15:33:43,,217.06,2.203,13.0,438143423.0,-52902483.0,2.203,16.0,,,,,
8,122,2023-12-18 15:33:44,,220.57,2.299,13.0,438143514.0,-52902934.0,2.299,16.0,,,,,
8,122,2023-12-18 15:33:45,,223.91,2.329,13.0,438143642.0,-52903352.0,2.329,16.0,,,,,
8,122,2023-12-18 15:33:46,,227.68,2.186,13.0,438143824.0,-52903802.0,2.186,16.0,,,,,
8,122,2023-12-18 15:33:47,,232.28,2.203,12.0,438144062.0,-52904323.0,2.203,16.0,,,,,
9,123,2023-12-18 15:33:48,,237.54,2.275,12.0,438144362.0,-52904919.0,2.275,16.0,,,,,
9,124,2023-12-18 15:33:49,,243.33,2.403,12.0,438144635.0,-52905617.0,2.403,16.0,,,,,
9,125,2023-12-18 15:33:50,,248.79,3.678,11.0,438144871.0,-52906284.0,3.678,16.0,,,,,
9,126,2023-12-18 15:33:51,,253.06,5.071,11.0,438145034.0,-52906820.0,5.071,16.0,,,,,
9,128,2023-12-18 15:33:52,,257.63,4.414,11.0,438145208.0,-52907391.0,4.414,16.0,,,,,
10,130,2023-12-18 15:33:53,,263.15,4.761,11.0,438145473.0,-52908047.0,4.761,16.0,,,,,
10,131,2023-12-18 15:33:54,,268.83,5.637,12.0,438145754.0,-52908721.0,5.637,16.0,,,,,
10,134,2023-12-18 15:33:55,,273.73,5.576,13.0,438145944.0,-52909327.0,5.576,16.0,,,,,
10,134,2023-12-18 15:33:56,,279.24,5.04,14.0,438146118.0,-52910031.0,5.04,16.0,,,,,
10,136,2023-12-18 15:33:57,,285.43,5.034,13.0,438146290.0,-52910830.0,5.034,16.0,,,,,
11,137,2023-12-18 15:33:58,,290.61,5.328,14.0,438146362.0,-52911513.0,5.328,16.0,,,,,
11,138,2023-12-18 15:33:59,,295.5,5.307,14.0,438146389.0,-52912165.0,5.307,16.0,,,,,
11,138,2023-12-18 15:34:00,,300.38,5.004,15.0,438146408.0,-52912816.0,5.004,16.0,,,,,
11,138,2023-12-18 15:34:01,,304.99,4.719,16.0,438146472.0,-52913426.0,4.719,16.0,,,,,
12,138,2023-12-18 15:34:02,,309.73,4.742,16.0,438146563.0,-52914046.0,4.742,16.0,,,,,
12,137,2023-12-18 15:34:03,,314.97,4.927,16.0,438146747.0,-52914693.0,4.927,16.0,,,,,
12,136,2023-12-18 15:34:04,,322.45,5.663,15.0,438147122.0,-52915575.0,5.663,16.0,,,,,
12,135,2023-12-18 15:34:05,,329.96,6.766,15.0,438147539.0,-52916392.0,6.766,16.0,,,,,
12,133,2023-12-18 15:34:06,,334.08,6.236,14.0,438147940.0,-52916409.0,6.236,16.0,,,,,
