calories,heart_rate,timestamp,battery_soc,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,ascent,descent,grade
0,106,2024-01-06 08:42:52,,,,,,,,,,,,,
0,106,2024-01-06 08:42:53,,,,,,,,,,,,,
0,106,2024-01-06 08:42:54,100.0,,,,,,,,,,,,
0,105,2024-01-06 08:42:55,,13.0,,,,,,,,,,,
0,104,2024-01-06 08:42:56,,13.0,,,,,,,,,,,
0,103,2024-01-06 08:42:57,,13.0,0.0,0.0,17.0,438133464.0,-52893713.0,0.0,,,,,
0,104,2024-01-06 08:42:58,,13.0,0.0,0.0,21.0,438133087.0,-52893734.0,0.0,,,,,
0,105,2024-01-06 08:42:59,,13.0,0.0,0.0,21.0,438133055.0,-52893788.0,0.0,,,,,
0,103,2024-01-06 08:43:00,,13.0,0.0,0.0,21.0,438132976.0,-52893867.0,0.0,,,,,
1,104,2024-01-06 08:43:01,,13.0,0.0,0.0,20.0,438132629.0,-52894019.0,0.0,,,,,
1,102,2024-01-06 08:43:02,,13.0,0.0,0.0,20.0,438132724.0,-52893944.0,0.0,,,,,
1,102,2024-01-06 08:43:03,,13.0,0.0,0.0,18.0,438134188.0,-52893769.0,0.0,,,,,
1,102,2024-01-06 08:43:04,,13.0,0.0,0.0,17.0,438134163.0,-52893571.0,0.0,,,,,
1,103,2024-01-06 08:43:05,,13.0,0.0,0.0,16.0,438133936.0,-52893609.0,0.0,,,,,
1,105,2024-01-06 08:43:06,,13.0,0.0,0.0,15.0,438133705.0,-52893670.0,0.0,,,,,
1,105,2024-01-06 08:43:07,,13.0,0.0,0.0,14.0,438133692.0,-52893861.0,0.0,,,,,
2,104,2024-01-06 08:43:08,,13.0,0.0,0.0,13.0,438133735.0,-52894045.0,0.0,,,,,
2,106,2024-01-06 08:43:09,,13.0,0.0,0.0,13.0,438133823.0,-52894242.0,0.0,,,,,
2,107,2024-01-06 08:43:10,,13.0,0.0,0.0,12.0,438133914.0,-52894495.0,0.0,,,,,
2,111,2024-01-06 08:43:11,,13.0,0.0,0.0,12.0,438133962.0,-52894868.0,0.0,,,,,
2,110,2024-01-06 08:43:12,,13.0,3.69,2.262,11.0,438133880.0,-52895370.0,2.262,,,,,
2,111,2024-01-06 08:43:13,,13.0,6.87,2.77,11.0,438133874.0,-52895797.0,2.77,,,,,
2,114,2024-01-06 08:43:14,,13.0,9.83,2.829,10.0,438133832.0,-52896192.0,2.829,,,,,
