distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,calories,heart_rate,temperature,altitude,enhanced_altitude,ascent,descent,grade
0.0,0.0,12,438135831,-52890038,0.0,2024-01-14 15:59:15,,,,,,,,,
0.13,0.336,12,438135814,-52890058,0.336,2024-01-14 15:59:16,74.0,0.0,110.0,16.0,,,,,
0.27,0.672,12,438135798,-52890079,0.672,2024-01-14 15:59:17,,0.0,110.0,16.0,,,,,
0.75,1.104,13,438135745,-52890082,1.104,2024-01-14 15:59:18,,0.0,110.0,16.0,,,,,
2.44,1.703,15,438135582,-52890005,1.703,2024-01-14 15:59:19,,0.0,111.0,16.0,,,,,
4.05,1.703,16,438135482,-52889852,1.703,2024-01-14 15:59:20,,0.0,111.0,16.0,,,,,
5.94,1.69,16,438135355,-52889652,1.69,2024-01-14 15:59:21,,0.0,110.0,16.0,,,,,
7.56,1.59,15,438135265,-52889454,1.59,2024-01-14 15:59:22,,0.0,110.0,16.0,,,,,
9.34,1.446,15,438135164,-52889260,1.446,2024-01-14 15:59:23,,1.0,109.0,16.0,,,,,
11.39,1.779,15,438135027,-52889057,1.779,2024-01-14 15:59:24,,1.0,108.0,16.0,,,,,
14.18,2.33,15,438134880,-52888742,2.33,2024-01-14 15:59:25,,1.0,107.0,16.0,,,,,
17.2,2.705,14,438134718,-52888380,2.705,2024-01-14 15:59:26,,1.0,106.0,16.0,,,,,
19.98,2.936,14,438134618,-52888036,2.936,2024-01-14 15:59:27,,1.0,106.0,16.0,,,,,
23.91,3.002,14,438134482,-52887537,3.002,2024-01-14 15:59:28,,1.0,106.0,16.0,,,,,
27.61,3.268,13,438134315,-52887086,3.268,2024-01-14 15:59:29,,1.0,106.0,16.0,,,,,
32.09,3.361,13,438134033,-52886613,3.361,2024-01-14 15:59:30,,2.0,106.0,16.0,,,,,
36.51,3.423,12,438133714,-52886189,3.423,2024-01-14 15:59:31,,2.0,105.0,16.0,,,,,
41.36,3.729,12,438133405,-52885654,3.729,2024-01-14 15:59:32,,2.0,105.0,16.0,,,,,
46.53,4.09,11,438133152,-52885044,4.09,2024-01-14 15:59:33,,2.0,105.0,16.0,,,,,
51.64,4.376,11,438132989,-52884394,4.376,2024-01-14 15:59:34,,2.0,104.0,16.0,,,,,
56.2,4.564,11,438132898,-52883796,4.564,2024-01-14 15:59:35,,2.0,103.0,16.0,,,,,
60.36,4.573,12,438132797,-52883256,4.573,2024-01-14 15:59:36,,2.0,101.0,16.0,,,,,
65.07,4.615,12,438132671,-52882648,4.615,2024-01-14 15:59:37,,3.0,99.0,16.0,,,,,
69.5,4.658,13,438132599,-52882058,4.658,2024-01-14 15:59:38,,3.0,97.0,16.0,,,,,
73.7,4.615,14,438132579,-52881501,4.615,2024-01-14 15:59:39,,3.0,97.0,16.0,,,,,
78.3,4.464,13,438132438,-52880922,4.464,2024-01-14 15:59:40,,3.0,97.0,16.0,28.0,28.0,,,
83.74,4.464,12,438132119,-52880315,4.464,2024-01-14 15:59:41,,3.0,96.0,16.0,28.0,28.0,0.0,0.0,0.0
88.08,4.429,12,438131800,-52879886,4.429,2024-01-14 15:59:42,,3.0,96.0,16.0,28.0,28.0,0.0,0.0,0.0
91.96,4.289,13,438131481,-52879558,4.289,2024-01-14 15:59:43,,3.0,95.0,16.0,27.799999999999955,27.799999999999955,0.0,0.0,0.0
95.52,4.198,14,438131113,-52879514,4.198,2024-01-14 15:59:44,,3.0,94.0,16.0,27.799999999999955,27.799999999999955,0.0,0.0,0.0
100.66,4.489,13,438130546,-52879594,4.489,2024-01-14 15:59:45,,3.0,93.0,16.0,27.600000000000023,27.600000000000023,0.0,0.0,0.0
106.84,5.756,13,438129899,-52879688,5.756,2024-01-14 15:59:46,,4.0,93.0,16.0,27.399999999999977,27.399999999999977,0.0,0.0,0.0
113.13,5.708,13,438129227,-52879828,5.708,2024-01-14 15:59:47,,4.0,93.0,16.0,27.200000000000045,27.200000000000045,0.0,0.0,0.0
119.34,5.867,13,438128572,-52879948,5.867,2024-01-14 15:59:48,,4.0,93.0,16.0,27.0,27.0,0.0,1.0,-1.9
125.99,6.019,12,438127873,-52880010,6.019,2024-01-14 15:59:49,,4.0,94.0,16.0,27.0,27.0,0.0,1.0,-2.24
131.77,6.038,12,438127228,-52880095,6.038,2024-01-14 15:59:50,,4.0,94.0,16.0,26.799999999999955,26.799999999999955,0.0,1.0,-2.48
139.2,6.111,12,438126442,-52880271,6.111,2024-01-14 15:59:51,,4.0,95.0,16.0,26.600000000000023,26.600000000000023,0.0,1.0,-2.61
145.73,6.139,12,438125759,-52880425,6.139,2024-01-14 15:59:52,,4.0,96.0,16.0,26.399999999999977,26.399999999999977,0.0,1.0,-2.63
152.03,6.041,12,438125086,-52880567,6.041,2024-01-14 15:59:53,,4.0,98.0,16.0,26.200000000000045,26.200000000000045,0.0,2.0,-2.62
158.3,5.723,12,438124429,-52880744,5.723,2024-01-14 15:59:54,,4.0,100.0,16.0,26.0,26.0,0.0,2.0,-2.64
165.23,5.864,12,438123711,-52880965,5.864,2024-01-14 15:59:55,,5.0,101.0,16.0,25.799999999999955,25.799999999999955,0.0,2.0,-2.69
171.62,6.0,12,438123027,-52881093,6.0,2024-01-14 15:59:56,,5.0,99.0,16.0,25.600000000000023,25.600000000000023,0.0,2.0,-2.78
178.28,6.004,13,438122315,-52881071,6.004,2024-01-14 15:59:57,,5.0,97.0,16.0,25.399999999999977,25.399999999999977,0.0,2.0,-2.89
186.49,6.193,12,438121468,-52880921,6.193,2024-01-14 15:59:58,,5.0,95.0,16.0,25.200000000000045,25.200000000000045,0.0,3.0,-2.99
195.42,6.916,12,438120511,-52880824,6.916,2024-01-14 15:59:59,,5.0,94.0,16.0,25.0,25.0,0.0,3.0,-3.04
204.08,7.278,11,438119573,-52880802,7.278,2024-01-14 16:00:00,,5.0,95.0,16.0,24.799999999999955,24.799999999999955,0.0,3.0,-3.03
211.73,7.162,11,438118728,-52880762,7.162,2024-01-14 16:00:01,,5.0,97.0,16.0,24.600000000000023,24.600000000000023,0.0,3.0,-2.93
218.86,6.672,11,438117966,-52880744,6.672,2024-01-14 16:00:02,,5.0,100.0,16.0,24.600000000000023,24.600000000000023,0.0,3.0,-2.72
225.76,6.388,11,438117237,-52880784,6.388,2024-01-14 16:00:03,,6.0,102.0,16.0,24.399999999999977,24.399999999999977,0.0,3.0,-2.43
232.7,6.52,11,438116510,-52880757,6.52,2024-01-14 16:00:04,,6.0,103.0,16.0,24.399999999999977,24.399999999999977,0.0,4.0,-2.14
