cadence,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,power,temperature,altitude,ascent,descent,enhanced_altitude,grade,left_right_balance
0,0,0.0,2.953,27,120,438135103,-52891409,2.953,2024-01-16 15:42:12,,,,,,,,,
0,0,2.01,2.701,26,120,438134952,-52891606,2.701,2024-01-16 15:42:13,84.0,0.0,,,,,,,
0,0,6.92,3.755,25,120,438135412,-52891483,3.755,2024-01-16 15:42:14,,0.0,15.0,,,,,,
0,0,10.23,2.861,23,121,438135550,-52891133,2.861,2024-01-16 15:42:15,,0.0,15.0,,,,,,
0,0,11.64,2.9,22,121,438135482,-52890975,2.9,2024-01-16 15:42:16,,0.0,15.0,,,,,,
0,0,13.78,2.316,20,121,438135353,-52890737,2.316,2024-01-16 15:42:17,,0.0,15.0,,,,,,
0,0,16.33,2.271,19,120,438135368,-52890412,2.271,2024-01-16 15:42:18,,0.0,15.0,,,,,,
0,0,18.79,2.319,18,119,438135262,-52890139,2.319,2024-01-16 15:42:19,,0.0,15.0,,,,,,
0,0,22.36,2.349,17,119,438134935,-52889895,2.349,2024-01-16 15:42:20,,0.0,15.0,,,,,,
0,0,27.02,2.787,17,118,438134459,-52889690,2.787,2024-01-16 15:42:21,,0.0,15.0,,,,,,
0,0,30.48,3.2,16,117,438134147,-52889425,3.2,2024-01-16 15:42:22,,0.0,15.0,,,,,,
0,0,32.0,3.269,16,115,438134064,-52889265,3.269,2024-01-16 15:42:23,,0.0,15.0,,,,,,
0,0,32.2,0.549,15,113,438134056,-52889242,0.549,2024-01-16 15:42:24,,0.0,15.0,,,,,,
0,0,32.2,0.0,15,112,438134018,-52889223,0.0,2024-01-16 15:42:25,,0.0,15.0,,,,,,
0,0,32.2,0.0,15,111,438134010,-52889219,0.0,2024-01-16 15:42:26,,0.0,15.0,,,,,,
0,0,32.2,0.0,14,108,438133973,-52889317,0.0,2024-01-16 15:42:27,,0.0,15.0,,,,,,
0,0,32.2,0.0,13,106,438134003,-52889338,0.0,2024-01-16 15:42:28,,0.0,15.0,,,,,,
0,0,32.2,0.0,13,102,438134010,-52889338,0.0,2024-01-16 15:42:29,,0.0,15.0,,,,,,
0,0,32.2,0.0,12,100,438134010,-52889324,0.0,2024-01-16 15:42:30,,0.0,15.0,,,,,,
0,0,32.2,0.0,12,98,438134010,-52889321,0.0,2024-01-16 15:42:31,,0.0,15.0,,,,,,
0,0,32.2,0.0,11,97,438134048,-52889321,0.0,2024-01-16 15:42:32,,0.0,15.0,,,,,,
0,0,32.2,0.0,11,97,438134056,-52889321,0.0,2024-01-16 15:42:33,,0.0,15.0,,,,,,
0,0,32.2,0.0,10,98,438134056,-52889302,0.0,2024-01-16 15:42:34,,0.0,15.0,,,,,,
