battery_soc,calories,distance,timestamp,enhanced_speed,position_lat,position_long,speed,temperature,cadence,heart_rate,power,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade,vertical_speed
100.0,0,0.0,2024-01-20 07:18:29,,,,,,,,,,,,,,,
100.0,0,0.0,2024-01-20 07:18:30,0.0,438131143.0,-52891807.0,0.0,14.0,,,,,,,,,,
,0,0.0,2024-01-20 07:18:31,0.0,438131234.0,-52891785.0,0.0,14.0,0.0,98.0,0.0,,,,,,,
,0,0.0,2024-01-20 07:18:32,0.0,438131416.0,-52891978.0,0.0,14.0,0.0,101.0,0.0,,,,,,,
,0,0.04,2024-01-20 07:18:33,0.069,438131370.0,-52892103.0,0.069,14.0,0.0,104.0,0.0,,,,,,,
,0,0.54,2024-01-20 07:18:34,0.784,438131325.0,-52892069.0,0.784,14.0,0.0,100.0,0.0,,,,,,,
,0,2.15,2024-01-20 07:18:35,1.507,438131325.0,-52891864.0,1.507,14.0,0.0,97.0,0.0,,,,,,,
,0,4.69,2024-01-20 07:18:36,2.145,438131507.0,-52891625.0,2.145,14.0,0.0,98.0,0.0,,,,,,,
,0,7.09,2024-01-20 07:18:37,1.98,438131370.0,-52891346.0,1.98,14.0,0.0,98.0,0.0,,,,,,,
,0,10.05,2024-01-20 07:18:38,2.381,438131279.0,-52890965.0,2.381,14.0,0.0,96.0,0.0,,,,,,,
,0,13.58,2024-01-20 07:18:39,2.426,438131325.0,-52890499.0,2.426,14.0,71.0,96.0,6.0,171.0,,,,,,
,0,16.32,2024-01-20 07:18:40,2.861,438131370.0,-52890140.0,2.861,14.0,60.0,96.0,17.0,185.0,,,,,,
,0,19.28,2024-01-20 07:18:41,2.863,438131370.0,-52889748.0,2.863,14.0,69.0,96.0,71.0,163.0,,,,,,
,0,23.4,2024-01-20 07:18:42,2.926,438131279.0,-52889207.0,2.926,14.0,46.0,98.0,150.0,189.0,,,,,,
,0,27.7,2024-01-20 07:18:43,3.396,438131325.0,-52888639.0,3.396,14.0,79.0,97.0,126.0,142.0,,,,,,
,0,33.23,2024-01-20 07:18:44,3.739,438131416.0,-52887916.0,3.739,14.0,58.0,97.0,118.0,,,,,,,
,0,38.89,2024-01-20 07:18:45,3.873,438131553.0,-52887177.0,3.873,14.0,0.0,97.0,0.0,,,,,,,
,0,43.44,2024-01-20 07:18:46,4.441,438131416.0,-52886596.0,4.441,14.0,0.0,101.0,0.0,,,,,,,
,0,48.48,2024-01-20 07:18:47,4.602,438131279.0,-52885953.0,4.602,14.0,0.0,100.0,0.0,,,,,,,
,0,53.71,2024-01-20 07:18:48,4.869,438131097.0,-52885282.0,4.869,14.0,0.0,99.0,0.0,,,,,,,
,0,58.66,2024-01-20 07:18:49,4.954,438130961.0,-52884651.0,4.954,14.0,0.0,97.0,0.0,,,,,,,
,0,63.69,2024-01-20 07:18:50,5.062,438130779.0,-52884008.0,5.062,14.0,0.0,96.0,0.0,,,,,,,
,0,68.81,2024-01-20 07:18:51,5.228,438130642.0,-52883354.0,5.228,14.0,0.0,96.0,0.0,,22.799999999999955,0.0,0.0,22.799999999999955,0.0,0.0
,0,74.35,2024-01-20 07:18:52,5.515,438130460.0,-52882642.0,5.515,14.0,0.0,97.0,0.0,,22.799999999999955,0.0,0.0,22.799999999999955,0.0,0.0
,0,80.14,2024-01-20 07:18:53,5.702,438130278.0,-52881903.0,5.702,14.0,0.0,97.0,0.0,,22.799999999999955,0.0,0.0,22.799999999999955,0.0,0.0
,0,86.05,2024-01-20 07:18:54,5.779,438130096.0,-52881152.0,5.779,14.0,0.0,97.0,0.0,,22.799999999999955,0.0,0.0,22.799999999999955,0.0,0.0
