cadence,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,power,temperature,left_right_balance
0,0,0.0,0.0,11,100,438133373,-52890891,0.0,2024-01-24 15:22:21,,,,,,,,,
0,0,0.0,0.0,11,99,438133373,-52890891,0.0,2024-01-24 15:22:22,29.200000000000045,0.0,73.0,0.0,29.200000000000045,0.0,0.0,,
0,0,0.0,0.0,11,98,438133373,-52890891,0.0,2024-01-24 15:22:23,29.200000000000045,0.0,,0.0,29.200000000000045,0.0,0.0,,
0,0,0.03,0.248,11,98,438133373,-52890887,0.248,2024-01-24 15:22:24,29.200000000000045,0.0,,0.0,29.200000000000045,0.0,0.0,17.0,
0,0,0.5,1.173,12,97,438133384,-52890828,1.173,2024-01-24 15:22:25,29.200000000000045,0.0,,0.0,29.200000000000045,0.0,0.0,17.0,
0,0,2.04,1.444,13,97,438133397,-52890633,1.444,2024-01-24 15:22:26,29.200000000000045,0.0,,0.0,29.200000000000045,0.0,0.0,17.0,
0,0,3.69,1.444,12,96,438133297,-52890444,1.444,2024-01-24 15:22:27,29.200000000000045,0.0,,0.0,29.200000000000045,0.0,0.0,17.0,
45,0,5.93,1.556,12,96,438133150,-52890209,1.556,2024-01-24 15:22:28,29.200000000000045,0.0,,0.0,29.200000000000045,0.0,67.0,17.0,177.0
59,0,8.82,2.115,11,96,438132977,-52889887,2.115,2024-01-24 15:22:29,29.0,0.0,,0.0,29.0,0.0,193.0,17.0,177.0
65,0,11.98,2.779,11,96,438132851,-52889498,2.779,2024-01-24 15:22:30,29.0,0.0,,0.0,29.0,0.0,202.0,17.0,178.0
73,0,15.43,3.025,11,97,438132739,-52889061,3.025,2024-01-24 15:22:31,29.0,0.0,,0.0,29.0,0.0,142.0,17.0,167.0
0,0,19.19,3.031,10,98,438132546,-52888627,3.031,2024-01-24 15:22:32,28.799999999999955,0.0,,0.0,28.799999999999955,0.0,0.0,17.0,168.0
0,0,22.98,3.325,10,99,438132318,-52888205,3.325,2024-01-24 15:22:33,28.799999999999955,0.0,,1.0,28.799999999999955,-1.64,0.0,17.0,172.0
0,0,26.76,3.094,10,99,438132090,-52887794,3.094,2024-01-24 15:22:34,28.600000000000023,0.0,,1.0,28.600000000000023,-2.84,0.0,17.0,175.0
0,0,29.92,2.956,10,102,438131885,-52887453,2.956,2024-01-24 15:22:35,28.600000000000023,0.0,,2.0,28.600000000000023,-2.88,0.0,17.0,179.0
0,0,33.37,3.18,10,103,438131770,-52887012,3.18,2024-01-24 15:22:36,28.600000000000023,0.0,,2.0,28.600000000000023,-2.71,0.0,17.0,182.0
0,0,37.41,3.746,10,103,438131703,-52886490,3.746,2024-01-24 15:22:37,28.399999999999977,0.0,,2.0,28.399999999999977,-2.47,0.0,17.0,186.0
0,0,41.74,4.258,11,103,438131557,-52885938,4.258,2024-01-24 15:22:38,28.399999999999977,0.0,,2.0,28.399999999999977,-2.26,0.0,17.0,190.0
0,0,45.98,4.231,14,102,438131385,-52885403,4.231,2024-01-24 15:22:39,28.200000000000045,0.0,,2.0,28.200000000000045,-2.12,0.0,17.0,193.0
0,0,50.03,4.078,16,101,438131249,-52884891,4.078,2024-01-24 15:22:40,28.200000000000045,0.0,,2.0,28.200000000000045,-2.0,0.0,17.0,197.0
82,0,53.93,3.856,16,104,438131111,-52884401,3.856,2024-01-24 15:22:41,28.200000000000045,0.0,,2.0,28.200000000000045,-1.91,0.0,17.0,200.0
82,0,57.82,3.798,15,103,438130975,-52883912,3.798,2024-01-24 15:22:42,28.0,0.0,,2.0,28.0,-1.85,5.0,17.0,192.0
80,0,62.76,3.894,15,103,438130849,-52883271,3.894,2024-01-24 15:22:43,28.0,0.0,,2.0,28.0,-1.85,30.0,17.0,153.0
74,0,68.01,4.34,15,103,438130758,-52882582,4.34,2024-01-24 15:22:44,27.799999999999955,0.0,,2.0,27.799999999999955,-1.94,46.0,17.0,153.0
0,0,73.06,4.413,15,103,438130636,-52881930,4.413,2024-01-24 15:22:45,27.600000000000023,0.0,,2.0,27.600000000000023,-2.08,0.0,17.0,155.0
0,0,77.22,4.527,15,103,438130418,-52881441,4.527,2024-01-24 15:22:46,27.600000000000023,0.0,,2.0,27.600000000000023,-2.17,0.0,17.0,158.0
0,0,79.21,4.468,15,100,438130238,-52881297,4.468,2024-01-24 15:22:47,27.399999999999977,0.0,,3.0,27.399999999999977,-2.24,0.0,17.0,160.0
8,0,81.16,3.695,16,97,438130034,-52881319,3.695,2024-01-24 15:22:48,27.399999999999977,0.0,,3.0,27.399999999999977,-2.31,1.0,17.0,163.0
82,0,84.3,3.103,17,96,438129718,-52881279,3.103,2024-01-24 15:22:49,27.200000000000045,0.0,,3.0,27.200000000000045,-2.37,77.0,17.0,165.0
87,1,88.74,3.523,20,95,438129242,-52881258,3.523,2024-01-24 15:22:50,27.0,0.0,,3.0,27.0,-2.42,127.0,17.0,176.0
88,1,93.5,4.33,25,95,438128719,-52881298,4.33,2024-01-24 15:22:51,27.0,0.0,,3.0,27.0,-2.47,110.0,17.0,174.0
87,1,97.67,4.597,24,97,438128263,-52881337,4.597,2024-01-24 15:22:52,26.799999999999955,0.0,,3.0,26.799999999999955,-2.58,100.0,17.0,145.0
77,1,102.1,4.47,24,98,438127806,-52881372,4.47,2024-01-24 15:22:53,26.600000000000023,0.0,,3.0,26.600000000000023,-2.74,95.0,17.0,145.0
0,1,106.21,4.338,23,98,438127359,-52881376,4.338,2024-01-24 15:22:54,26.600000000000023,0.0,,3.0,26.600000000000023,-2.82,0.0,17.0,150.0
0,1,109.84,4.257,23,99,438126952,-52881336,4.257,2024-01-24 15:22:55,26.399999999999977,0.0,,4.0,26.399999999999977,-2.81,0.0,17.0,156.0
0,1,113.86,4.068,23,98,438126545,-52881311,4.068,2024-01-24 15:22:56,26.399999999999977,0.0,,4.0,26.399999999999977,-2.73,0.0,17.0,161.0
0,1,117.71,3.936,23,96,438126134,-52881328,3.936,2024-01-24 15:22:57,26.200000000000045,0.0,,4.0,26.200000000000045,-2.61,0.0,17.0,166.0
0,1,121.53,3.923,22,94,438125715,-52881323,3.923,2024-01-24 15:22:58,26.0,0.0,,4.0,26.0,-2.51,0.0,17.0,172.0
74,1,125.89,4.062,23,90,438125248,-52881315,4.062,2024-01-24 15:22:59,26.0,0.0,,4.0,26.0,-2.52,55.0,17.0,177.0
79,1,130.53,4.486,23,90,438124746,-52881364,4.486,2024-01-24 15:23:00,25.799999999999955,0.0,,4.0,25.799999999999955,-2.61,107.0,17.0,179.0
84,1,135.11,4.659,23,91,438124258,-52881457,4.659,2024-01-24 15:23:01,25.600000000000023,0.0,,4.0,25.600000000000023,-2.69,156.0,17.0,170.0
85,1,139.37,4.889,22,91,438123811,-52881590,4.889,2024-01-24 15:23:02,25.399999999999977,0.0,,4.0,25.399999999999977,-2.84,167.0,17.0,173.0
82,1,143.41,4.894,23,94,438123379,-52881645,4.894,2024-01-24 15:23:03,25.200000000000045,0.0,,5.0,25.200000000000045,-3.08,144.0,17.0,171.0
85,2,148.56,5.0,24,97,438122837,-52881547,5.0,2024-01-24 15:23:04,25.0,0.0,,5.0,25.0,-3.26,129.0,17.0,174.0
88,2,154.87,5.176,24,98,438122151,-52881403,5.176,2024-01-24 15:23:05,24.799999999999955,0.0,,5.0,24.799999999999955,-3.36,127.0,17.0,171.0
91,2,161.93,5.812,24,99,438121405,-52881286,5.812,2024-01-24 15:23:06,24.600000000000023,0.0,,5.0,24.600000000000023,-3.43,121.0,17.0,166.0
80,2,169.28,6.068,24,100,438120634,-52881110,6.068,2024-01-24 15:23:07,24.600000000000023,0.0,,5.0,24.600000000000023,-3.43,114.0,17.0,171.0
82,2,176.88,6.57,24,101,438119839,-52880969,6.57,2024-01-24 15:23:08,24.399999999999977,0.0,,6.0,24.399999999999977,-3.34,110.0,17.0,176.0
