cadence,calories,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,heart_rate,power,battery_soc,temperature,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade
0,0,0.0,0.0,22,438134966,-52890891,0.0,2024-01-29 15:16:47,,,,,,,,,,
0,0,0.0,0.0,22,438134826,-52890992,0.0,2024-01-29 15:16:48,104.0,0.0,,,,,,,,
0,0,0.0,0.0,21,438134685,-52891093,0.0,2024-01-29 15:16:49,105.0,0.0,59.0,,,,,,,
0,0,0.0,0.0,21,438134504,-52891219,0.0,2024-01-29 15:16:50,105.0,0.0,,,,,,,,
0,0,0.0,0.0,20,438134353,-52891307,0.0,2024-01-29 15:16:51,103.0,0.0,,,,,,,,
0,0,0.0,0.0,20,438134286,-52891288,0.0,2024-01-29 15:16:52,103.0,0.0,,,,,,,,
0,0,0.0,0.0,20,438134217,-52891214,0.0,2024-01-29 15:16:53,104.0,0.0,,18.0,,,,,,
0,0,0.0,0.0,20,438134171,-52891124,0.0,2024-01-29 15:16:54,104.0,0.0,,18.0,,,,,,
0,0,0.0,0.0,20,438134064,-52891029,0.0,2024-01-29 15:16:55,105.0,0.0,,18.0,,,,,,
0,0,0.0,0.0,19,438133904,-52890901,0.0,2024-01-29 15:16:56,106.0,0.0,,18.0,,,,,,
0,0,0.0,0.0,18,438133767,-52890789,0.0,2024-01-29 15:16:57,107.0,0.0,,18.0,,,,,,
65,0,0.0,0.0,18,438133650,-52890678,0.0,2024-01-29 15:16:58,108.0,8.0,,18.0,,,,,,
65,0,0.0,0.0,17,438133436,-52890515,0.0,2024-01-29 15:16:59,106.0,29.0,,18.0,174.0,,,,,
36,0,1.05,0.896,17,438133175,-52890279,0.896,2024-01-29 15:17:00,107.0,45.0,,18.0,174.0,,,,,
0,0,3.03,1.894,16,438133079,-52890054,1.894,2024-01-29 15:17:01,107.0,0.0,,18.0,,,,,,
