cadence,calories,heart_rate,power,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade
0,0,112,0,2024-02-03 07:24:18,,,,,,,,,,,,,,
0,0,111,0,2024-02-03 07:24:19,73.0,0.0,0.0,16.0,438134556.0,-52891011.0,0.0,,,,,,,
0,0,112,0,2024-02-03 07:24:20,,0.0,0.0,16.0,438134450.0,-52891047.0,0.0,14.0,,,,,,
0,0,113,0,2024-02-03 07:24:21,,0.0,0.0,16.0,438134310.0,-52891078.0,0.0,14.0,,,,,,
0,0,113,0,2024-02-03 07:24:22,,0.0,0.0,16.0,438134056.0,-52891074.0,0.0,14.0,,,,,,
0,0,113,0,2024-02-03 07:24:23,,0.0,0.0,15.0,438133724.0,-52890948.0,0.0,14.0,,,,,,
0,0,114,0,2024-02-03 07:24:24,,0.0,0.0,15.0,438133477.0,-52890642.0,0.0,14.0,,,,,,
0,0,113,0,2024-02-03 07:24:25,,0.0,0.0,14.0,438133510.0,-52890355.0,0.0,14.0,,,,,,
0,0,110,0,2024-02-03 07:24:26,,0.0,0.0,13.0,438133462.0,-52890099.0,0.0,14.0,,,,,,
0,0,108,0,2024-02-03 07:24:27,,0.0,0.0,12.0,438133289.0,-52889715.0,0.0,14.0,,,,,,
67,0,106,23,2024-02-03 07:24:28,,0.0,0.0,12.0,438133178.0,-52889357.0,0.0,14.0,164.0,,,,,
79,0,104,52,2024-02-03 07:24:29,,1.13,0.784,12.0,438133107.0,-52888955.0,0.784,14.0,164.0,,,,,
36,0,104,39,2024-02-03 07:24:30,,5.21,2.786,11.0,438132970.0,-52888434.0,2.786,14.0,165.0,,,,,
99,0,102,6,2024-02-03 07:24:31,,9.51,2.983,11.0,438132898.0,-52887873.0,2.983,14.0,170.0,,,,,
78,0,102,24,2024-02-03 07:24:32,,14.47,3.481,10.0,438133029.0,-52887234.0,3.481,14.0,174.0,,,,,
74,0,104,46,2024-02-03 07:24:33,,20.15,3.719,10.0,438133087.0,-52886560.0,3.719,14.0,160.0,,,,,
78,0,104,87,2024-02-03 07:24:34,,25.49,4.411,9.0,438132775.0,-52885958.0,4.411,14.0,175.0,,,,,
74,0,105,84,2024-02-03 07:24:35,,29.94,4.636,9.0,438132606.0,-52885401.0,4.636,14.0,171.0,,,,,
33,0,106,47,2024-02-03 07:24:36,,33.95,4.566,9.0,438132482.0,-52884891.0,4.566,14.0,129.0,,,,,
0,0,107,0,2024-02-03 07:24:37,,37.41,4.507,8.0,438132378.0,-52884455.0,4.507,14.0,133.0,,,,,
0,0,108,0,2024-02-03 07:24:38,,41.81,4.48,9.0,438132229.0,-52883899.0,4.48,14.0,141.0,,,,,
0,0,108,0,2024-02-03 07:24:39,,46.59,4.558,10.0,438132086.0,-52883284.0,4.558,14.0,148.0,,,,,
0,0,108,0,2024-02-03 07:24:40,,52.2,4.661,10.0,438131961.0,-52882564.0,4.661,14.0,156.0,,,,,
0,0,109,0,2024-02-03 07:24:41,,59.35,4.882,10.0,438131709.0,-52881668.0,4.882,14.0,163.0,,,,,
0,0,108,0,2024-02-03 07:24:42,,65.91,5.402,9.0,438131670.0,-52880797.0,5.402,14.0,171.0,,,,,
0,0,106,0,2024-02-03 07:24:43,,70.45,5.654,9.0,438131722.0,-52880201.0,5.654,14.0,178.0,,,,,
12,0,104,3,2024-02-03 07:24:44,,73.61,5.481,9.0,438131611.0,-52879838.0,5.481,14.0,186.0,,,,,
74,0,105,12,2024-02-03 07:24:45,,76.91,5.29,10.0,438131286.0,-52879684.0,5.29,14.0,193.0,,,,,
