battery_soc,cadence,calories,heart_rate,power,timestamp,temperature,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade
96.0,0,0,109,0,2024-02-23 16:12:46,,,,,,,,,,,,,
,0,0,109,0,2024-02-23 16:12:47,,,,,,,,,,,,,
,0,0,110,0,2024-02-23 16:12:48,17.0,,,,,,,,,,,,
,0,0,111,0,2024-02-23 16:12:49,17.0,,,,,,,,,,,,
,0,0,113,0,2024-02-23 16:12:50,17.0,,,,,,,,,,,,
,0,0,114,0,2024-02-23 16:12:51,17.0,,,,,,,,,,,,
,0,0,115,0,2024-02-23 16:12:52,17.0,0.0,0.0,54.0,438138926.0,-52892382.0,0.0,,,,,,
,0,0,114,0,2024-02-23 16:12:53,17.0,0.0,0.0,53.0,438138894.0,-52891739.0,0.0,,,,,,
,49,0,111,34,2024-02-23 16:12:54,17.0,0.0,0.0,51.0,438139080.0,-52890598.0,0.0,173.0,,,,,
,53,0,107,71,2024-02-23 16:12:55,17.0,0.0,0.0,48.0,438137399.0,-52890323.0,0.0,173.0,,,,,
,49,0,104,82,2024-02-23 16:12:56,17.0,0.0,0.0,46.0,438135177.0,-52891022.0,0.0,173.0,,,,,
,0,0,102,0,2024-02-23 16:12:57,17.0,0.0,0.0,44.0,438134403.0,-52891254.0,0.0,173.0,,,,,
,0,0,104,0,2024-02-23 16:12:58,17.0,0.0,0.0,42.0,438134238.0,-52891091.0,0.0,174.0,,,,,
,0,0,102,0,2024-02-23 16:12:59,17.0,0.0,0.0,40.0,438134288.0,-52890553.0,0.0,174.0,,,,,
,62,0,101,7,2024-02-23 16:13:00,17.0,0.0,0.0,38.0,438134629.0,-52889365.0,0.0,175.0,,,,,
,64,0,101,53,2024-02-23 16:13:01,17.0,0.0,0.0,35.0,438135176.0,-52887951.0,0.0,175.0,,,,,
,71,0,102,98,2024-02-23 16:13:02,17.0,0.0,0.0,33.0,438135396.0,-52886938.0,0.0,166.0,,,,,
,77,0,102,153,2024-02-23 16:13:03,17.0,3.0,2.106,32.0,438135301.0,-52886203.0,2.106,173.0,,,,,
,73,0,103,122,2024-02-23 16:13:04,17.0,8.24,4.329,30.0,438135139.0,-52885530.0,4.329,166.0,,,,,
,76,0,104,105,2024-02-23 16:13:05,17.0,12.96,4.858,29.0,438134932.0,-52884962.0,4.858,175.0,,,,,
