cadence,calories,left_right_balance,power,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,temperature,altitude,enhanced_altitude,ascent,descent,grade
78,0,172.0,59,2024-02-25 06:59:46,,,,,,,,,,,,,,
78,0,172.0,45,2024-02-25 06:59:47,82.0,0.0,4.214,11.0,91.0,438132099.0,-52887114.0,4.214,,,,,,
0,0,173.0,0,2024-02-25 06:59:48,,5.66,4.258,10.0,92.0,438131879.0,-52886424.0,4.258,,,,,,
0,0,174.0,0,2024-02-25 06:59:49,,10.57,4.349,10.0,91.0,438131578.0,-52885868.0,4.349,,,,,,
0,0,176.0,0,2024-02-25 06:59:50,,15.55,4.487,10.0,89.0,438131313.0,-52885289.0,4.487,15.0,,,,,
0,0,177.0,0,2024-02-25 06:59:51,,19.63,4.647,10.0,89.0,438131135.0,-52884794.0,4.647,15.0,,,,,
0,0,178.0,0,2024-02-25 06:59:52,,24.89,4.509,9.0,88.0,438130947.0,-52884131.0,4.509,15.0,,,,,
0,0,180.0,0,2024-02-25 06:59:53,,30.38,4.472,9.0,87.0,438130793.0,-52883427.0,4.472,15.0,,,,,
0,0,181.0,0,2024-02-25 06:59:54,,35.73,5.022,9.0,87.0,438130559.0,-52882775.0,5.022,15.0,,,,,
0,0,182.0,0,2024-02-25 06:59:55,,41.78,5.578,9.0,87.0,438130314.0,-52882028.0,5.578,15.0,,,,,
0,0,184.0,0,2024-02-25 06:59:56,,46.91,5.589,9.0,86.0,438130196.0,-52881359.0,5.589,15.0,,,,,
0,0,185.0,0,2024-02-25 06:59:57,,51.29,5.15,9.0,86.0,438130039.0,-52880852.0,5.15,15.0,,,,,
76,0,187.0,2,2024-02-25 06:59:58,,54.72,4.146,9.0,86.0,438129784.0,-52880559.0,4.146,15.0,,,,,
78,0,179.0,15,2024-02-25 06:59:59,,58.02,3.247,9.0,86.0,438129492.0,-52880399.0,3.247,15.0,,,,,
80,0,177.0,76,2024-02-25 07:00:00,,61.16,2.481,10.0,87.0,438129151.0,-52880408.0,2.481,15.0,,,,,
84,0,175.0,99,2024-02-25 07:00:01,,64.99,2.829,10.0,89.0,438128746.0,-52880422.0,2.829,15.0,,,,,
81,0,170.0,104,2024-02-25 07:00:02,,69.87,3.986,11.0,90.0,438128228.0,-52880459.0,3.986,15.0,,,,,
84,0,172.0,132,2024-02-25 07:00:03,,75.31,4.199,11.0,94.0,438127639.0,-52880519.0,4.199,15.0,,,,,
88,0,168.0,142,2024-02-25 07:00:04,,81.04,4.772,11.0,95.0,438127044.0,-52880687.0,4.772,15.0,,,,,
89,0,167.0,100,2024-02-25 07:00:05,,86.75,5.408,11.0,95.0,438126519.0,-52881068.0,5.408,15.0,,,,,
0,0,,0,2024-02-25 07:00:06,,92.14,5.244,11.0,96.0,438126022.0,-52881420.0,5.244,15.0,,,,,
0,0,,0,2024-02-25 07:00:07,,96.35,4.846,12.0,97.0,438125576.0,-52881494.0,4.846,15.0,,,,,
0,0,,0,2024-02-25 07:00:08,,100.8,4.435,12.0,99.0,438125109.0,-52881370.0,4.435,15.0,,,,,
0,0,,0,2024-02-25 07:00:09,,106.68,4.624,11.0,108.0,438124482.0,-52881198.0,4.624,15.0,,,,,
0,0,,0,2024-02-25 07:00:10,,113.53,5.379,11.0,111.0,438123748.0,-52881066.0,5.379,15.0,,,,,
0,0,,0,2024-02-25 07:00:11,,120.61,5.732,11.0,110.0,438123004.0,-52880984.0,5.732,15.0,,,,,
0,0,,0,2024-02-25 07:00:12,,127.2,5.956,10.0,108.0,438122311.0,-52880931.0,5.956,15.0,,,,,
0,0,,0,2024-02-25 07:00:13,,134.04,6.107,10.0,107.0,438121571.0,-52880824.0,6.107,15.0,,,,,
0,0,,0,2024-02-25 07:00:14,,140.27,6.213,10.0,105.0,438120923.0,-52880600.0,6.213,15.0,,,,,
0,0,,0,2024-02-25 07:00:15,,145.79,6.232,11.0,103.0,438120365.0,-52880351.0,6.232,15.0,,,,,
0,0,,0,2024-02-25 07:00:16,,151.78,6.244,11.0,101.0,438119759.0,-52880340.0,6.244,15.0,,,,,
0,0,,0,2024-02-25 07:00:17,,159.3,6.363,11.0,100.0,438118999.0,-52880665.0,6.363,15.0,16.799999999999955,16.799999999999955,,,
0,0,,0,2024-02-25 07:00:18,,167.08,5.885,11.0,99.0,438118201.0,-52880968.0,5.885,15.0,16.799999999999955,16.799999999999955,,,
0,0,,0,2024-02-25 07:00:19,,175.22,5.008,12.0,97.0,438117367.0,-52881273.0,5.008,15.0,16.799999999999955,16.799999999999955,0.0,0.0,0.0
0,0,,0,2024-02-25 07:00:20,,181.98,6.059,12.0,96.0,438116722.0,-52881675.0,6.059,15.0,16.799999999999955,16.799999999999955,0.0,0.0,0.0
0,0,,0,2024-02-25 07:00:21,,188.02,7.272,13.0,94.0,438116147.0,-52882067.0,7.272,15.0,16.799999999999955,16.799999999999955,0.0,0.0,0.0
0,0,,0,2024-02-25 07:00:22,,194.58,6.712,13.0,94.0,438115518.0,-52882431.0,6.712,15.0,16.600000000000023,16.600000000000023,0.0,0.0,0.0
0,0,,0,2024-02-25 07:00:23,,201.03,6.73,13.0,93.0,438114864.0,-52882740.0,6.73,15.0,16.399999999999977,16.399999999999977,0.0,0.0,0.0
0,0,,0,2024-02-25 07:00:24,,208.07,6.996,12.0,94.0,438114109.0,-52882944.0,6.996,15.0,16.399999999999977,16.399999999999977,0.0,0.0,0.0
0,0,,0,2024-02-25 07:00:25,,215.41,7.333,12.0,94.0,438113344.0,-52883035.0,7.333,15.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
0,0,,0,2024-02-25 07:00:26,,222.96,7.582,12.0,94.0,438112555.0,-52883028.0,7.582,15.0,16.0,16.0,0.0,0.0,-0.39
0,0,,0,2024-02-25 07:00:27,,230.65,7.649,12.0,95.0,438111715.0,-52883035.0,7.649,15.0,16.0,16.0,0.0,0.0,-1.2
0,0,,0,2024-02-25 07:00:28,,239.55,7.677,12.0,96.0,438110783.0,-52883285.0,7.677,15.0,15.799999999999955,15.799999999999955,0.0,0.0,-1.38
0,0,,0,2024-02-25 07:00:29,,248.86,7.772,11.0,97.0,438109836.0,-52883585.0,7.772,15.0,15.600000000000023,15.600000000000023,0.0,0.0,-1.51
0,0,,0,2024-02-25 07:00:30,81.0,256.06,7.907,12.0,97.0,438109055.0,-52883549.0,7.907,15.0,15.399999999999977,15.399999999999977,0.0,1.0,-1.59
0,0,,0,2024-02-25 07:00:31,,262.04,7.213,12.0,99.0,438108412.0,-52883530.0,7.213,15.0,15.200000000000045,15.200000000000045,0.0,1.0,-1.64
0,0,,0,2024-02-25 07:00:32,,267.44,6.123,12.0,99.0,438107839.0,-52883629.0,6.123,15.0,15.200000000000045,15.200000000000045,0.0,1.0,-1.68
0,0,,0,2024-02-25 07:00:33,,272.7,5.762,13.0,98.0,438107293.0,-52883819.0,5.762,15.0,15.0,15.0,0.0,1.0,-1.73
0,0,,0,2024-02-25 07:00:34,,278.14,5.484,13.0,96.0,438106747.0,-52884042.0,5.484,15.0,14.799999999999955,14.799999999999955,0.0,1.0,-1.8
0,0,,0,2024-02-25 07:00:35,,283.76,5.65,13.0,94.0,438106187.0,-52884321.0,5.65,15.0,14.799999999999955,14.799999999999955,0.0,1.0,-1.87
0,0,,0,2024-02-25 07:00:36,,289.56,5.822,12.0,91.0,438105600.0,-52884460.0,5.822,15.0,14.799999999999955,14.799999999999955,0.0,2.0,-1.89
0,0,,0,2024-02-25 07:00:37,,293.6,5.764,12.0,89.0,438105209.0,-52884323.0,5.764,15.0,14.799999999999955,14.799999999999955,0.0,2.0,-1.86
64,0,176.0,99,2024-02-25 07:00:38,,295.34,5.054,14.0,89.0,438105156.0,-52884108.0,5.054,15.0,14.600000000000023,14.600000000000023,0.0,2.0,-1.73
72,1,162.0,158,2024-02-25 07:00:39,,297.73,3.974,15.0,90.0,438105229.0,-52883822.0,3.974,15.0,14.600000000000023,14.600000000000023,0.0,2.0,-1.53
80,1,179.0,148,2024-02-25 07:00:40,,300.51,3.719,17.0,92.0,438105465.0,-52883709.0,3.719,15.0,14.600000000000023,14.600000000000023,0.0,2.0,-0.91
80,1,179.0,96,2024-02-25 07:00:41,,303.27,3.416,17.0,94.0,438105729.0,-52883880.0,3.416,15.0,14.600000000000023,14.600000000000023,0.0,2.0,0.0
0,1,179.0,0,2024-02-25 07:00:42,,305.45,3.186,17.0,96.0,438105875.0,-52884092.0,3.186,15.0,14.600000000000023,14.600000000000023,0.0,2.0,0.0
0,1,178.0,0,2024-02-25 07:00:43,,307.23,2.943,18.0,97.0,438105930.0,-52884307.0,2.943,15.0,14.600000000000023,14.600000000000023,0.0,2.0,0.0
85,1,178.0,29,2024-02-25 07:00:44,,308.56,2.655,18.0,98.0,438105930.0,-52884420.0,2.655,15.0,14.799999999999955,14.799999999999955,0.0,2.0,0.0
