battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,power,speed,temperature,timestamp,altitude,enhanced_altitude,ascent,descent,grade,left_right_balance
82.0,57,0,0.0,2.056,13,102,438133282,-52889441,81,2.056,18.0,2024-03-01 15:34:09,,,,,,
,57,0,2.45,2.737,12,101,438133199,-52889130,78,2.737,18.0,2024-03-01 15:34:10,,,,,,
,0,0,4.87,2.921,12,100,438133151,-52888822,0,2.921,18.0,2024-03-01 15:34:11,,,,,,
,0,0,7.84,2.961,11,101,438133064,-52888431,0,2.961,18.0,2024-03-01 15:34:12,,,,,,
,0,0,11.14,3.088,11,101,438133014,-52887997,0,3.088,18.0,2024-03-01 15:34:13,,,,,,
,0,0,15.02,3.401,10,99,438132887,-52887502,0,3.401,18.0,2024-03-01 15:34:14,24.600000000000023,24.600000000000023,,,,
,74,0,19.46,3.985,9,99,438132832,-52886918,17,3.985,18.0,2024-03-01 15:34:15,24.600000000000023,24.600000000000023,0.0,0.0,0.0,
,74,0,24.26,4.25,9,99,438132787,-52886278,77,4.25,18.0,2024-03-01 15:34:16,24.600000000000023,24.600000000000023,0.0,0.0,0.0,
,0,0,29.08,4.394,8,97,438132660,-52885652,0,4.394,18.0,2024-03-01 15:34:17,24.399999999999977,24.399999999999977,0.0,0.0,0.0,
,78,0,33.89,4.673,8,99,438132481,-52885047,27,4.673,18.0,2024-03-01 15:34:18,24.399999999999977,24.399999999999977,0.0,0.0,0.0,183.0
,80,0,38.68,4.703,9,98,438132301,-52884455,53,4.703,18.0,2024-03-01 15:34:19,24.200000000000045,24.200000000000045,0.0,0.0,0.0,191.0
,77,0,43.61,4.795,9,97,438132118,-52883838,72,4.795,18.0,2024-03-01 15:34:20,24.200000000000045,24.200000000000045,0.0,0.0,0.0,171.0
,78,0,48.73,5.152,10,96,438131937,-52883187,67,5.152,18.0,2024-03-01 15:34:21,24.200000000000045,24.200000000000045,0.0,0.0,-0.1,179.0
,81,0,53.97,5.372,10,96,438131757,-52882527,67,5.372,18.0,2024-03-01 15:34:22,24.0,24.0,0.0,0.0,-1.34,153.0
,81,0,59.04,5.397,10,96,438131654,-52881858,56,5.397,18.0,2024-03-01 15:34:23,24.0,24.0,0.0,1.0,-1.38,153.0
,0,0,63.71,4.633,10,96,438131644,-52881238,0,4.633,18.0,2024-03-01 15:34:24,24.0,24.0,0.0,1.0,-1.32,157.0
,0,0,66.61,4.314,13,96,438131603,-52880851,0,4.314,18.0,2024-03-01 15:34:25,24.0,24.0,0.0,1.0,-1.21,161.0
,57,0,68.15,2.326,13,97,438131639,-52880654,41,2.326,18.0,2024-03-01 15:34:26,23.799999999999955,23.799999999999955,0.0,1.0,-1.0,166.0
,64,0,70.07,2.083,12,96,438131481,-52880507,183,2.083,18.0,2024-03-01 15:34:27,23.799999999999955,23.799999999999955,0.0,1.0,0.0,168.0
,82,1,73.24,2.745,12,96,438131137,-52880477,203,2.745,18.0,2024-03-01 15:34:28,23.799999999999955,23.799999999999955,0.0,1.0,0.0,169.0
,77,1,77.76,3.276,11,98,438130653,-52880384,192,3.276,18.0,2024-03-01 15:34:29,23.600000000000023,23.600000000000023,0.0,1.0,-0.07,202.0
,78,1,83.87,4.482,11,100,438129993,-52880428,132,4.482,18.0,2024-03-01 15:34:30,23.600000000000023,23.600000000000023,0.0,1.0,-1.03,175.0
,94,1,87.86,4.326,10,100,438129592,-52880415,122,4.326,18.0,2024-03-01 15:34:31,23.600000000000023,23.600000000000023,0.0,1.0,-1.31,168.0
,70,1,92.28,4.393,10,101,438129105,-52880342,105,4.393,18.0,2024-03-01 15:34:32,23.399999999999977,23.399999999999977,0.0,1.0,-1.65,173.0
,80,1,95.75,4.467,10,102,438128725,-52880353,103,4.467,18.0,2024-03-01 15:34:33,23.200000000000045,23.200000000000045,0.0,1.0,-2.09,173.0
,85,1,100.51,4.795,10,103,438128240,-52880497,96,4.795,18.0,2024-03-01 15:34:34,23.0,23.0,0.0,1.0,-2.42,163.0
,88,1,106.67,5.504,10,104,438127582,-52880620,80,5.504,18.0,2024-03-01 15:34:35,22.799999999999955,22.799999999999955,0.0,1.0,-2.61,155.0
,0,1,113.54,5.725,9,106,438126854,-52880720,0,5.725,18.0,2024-03-01 15:34:36,22.600000000000023,22.600000000000023,0.0,1.0,-2.79,158.0
,0,1,120.22,5.742,9,108,438126126,-52880711,0,5.742,18.0,2024-03-01 15:34:37,22.399999999999977,22.399999999999977,0.0,2.0,-2.99,161.0
,0,1,127.21,5.742,9,109,438125400,-52880643,0,5.742,18.0,2024-03-01 15:34:38,22.200000000000045,22.200000000000045,0.0,2.0,-3.18,165.0
,0,1,133.71,5.913,8,108,438124677,-52880599,0,5.913,18.0,2024-03-01 15:34:39,22.0,22.0,0.0,2.0,-3.33,168.0
,0,1,142.53,6.099,8,106,438123743,-52880539,0,6.099,18.0,2024-03-01 15:34:40,21.799999999999955,21.799999999999955,0.0,2.0,-3.38,172.0
,0,1,151.41,5.786,8,105,438122790,-52880587,0,5.786,18.0,2024-03-01 15:34:41,21.600000000000023,21.600000000000023,0.0,2.0,-3.26,176.0
,0,1,158.67,5.871,8,106,438121999,-52880694,0,5.871,18.0,2024-03-01 15:34:42,21.399999999999977,21.399999999999977,0.0,3.0,-3.1,179.0
,0,1,165.68,5.889,8,106,438121260,-52880849,0,5.889,18.0,2024-03-01 15:34:43,21.200000000000045,21.200000000000045,0.0,3.0,-2.99,183.0
,0,1,172.42,5.889,8,108,438120530,-52880782,0,5.889,18.0,2024-03-01 15:34:44,21.0,21.0,0.0,3.0,-2.91,187.0
,0,1,179.77,5.931,8,111,438119759,-52880735,0,5.931,18.0,2024-03-01 15:34:45,21.0,21.0,0.0,3.0,-2.79,190.0
,78,1,187.34,5.936,8,112,438118947,-52880802,1,5.936,18.0,2024-03-01 15:34:46,20.799999999999955,20.799999999999955,0.0,3.0,-2.66,194.0
,80,1,194.72,6.042,9,114,438118167,-52880968,20,6.042,18.0,2024-03-01 15:34:47,20.799999999999955,20.799999999999955,0.0,3.0,-2.52,175.0
,80,2,200.9,6.056,10,115,438117517,-52881148,77,6.056,18.0,2024-03-01 15:34:48,20.600000000000023,20.600000000000023,0.0,4.0,-2.37,174.0
,81,2,207.86,6.056,10,117,438116762,-52881290,91,6.056,18.0,2024-03-01 15:34:49,20.399999999999977,20.399999999999977,0.0,4.0,-2.23,174.0
,82,2,215.67,5.965,10,116,438115990,-52881641,86,5.965,18.0,2024-03-01 15:34:50,20.600000000000023,20.600000000000023,0.0,4.0,-2.06,165.0
,82,2,222.1,5.169,10,116,438115335,-52881968,68,5.169,18.0,2024-03-01 15:34:51,20.399999999999977,20.399999999999977,0.0,4.0,-1.81,165.0
