battery_soc,cadence,calories,heart_rate,power,timestamp,temperature,left_right_balance,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,ascent,descent,enhanced_altitude,grade
69.0,0,0,136,0,2024-03-05 15:19:21,,,,,,,,,,,,,
,0,0,136,0,2024-03-05 15:19:22,,,,,,,,,,,,,
,0,0,136,0,2024-03-05 15:19:23,,,,,,,,,,,,,
,0,0,136,0,2024-03-05 15:19:24,18.0,,,,,,,,,,,,
,0,0,136,0,2024-03-05 15:19:25,18.0,,,,,,,,,,,,
,0,0,133,0,2024-03-05 15:19:26,18.0,,,,,,,,,,,,
,0,0,100,0,2024-03-05 15:19:27,18.0,,,,,,,,,,,,
,0,0,100,0,2024-03-05 15:19:28,18.0,,,,,,,,,,,,
,0,0,113,0,2024-03-05 15:19:29,18.0,,,,,,,,,,,,
,58,0,112,96,2024-03-05 15:19:30,18.0,165.0,,,,,,,,,,,
,63,0,109,156,2024-03-05 15:19:31,18.0,165.0,,,,,,,,,,,
,0,0,110,0,2024-03-05 15:19:32,18.0,166.0,,,,,,,,,,,
,0,0,110,0,2024-03-05 15:19:33,18.0,169.0,,,,,,,,,,,
,0,0,111,0,2024-03-05 15:19:34,18.0,171.0,0.0,0.0,54.0,438130916.0,-52889065.0,0.0,,,,,
,60,0,115,1,2024-03-05 15:19:35,18.0,174.0,14.74,3.688,50.0,438131907.0,-52887511.0,3.688,,,,,
,86,0,116,116,2024-03-05 15:19:36,18.0,176.0,26.57,4.064,46.0,438130977.0,-52887930.0,4.064,,,,,
,86,0,115,136,2024-03-05 15:19:37,18.0,176.0,33.82,4.239,42.0,438131238.0,-52887290.0,4.239,,,,,
,74,0,113,177,2024-03-05 15:19:38,18.0,173.0,44.91,4.258,39.0,438131812.0,-52885998.0,4.258,,,,,
,88,1,114,190,2024-03-05 15:19:39,18.0,168.0,53.05,4.475,36.0,438132076.0,-52884968.0,4.475,,,,,
,91,1,114,143,2024-03-05 15:19:40,18.0,143.0,62.89,4.5,34.0,438132510.0,-52883773.0,4.5,,,,,
,12,1,114,103,2024-03-05 15:19:41,18.0,144.0,73.14,5.835,32.0,438133124.0,-52882622.0,5.835,,,,,
,0,1,114,0,2024-03-05 15:19:42,18.0,148.0,83.46,5.992,30.0,438133765.0,-52881480.0,5.992,,,,,
,0,1,114,0,2024-03-05 15:19:43,18.0,153.0,93.43,6.614,29.0,438134400.0,-52880404.0,6.614,,,,,
,0,1,114,0,2024-03-05 15:19:44,18.0,157.0,103.45,6.686,31.0,438134998.0,-52879310.0,6.686,,,,,
,0,1,114,0,2024-03-05 15:19:45,18.0,162.0,112.88,8.842,35.0,438135587.0,-52878293.0,8.842,,,,,
,0,1,114,0,2024-03-05 15:19:46,18.0,166.0,126.15,9.864,35.0,438136547.0,-52876953.0,9.864,,,,,
,83,1,114,2,2024-03-05 15:19:47,18.0,171.0,131.67,9.178,34.0,438136240.0,-52876561.0,9.178,,,,,
,90,1,114,90,2024-03-05 15:19:48,18.0,174.0,143.05,6.694,32.0,438135049.0,-52876947.0,6.694,,,,,
,80,1,114,116,2024-03-05 15:19:49,18.0,198.0,156.56,10.889,31.0,438133656.0,-52877279.0,10.889,,,,,
,85,1,114,169,2024-03-05 15:19:50,18.0,168.0,171.51,11.821,29.0,438132074.0,-52877722.0,11.821,,,,,
,87,1,114,180,2024-03-05 15:19:51,18.0,166.0,181.26,11.982,27.0,438131057.0,-52878054.0,11.982,,,,,
,88,1,114,143,2024-03-05 15:19:52,18.0,165.0,188.74,10.625,26.0,438130267.0,-52878229.0,10.625,,,,,
,87,2,114,103,2024-03-05 15:19:53,18.0,169.0,194.55,10.163,25.0,438129657.0,-52878372.0,10.163,,,,,
,0,2,114,0,2024-03-05 15:19:54,18.0,171.0,202.49,8.924,30.0,438128819.0,-52878617.0,8.924,,,,,
,0,2,114,0,2024-03-05 15:19:55,18.0,173.0,208.39,8.386,31.0,438128242.0,-52878857.0,8.386,,,,,
,0,2,114,0,2024-03-05 15:19:56,18.0,175.0,217.15,8.236,29.0,438127328.0,-52879275.0,8.236,,,,,
,0,2,114,0,2024-03-05 15:19:57,18.0,177.0,224.07,8.21,27.0,438126667.0,-52879707.0,8.21,,,,,
,87,2,114,20,2024-03-05 15:19:58,18.0,179.0,235.13,8.205,25.0,438125509.0,-52879808.0,8.205,,,,,
,81,2,114,118,2024-03-05 15:19:59,18.0,173.0,243.23,8.205,23.0,438124633.0,-52879977.0,8.205,,,,,
,81,2,114,135,2024-03-05 15:20:00,18.0,173.0,251.36,8.191,21.0,438123773.0,-52880119.0,8.191,,,,,
,85,2,114,161,2024-03-05 15:20:01,18.0,171.0,259.33,8.02,20.0,438122910.0,-52880154.0,8.02,,,,,
,85,2,114,143,2024-03-05 15:20:02,18.0,173.0,268.44,6.543,20.0,438121965.0,-52880086.0,6.543,,,,,
,87,2,114,130,2024-03-05 15:20:03,18.0,173.0,275.22,6.615,19.0,438121211.0,-52880092.0,6.615,,,,,
,87,2,114,140,2024-03-05 15:20:04,18.0,164.0,283.24,6.87,19.0,438120360.0,-52880200.0,6.87,,,,,
,88,3,114,122,2024-03-05 15:20:05,18.0,162.0,290.77,6.897,18.0,438119575.0,-52880305.0,6.897,,,,,
,88,3,114,101,2024-03-05 15:20:06,18.0,162.0,298.22,7.239,18.0,438118756.0,-52880331.0,7.239,,,,,
,91,3,114,93,2024-03-05 15:20:07,18.0,168.0,306.93,6.58,17.0,438117815.0,-52880333.0,6.58,,,,,
,87,3,114,92,2024-03-05 15:20:08,18.0,165.0,313.32,6.375,16.0,438117146.0,-52880297.0,6.375,,,,,
