cadence,calories,timestamp,heart_rate,power,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,temperature,left_right_balance
0,0,2024-03-11 15:08:29,,,,,,,,,,,,,,,,
0,0,2024-03-11 15:08:30,95.0,0.0,,,,,,,,,,,,,,
0,0,2024-03-11 15:08:31,93.0,0.0,33.0,0.0,70.0,0.0,0.0,33.0,0.0,7.0,0.0,438144478.0,-52869655.0,0.0,,
0,0,2024-03-11 15:08:32,90.0,0.0,33.0,0.0,,0.0,0.31,33.0,0.296,7.0,0.0,438144501.0,-52869595.0,0.296,,
0,0,2024-03-11 15:08:33,88.0,0.0,32.799999999999955,0.0,,0.0,0.62,32.799999999999955,0.592,8.0,0.0,438144523.0,-52869535.0,0.592,,
0,0,2024-03-11 15:08:34,87.0,0.0,33.0,0.0,,0.0,4.4,33.0,0.735,9.0,0.0,438144159.0,-52869368.0,0.735,18.0,
0,0,2024-03-11 15:08:35,86.0,0.0,33.0,0.0,,0.0,4.4,33.0,0.0,11.0,0.0,438144138.0,-52869427.0,0.0,18.0,
0,0,2024-03-11 15:08:36,87.0,0.0,33.0,0.0,,0.0,4.4,33.0,0.0,10.0,0.0,438144025.0,-52869537.0,0.0,18.0,
0,0,2024-03-11 15:08:37,87.0,0.0,33.0,0.0,,0.0,4.98,33.0,0.172,10.0,0.0,438143826.0,-52869610.0,0.172,18.0,
0,0,2024-03-11 15:08:38,88.0,0.0,33.0,0.0,,0.0,7.69,33.0,0.788,10.0,0.0,438143543.0,-52869669.0,0.788,18.0,
91,0,2024-03-11 15:08:39,92.0,57.0,33.0,0.0,,0.0,10.6,33.0,1.217,9.0,0.0,438143223.0,-52869712.0,1.217,18.0,174.0
78,0,2024-03-11 15:08:40,94.0,241.0,33.0,0.0,,0.0,13.25,33.0,2.73,9.0,0.0,438142913.0,-52869682.0,2.73,18.0,174.0
89,0,2024-03-11 15:08:41,95.0,189.0,33.0,0.0,,0.0,16.05,33.0,3.238,8.0,0.0,438142635.0,-52869608.0,3.238,18.0,179.0
91,0,2024-03-11 15:08:42,97.0,148.0,32.799999999999955,0.0,,0.0,19.07,32.799999999999955,3.206,8.0,0.0,438142316.0,-52869475.0,3.206,18.0,186.0
0,0,2024-03-11 15:08:43,97.0,0.0,32.60000000000002,0.0,,0.0,22.31,32.60000000000002,3.252,8.0,0.0,438141997.0,-52869433.0,3.252,18.0,186.0
0,0,2024-03-11 15:08:44,99.0,0.0,32.60000000000002,0.0,,0.0,25.47,32.60000000000002,3.258,9.0,0.0,438141688.0,-52869605.0,3.258,18.0,186.0
0,0,2024-03-11 15:08:45,101.0,0.0,32.60000000000002,0.0,,0.0,28.5,32.60000000000002,3.244,9.0,0.0,438141414.0,-52869818.0,3.244,18.0,186.0
0,0,2024-03-11 15:08:46,100.0,0.0,32.39999999999998,0.0,,0.0,31.73,32.39999999999998,3.206,9.0,0.0,438141124.0,-52870074.0,3.206,18.0,186.0
0,0,2024-03-11 15:08:47,101.0,0.0,32.39999999999998,0.0,,1.0,36.59,32.39999999999998,3.252,9.0,-2.02,438140765.0,-52870546.0,3.252,18.0,186.0
