cadence,calories,distance,enhanced_speed,gps_accuracy,left_right_balance,position_lat,position_long,power,speed,timestamp,battery_soc,heart_rate,temperature,altitude,enhanced_altitude,ascent,descent,grade
83,0,0.0,0.0,14,178.0,438134192,-52888269,11,0.0,2024-03-18 15:10:18,,,,,,,,
83,0,0.0,0.0,13,178.0,438134043,-52887753,12,0.0,2024-03-18 15:10:19,98.0,89.0,,,,,,
0,0,0.0,0.0,13,179.0,438133893,-52887237,0,0.0,2024-03-18 15:10:20,,88.0,,,,,,
0,0,0.0,0.0,12,182.0,438133594,-52886651,0,0.0,2024-03-18 15:10:21,,89.0,20.0,,,,,
0,0,5.55,3.74,11,185.0,438133199,-52885971,0,3.74,2024-03-18 15:10:22,,88.0,20.0,,,,,
0,0,11.41,4.345,11,188.0,438132905,-52885282,0,4.345,2024-03-18 15:10:23,,89.0,20.0,,,,,
84,0,15.56,4.652,10,191.0,438132712,-52884785,3,4.652,2024-03-18 15:10:24,,89.0,20.0,,,,,
81,0,19.7,4.577,10,176.0,438132570,-52884254,92,4.577,2024-03-18 15:10:25,,89.0,20.0,,,,,
83,0,23.46,4.376,10,175.0,438132434,-52883790,164,4.376,2024-03-18 15:10:26,,89.0,20.0,,,,,
94,0,26.27,4.21,10,176.0,438132257,-52883505,189,4.21,2024-03-18 15:10:27,,90.0,20.0,,,,,
85,0,30.09,4.292,11,176.0,438132036,-52883073,185,4.292,2024-03-18 15:10:28,,90.0,20.0,,,,,
0,0,35.09,4.33,11,175.0,438131848,-52882443,0,4.33,2024-03-18 15:10:29,,89.0,20.0,,,,,
0,0,40.95,4.539,11,175.0,438131545,-52881768,0,4.539,2024-03-18 15:10:30,,88.0,20.0,,,,,
0,0,46.22,4.877,10,174.0,438131307,-52881127,0,4.877,2024-03-18 15:10:31,,89.0,20.0,,,,,
0,0,50.37,4.723,10,174.0,438131120,-52880631,0,4.723,2024-03-18 15:10:32,,88.0,20.0,,,,,
72,0,53.52,4.549,10,173.0,438130824,-52880420,58,4.549,2024-03-18 15:10:33,,88.0,20.0,,,,,
83,1,57.05,4.315,9,174.0,438130461,-52880445,332,4.315,2024-03-18 15:10:34,,89.0,20.0,,,,,
90,1,62.07,4.443,9,170.0,438129933,-52880437,310,4.443,2024-03-18 15:10:35,,90.0,20.0,,,,,
84,1,67.87,5.298,9,197.0,438129311,-52880485,202,5.298,2024-03-18 15:10:36,,92.0,20.0,,,,,
86,1,74.58,5.638,9,175.0,438128587,-52880618,167,5.638,2024-03-18 15:10:37,,94.0,20.0,,,,,
88,1,82.04,5.991,8,172.0,438127783,-52880699,127,5.991,2024-03-18 15:10:38,,95.0,20.0,,,,,
94,2,89.65,6.427,8,174.0,438126964,-52880778,115,6.427,2024-03-18 15:10:39,,96.0,20.0,,,,,
89,2,96.76,6.481,8,159.0,438126224,-52880823,99,6.481,2024-03-18 15:10:40,,98.0,20.0,,,,,
86,2,104.47,6.481,8,169.0,438125375,-52880918,85,6.481,2024-03-18 15:10:41,,99.0,20.0,,,,,
0,2,112.04,6.675,8,169.0,438124556,-52880980,0,6.675,2024-03-18 15:10:42,,101.0,20.0,,,,,
82,2,119.43,6.703,8,168.0,438123767,-52881078,2,6.703,2024-03-18 15:10:43,,102.0,20.0,,,,,
87,2,126.14,6.548,8,167.0,438123036,-52881125,34,6.548,2024-03-18 15:10:44,,102.0,20.0,,,,,
0,2,132.94,6.193,7,,438122311,-52881074,0,6.193,2024-03-18 15:10:45,,102.0,20.0,,,,,
0,2,140.07,6.147,7,,438121548,-52881101,0,6.147,2024-03-18 15:10:46,,101.0,20.0,,,,,
0,2,147.2,6.441,7,,438120807,-52881142,0,6.441,2024-03-18 15:10:47,,100.0,20.0,,,,,
0,2,154.02,6.06,8,,438120044,-52881166,0,6.06,2024-03-18 15:10:48,,99.0,20.0,,,,,
0,2,159.47,6.844,8,,438119466,-52881239,0,6.844,2024-03-18 15:10:49,,99.0,20.0,,,,,
0,2,164.37,6.248,11,,438118958,-52881319,0,6.248,2024-03-18 15:10:50,,98.0,20.0,,,,,
0,2,168.35,5.781,11,,438118541,-52881343,0,5.781,2024-03-18 15:10:51,,97.0,20.0,,,,,
0,2,172.3,5.339,12,,438118169,-52881064,0,5.339,2024-03-18 15:10:52,,95.0,20.0,,,,,
0,2,175.91,4.91,11,,438117808,-52880942,0,4.91,2024-03-18 15:10:53,,93.0,20.0,,,,,
0,2,179.31,4.53,11,,438117443,-52880875,0,4.53,2024-03-18 15:10:54,,92.0,20.0,,,,,
0,2,182.34,4.154,11,,438117117,-52880832,0,4.154,2024-03-18 15:10:55,,92.0,20.0,,,,,
0,2,184.84,3.864,10,,438116840,-52880778,0,3.864,2024-03-18 15:10:56,,93.0,20.0,,,,,
0,2,187.62,3.608,10,,438116565,-52880715,0,3.608,2024-03-18 15:10:57,,92.0,20.0,,,,,
0,2,188.3,3.413,10,,438116494,-52880693,0,3.413,2024-03-18 15:10:58,,90.0,20.0,,,,,
