battery_soc,calories,distance,enhanced_speed,position_lat,position_long,speed,timestamp,cadence,power,heart_rate,temperature,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade,vertical_speed
90.0,0,0.0,1.944,438133919.0,-52888525.0,1.944,2024-04-01 14:43:41,,,,,,,,,,,
90.0,0,1.95,2.273,438133783.0,-52888320.0,2.273,2024-04-01 14:43:42,0.0,0.0,,,,,,,,,
,0,4.59,2.453,438133646.0,-52888007.0,2.453,2024-04-01 14:43:43,0.0,0.0,108.0,,,,,,,,
,0,7.99,2.564,438133509.0,-52887580.0,2.564,2024-04-01 14:43:44,0.0,0.0,105.0,16.0,,,,,,,
,0,11.32,2.673,438133418.0,-52887154.0,2.673,2024-04-01 14:43:45,0.0,0.0,102.0,16.0,,,,,,,
,0,15.35,2.948,438133373.0,-52886625.0,2.948,2024-04-01 14:43:46,0.0,0.0,100.0,16.0,,,,,,,
,0,19.58,3.175,438133373.0,-52886061.0,3.175,2024-04-01 14:43:47,0.0,0.0,98.0,16.0,,,,,,,
,0,23.15,3.023,438133236.0,-52885629.0,3.023,2024-04-01 14:43:48,0.0,0.0,98.0,16.0,,,,,,,
,0,26.6,2.767,438132963.0,-52885311.0,2.767,2024-04-01 14:43:49,0.0,0.0,98.0,16.0,,,,,,,
,0,30.38,3.144,438132599.0,-52885237.0,3.144,2024-04-01 14:43:50,0.0,0.0,101.0,16.0,,,,,,,
,0,33.09,3.611,438132326.0,-52885231.0,3.611,2024-04-01 14:43:51,0.0,0.0,100.0,16.0,,,,,,,
,0,35.8,3.655,438132235.0,-52884929.0,3.655,2024-04-01 14:43:52,0.0,0.0,98.0,16.0,,,,,,,
,0,37.94,3.711,438132144.0,-52884730.0,3.711,2024-04-01 14:43:53,0.0,0.0,95.0,16.0,,,,,,,
,0,38.83,3.431,438132053.0,-52884770.0,3.431,2024-04-01 14:43:54,75.0,108.0,97.0,16.0,195.0,,,,,,
,0,40.17,2.952,438131917.0,-52884713.0,2.952,2024-04-01 14:43:55,72.0,268.0,97.0,16.0,175.0,,,,,,
,0,42.12,2.629,438131780.0,-52884531.0,2.629,2024-04-01 14:43:56,76.0,215.0,104.0,16.0,172.0,,,,,,
,0,44.28,2.449,438131598.0,-52884355.0,2.449,2024-04-01 14:43:57,78.0,159.0,111.0,16.0,178.0,,,,,,
,0,46.36,2.358,438131416.0,-52884230.0,2.358,2024-04-01 14:43:58,65.0,111.0,114.0,16.0,178.0,,,,,,
