cadence,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,power,altitude,enhanced_altitude,temperature,ascent,descent,grade,left_right_balance
0,0,0.0,6.981,11,101,438112802,-52882244,6.981,2024-04-09 14:31:07,,,,,,,,,
0,0,5.8,6.941,11,100,438112193,-52882345,6.941,2024-04-09 14:31:08,92.0,0.0,,,,,,,
0,0,11.6,6.902,11,100,438111585,-52882446,6.902,2024-04-09 14:31:09,,0.0,41.39999999999998,41.39999999999998,19.0,,,,
0,0,17.95,6.881,11,97,438110904,-52882554,6.881,2024-04-09 14:31:10,,0.0,41.39999999999998,41.39999999999998,19.0,0.0,0.0,0.0,
80,0,24.56,6.459,10,96,438110196,-52882648,6.459,2024-04-09 14:31:11,,24.0,41.39999999999998,41.39999999999998,19.0,0.0,0.0,0.0,172.0
80,0,30.83,5.936,10,96,438109520,-52882700,5.936,2024-04-09 14:31:12,,76.0,41.39999999999998,41.39999999999998,19.0,0.0,0.0,0.0,172.0
85,0,37.23,5.89,10,97,438108832,-52882730,5.89,2024-04-09 14:31:13,,99.0,41.39999999999998,41.39999999999998,19.0,0.0,0.0,0.0,173.0
90,0,43.64,6.024,10,98,438108151,-52882783,6.024,2024-04-09 14:31:14,,99.0,41.39999999999998,41.39999999999998,19.0,0.0,0.0,0.0,142.0
90,0,50.24,6.383,10,98,438107443,-52882882,6.383,2024-04-09 14:31:15,,98.0,41.799999999999955,41.799999999999955,19.0,0.0,0.0,0.0,142.0
0,0,57.0,6.412,10,98,438106721,-52882964,6.412,2024-04-09 14:31:16,,0.0,42.0,42.0,19.0,0.0,0.0,0.0,146.0
0,0,63.64,6.205,10,100,438105987,-52883049,6.205,2024-04-09 14:31:17,,0.0,41.39999999999998,41.39999999999998,19.0,0.0,0.0,0.0,152.0
0,0,69.46,5.78,10,98,438105368,-52883143,5.78,2024-04-09 14:31:18,,0.0,41.0,41.0,19.0,0.0,0.0,0.0,157.0
0,0,74.46,4.925,10,96,438104884,-52883343,4.925,2024-04-09 14:31:19,,0.0,40.60000000000002,40.60000000000002,19.0,0.0,0.0,0.0,162.0
