battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,power,speed,timestamp,temperature,left_right_balance,altitude,enhanced_altitude,ascent,descent,grade
80.0,0,0,14.05,2.105,26,119,438181032,-52894099,0,2.105,2024-04-11 17:37:12,,,,,,,
,0,0,28.1,2.08,26,118,438179539,-52893826,0,2.08,2024-04-11 17:37:13,,,,,,,
,0,0,43.53,1.959,26,117,438177904,-52893557,0,1.959,2024-04-11 17:37:14,19.0,,,,,,
,0,0,61.07,1.818,25,116,438176037,-52893306,0,1.818,2024-04-11 17:37:15,19.0,,,,,,
,0,0,78.0,7.683,24,114,438174216,-52893076,0,7.683,2024-04-11 17:37:16,19.0,,,,,,
,65,0,93.57,16.905,23,113,438172553,-52892863,5,16.905,2024-04-11 17:37:17,19.0,200.0,,,,,
,46,0,108.01,16.302,22,114,438171028,-52892566,16,16.302,2024-04-11 17:37:18,19.0,200.0,,,,,
,46,0,122.38,15.448,21,113,438169542,-52892093,29,15.448,2024-04-11 17:37:19,19.0,200.0,,,,,
,7,0,136.87,15.021,20,115,438168018,-52891717,23,15.021,2024-04-11 17:37:20,19.0,197.0,,,,,
,0,0,151.66,14.815,20,115,438166428,-52891562,0,14.815,2024-04-11 17:37:21,19.0,189.0,,,,,
,0,0,166.49,14.692,19,115,438164838,-52891465,0,14.692,2024-04-11 17:37:22,19.0,182.0,,,,,
,76,0,181.89,10.959,19,115,438163166,-52891404,91,10.959,2024-04-11 17:37:23,19.0,174.0,,,,,
,87,0,196.56,8.744,21,115,438161609,-52891467,157,8.744,2024-04-11 17:37:24,19.0,164.0,,,,,
,91,0,210.59,14.685,25,114,438160123,-52891680,173,14.685,2024-04-11 17:37:25,19.0,160.0,,,,,
,0,0,224.19,14.371,28,115,438158662,-52891723,0,14.371,2024-04-11 17:37:26,19.0,162.0,,,,,
,0,0,237.56,13.987,27,115,438157210,-52891596,0,13.987,2024-04-11 17:37:27,19.0,165.0,,,,,
,0,0,249.9,13.7,26,115,438155901,-52891595,0,13.7,2024-04-11 17:37:28,19.0,169.0,,,,,
,0,0,259.69,13.064,24,115,438154878,-52891858,0,13.064,2024-04-11 17:37:29,19.0,172.0,,,,,
,85,0,267.82,12.011,22,115,438154018,-52892142,112,12.011,2024-04-11 17:37:30,19.0,175.0,,,,,
,88,0,274.95,11.083,21,114,438153278,-52892416,223,11.083,2024-04-11 17:37:31,19.0,165.0,,,,,
,83,1,281.57,9.934,19,114,438152612,-52892700,237,9.934,2024-04-11 17:37:32,19.0,176.0,,,,,
,83,1,287.67,9.154,18,113,438152009,-52893003,220,9.154,2024-04-11 17:37:33,19.0,175.0,,,,,
,79,1,293.62,8.188,17,114,438151447,-52893382,178,8.188,2024-04-11 17:37:34,19.0,193.0,,,,,
,85,1,299.78,7.77,16,115,438150869,-52893789,248,7.77,2024-04-11 17:37:35,19.0,168.0,,,,,
,84,2,305.9,7.367,15,117,438150339,-52894263,284,7.367,2024-04-11 17:37:36,19.0,179.0,,,,,
,86,2,312.13,6.999,14,118,438149830,-52894812,230,6.999,2024-04-11 17:37:37,19.0,174.0,,,,,
,85,2,317.75,6.518,13,120,438145960,-52895690,191,6.518,2024-04-11 17:37:38,19.0,174.0,,,,,
,83,2,320.97,5.742,13,121,438136357,-52896953,190,5.742,2024-04-11 17:37:39,19.0,162.0,,,,,
,85,2,325.37,5.267,12,121,438130228,-52898062,203,5.267,2024-04-11 17:37:40,19.0,160.0,,,,,
,84,3,331.7,5.366,11,121,438130142,-52898895,193,5.366,2024-04-11 17:37:41,19.0,162.0,,,,,
,84,3,337.43,5.481,11,121,438130159,-52899659,167,5.481,2024-04-11 17:37:42,19.0,162.0,,,,,
,5,3,343.19,5.509,11,120,438130205,-52900427,62,5.509,2024-04-11 17:37:43,19.0,163.0,,,,,
,0,3,349.8,5.837,10,119,438130112,-52901258,0,5.837,2024-04-11 17:37:44,19.0,165.0,,,,,
,0,3,355.36,6.285,10,119,438129966,-52901905,0,6.285,2024-04-11 17:37:45,19.0,166.0,,,,,
,0,3,359.74,6.068,9,118,438130119,-52902452,0,6.068,2024-04-11 17:37:46,19.0,168.0,,,,,
,0,3,363.66,5.593,9,117,438130302,-52902922,0,5.593,2024-04-11 17:37:47,19.0,169.0,,,,,
,0,3,367.11,5.138,9,116,438130502,-52903309,0,5.138,2024-04-11 17:37:48,19.0,171.0,,,,,
,69,3,370.35,4.665,9,116,438130642,-52903694,84,4.665,2024-04-11 17:37:49,19.0,172.0,,,,,
,76,3,373.97,4.402,9,116,438130660,-52904173,187,4.402,2024-04-11 17:37:50,19.0,173.0,,,,,
,80,3,377.91,4.289,9,117,438130705,-52904696,258,4.289,2024-04-11 17:37:51,19.0,171.0,,,,,
,82,4,381.76,4.181,9,117,438130734,-52905206,238,4.181,2024-04-11 17:37:52,19.0,170.0,,,,,
,79,4,385.3,4.022,9,118,438130734,-52905678,219,4.022,2024-04-11 17:37:53,19.0,173.0,,,,,
,83,4,388.9,3.914,9,119,438130716,-52906158,205,3.914,2024-04-11 17:37:54,19.0,174.0,,,,,
,87,4,393.06,4.032,10,120,438130722,-52906713,174,4.032,2024-04-11 17:37:55,19.0,174.0,,,,,
,88,4,397.88,4.329,10,120,438130831,-52907347,156,4.329,2024-04-11 17:37:56,19.0,173.0,,,,,
,90,5,402.89,4.472,11,121,438130950,-52907995,144,4.472,2024-04-11 17:37:57,19.0,172.0,,,,,
,91,5,407.65,4.456,12,122,438131058,-52908616,137,4.456,2024-04-11 17:37:58,19.0,164.0,,,,,
,80,5,412.42,4.446,13,124,438131160,-52909244,152,4.446,2024-04-11 17:37:59,19.0,194.0,,,,,
,80,5,417.17,4.434,13,126,438131203,-52909876,188,4.434,2024-04-11 17:38:00,19.0,172.0,,,,,
,87,5,421.88,4.367,13,127,438131265,-52910498,225,4.367,2024-04-11 17:38:01,19.0,154.0,,,,,
,84,5,428.57,4.432,12,128,438131414,-52911370,202,4.432,2024-04-11 17:38:02,19.0,155.0,,,,,
,85,6,435.08,4.798,12,129,438131559,-52912219,160,4.798,2024-04-11 17:38:03,19.0,171.0,,,,,
,85,6,441.31,5.505,12,129,438131695,-52913033,128,5.505,2024-04-11 17:38:04,19.0,172.0,,,,,
,85,6,447.59,5.642,11,129,438131849,-52913847,117,5.642,2024-04-11 17:38:05,19.0,164.0,,,,,
,86,6,453.82,5.443,11,129,438132014,-52914662,114,5.443,2024-04-11 17:38:06,19.0,167.0,,,,,
,88,6,459.99,5.5,11,128,438132133,-52915473,108,5.5,2024-04-11 17:38:07,19.0,163.0,,,,,
,87,6,466.2,5.374,11,127,438132259,-52916282,111,5.374,2024-04-11 17:38:08,19.0,169.0,,,,,
,87,6,472.45,5.167,11,127,438132406,-52917092,102,5.167,2024-04-11 17:38:09,19.0,161.0,,,,,
,88,6,478.41,5.167,10,127,438132497,-52917880,89,5.167,2024-04-11 17:38:10,19.0,162.0,,,,,
,88,6,484.48,5.218,10,126,438132621,-52918677,83,5.218,2024-04-11 17:38:11,19.0,162.0,,,,,
,0,6,490.49,5.306,10,126,438132771,-52919462,0,5.306,2024-04-11 17:38:12,19.0,162.0,46.60000000000002,46.60000000000002,,,
,0,6,495.91,5.309,10,127,438132879,-52920171,0,5.309,2024-04-11 17:38:13,19.0,162.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,0,6,501.03,5.579,10,129,438133050,-52920817,0,5.579,2024-04-11 17:38:14,19.0,162.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,0,6,506.18,6.014,11,130,438133243,-52921457,0,6.014,2024-04-11 17:38:15,19.0,162.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,0,6,508.77,5.37,11,131,438133345,-52921784,0,5.37,2024-04-11 17:38:16,19.0,163.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,0,6,509.43,4.22,12,121,438133356,-52921855,0,4.22,2024-04-11 17:38:17,19.0,163.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,0,6,510.49,3.705,11,121,438133259,-52921899,0,3.705,2024-04-11 17:38:18,19.0,163.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,0,6,512.35,2.999,11,121,438133059,-52921898,0,2.999,2024-04-11 17:38:19,19.0,163.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,65,7,514.23,2.719,11,120,438132849,-52921827,41,2.719,2024-04-11 17:38:20,19.0,163.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,65,7,516.25,2.544,11,120,438132649,-52921745,154,2.544,2024-04-11 17:38:21,19.0,163.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,0,7,518.69,2.463,11,120,438132404,-52921755,0,2.463,2024-04-11 17:38:22,19.0,163.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,0,7,521.4,2.432,11,119,438132131,-52921855,0,2.432,2024-04-11 17:38:23,19.0,163.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,0,7,523.76,2.413,10,119,438131892,-52921975,0,2.413,2024-04-11 17:38:24,18.0,163.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,0,7,525.89,2.344,10,118,438131676,-52922025,0,2.344,2024-04-11 17:38:25,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,0,7,528.36,2.317,10,118,438131403,-52922110,0,2.317,2024-04-11 17:38:26,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,0,7,530.98,2.299,10,118,438131148,-52922232,0,2.299,2024-04-11 17:38:27,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,78,7,533.88,2.816,10,117,438130851,-52922338,29,2.816,2024-04-11 17:38:28,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,80,7,537.78,3.675,11,117,438130458,-52922493,103,3.675,2024-04-11 17:38:29,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,80,7,541.47,3.633,12,117,438130077,-52922582,110,3.633,2024-04-11 17:38:30,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,3,7,544.92,3.452,14,116,438129685,-52922613,0,3.452,2024-04-11 17:38:31,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,71,7,547.84,3.198,14,115,438129372,-52922609,3,3.198,2024-04-11 17:38:32,18.0,164.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,33,7,549.74,2.915,14,114,438129179,-52922547,3,2.915,2024-04-11 17:38:33,18.0,165.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,0,7,550.56,1.632,14,113,438129095,-52922472,0,1.632,2024-04-11 17:38:34,18.0,165.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,90,7,551.98,1.961,15,115,438128501,-52922489,221,1.961,2024-04-11 17:38:47,18.0,168.0,46.60000000000002,46.60000000000002,0.0,0.0,0.0
,89,7,555.94,3.218,14,115,438128103,-52922638,258,3.218,2024-04-11 17:38:48,18.0,173.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,84,7,560.76,3.432,14,115,438127597,-52922711,206,3.432,2024-04-11 17:38:49,18.0,155.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,84,8,566.34,3.745,13,115,438127003,-52922663,188,3.745,2024-04-11 17:38:50,18.0,155.0,46.39999999999998,46.39999999999998,0.0,0.0,0.0
,0,8,571.54,4.064,13,114,438126464,-52922535,0,4.064,2024-04-11 17:38:51,18.0,,46.200000000000045,46.200000000000045,0.0,0.0,0.0
,0,8,575.57,3.649,13,113,438126061,-52922345,0,3.649,2024-04-11 17:38:52,18.0,,46.0,46.0,0.0,0.0,0.0
,0,8,578.7,2.972,12,112,438125726,-52922241,0,2.972,2024-04-11 17:38:53,18.0,,45.799999999999955,45.799999999999955,0.0,0.0,0.0
,0,8,581.12,2.539,12,110,438125465,-52922207,0,2.539,2024-04-11 17:38:54,18.0,,45.799999999999955,45.799999999999955,0.0,0.0,0.0
