time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-07-09 12:50:25,-97.732638,30.312931,3.9,209.6,88,0,0.0,0
2016-07-09 12:50:26,-97.732639,30.312892,8.0,209.6,88,0,0.0,0
2016-07-09 12:50:27,-97.732631,30.312861,12.0,209.6,87,0,0.0,0
2016-07-09 12:50:28,-97.732617,30.312823,16.2,210.0,88,0,4.1,0
2016-07-09 12:50:29,-97.732592,30.312788,20.3,210.2,88,0,4.1,0
2016-07-09 12:50:30,-97.732563,30.312754,24.8,210.2,88,0,4.2,1
2016-07-09 12:50:31,-97.732547,30.312715,29.3,210.0,88,0,4.3,52
2016-07-09 12:50:32,-97.732547,30.312677,33.8,209.6,88,28,4.4,128
2016-07-09 12:50:33,-97.732545,30.312633,38.3,209.6,89,115,4.4,128
2016-07-09 12:50:34,-97.732561,30.312591,43.3,209.6,90,79,4.6,143
2016-07-09 12:50:35,-97.732576,30.312528,48.2,209.4,90,65,4.7,143
2016-07-09 12:50:36,-97.732582,30.312474,53.5,209.4,91,61,4.8,105
2016-07-09 12:50:37,-97.732588,30.312421,59.1,209.4,92,62,5.1,94
2016-07-09 12:50:38,-97.732598,30.312363,64.6,209.4,92,64,5.3,94
2016-07-09 12:50:39,-97.732609,30.312307,70.5,209.2,93,74,5.4,101
2016-07-09 12:50:40,-97.732617,30.312256,76.4,209.2,94,72,5.6,101
2016-07-09 12:50:41,-97.732623,30.312193,82.6,209.0,94,76,5.8,97
2016-07-09 12:50:42,-97.732633,30.312139,88.8,209.0,94,79,5.9,80
2016-07-09 12:50:43,-97.732644,30.312077,95.1,208.8,95,79,6.1,105
2016-07-09 12:50:44,-97.732657,30.312019,101.5,208.8,95,84,6.2,0
2016-07-09 12:50:45,-97.732671,30.311962,107.9,208.6,95,66,6.3,0
2016-07-09 12:50:46,-97.732685,30.311908,114.2,208.6,95,0,6.3,0
2016-07-09 12:50:47,-97.732696,30.31185,120.5,208.4,94,0,6.3,0
2016-07-09 12:50:48,-97.732709,30.311791,126.7,208.4,94,0,6.3,0
2016-07-09 12:50:49,-97.732726,30.311735,132.8,208.2,95,0,6.3,0
