calories,heart_rate,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade
0,96,2023-03-23 16:51:27,,,,,,,,,,,,,
0,97,2023-03-23 16:51:28,98.0,0.0,1.81,9.0,438138334.0,-53428998.0,1.81,,,,,,
0,98,2023-03-23 16:51:29,,3.05,2.122,9.0,438138552.0,-53428685.0,2.122,,,,,,
0,99,2023-03-23 16:51:30,,5.76,2.481,9.0,438138464.0,-53428334.0,2.481,17.0,,,,,
0,100,2023-03-23 16:51:31,,8.17,2.46,8.0,438138419.0,-53428015.0,2.46,17.0,,,,,
0,100,2023-03-23 16:51:32,,10.6,2.32,8.0,438138379.0,-53427696.0,2.32,17.0,,,,,
0,101,2023-03-23 16:51:33,,12.87,2.293,8.0,438138376.0,-53427391.0,2.293,17.0,,,,,
0,101,2023-03-23 16:51:34,,15.79,2.311,8.0,438138334.0,-53427004.0,2.311,17.0,,,,,
0,102,2023-03-23 16:51:35,,19.23,2.712,8.0,438138338.0,-53426547.0,2.712,17.0,,,,,
1,102,2023-03-23 16:51:36,,23.03,3.111,8.0,438138384.0,-53426042.0,3.111,17.0,,,,,
1,102,2023-03-23 16:51:37,,26.89,3.297,8.0,438138421.0,-53425526.0,3.297,17.0,,,,,
1,103,2023-03-23 16:51:38,,30.71,3.311,8.0,438138376.0,-53425024.0,3.311,17.0,,,,,
1,104,2023-03-23 16:51:39,,34.77,3.506,8.0,438138328.0,-53424482.0,3.506,17.0,,,,,
1,105,2023-03-23 16:51:40,,38.07,3.633,8.0,438138293.0,-53424039.0,3.633,17.0,,,,,
1,105,2023-03-23 16:51:41,,41.63,3.599,9.0,438138339.0,-53423568.0,3.599,17.0,,,,,
1,107,2023-03-23 16:51:42,,45.36,3.629,9.0,438138379.0,-53423073.0,3.629,17.0,,,,,
2,108,2023-03-23 16:51:43,,49.1,3.658,9.0,438138383.0,-53422573.0,3.658,17.0,,,,,
2,110,2023-03-23 16:51:44,,53.35,3.781,9.0,438138425.0,-53422007.0,3.781,17.0,,,,,
2,111,2023-03-23 16:51:45,,58.36,3.905,9.0,438138419.0,-53421338.0,3.905,17.0,,,,,
2,112,2023-03-23 16:51:46,,63.54,4.289,9.0,438138379.0,-53420649.0,4.289,17.0,,,,,
2,113,2023-03-23 16:51:47,,67.41,4.507,9.0,438138386.0,-53420132.0,4.507,17.0,,,,,
2,113,2023-03-23 16:51:48,,71.1,4.312,9.0,438138415.0,-53419641.0,4.312,17.0,,,,,
2,113,2023-03-23 16:51:49,,74.48,4.092,10.0,438138331.0,-53419203.0,4.092,17.0,,,,,
3,112,2023-03-23 16:51:50,,77.95,3.866,10.0,438138288.0,-53418744.0,3.866,17.0,,,,,
3,110,2023-03-23 16:51:51,,82.22,3.718,10.0,438138288.0,-53418176.0,3.718,17.0,,,,,
3,110,2023-03-23 16:51:52,,86.52,4.071,10.0,438138293.0,-53417600.0,4.071,17.0,,,,,
3,107,2023-03-23 16:51:53,,90.85,4.247,10.0,438138329.0,-53417024.0,4.247,17.0,,,,,
3,105,2023-03-23 16:51:54,,94.99,4.235,10.0,438138292.0,-53416475.0,4.235,17.0,,,,,
3,104,2023-03-23 16:51:55,,98.97,3.924,10.0,438138339.0,-53415944.0,3.924,17.0,,,,,
3,101,2023-03-23 16:51:56,,102.32,3.509,10.0,438138374.0,-53415495.0,3.509,17.0,,,,,
