battery_soc,calories,distance,timestamp,enhanced_speed,heart_rate,position_lat,position_long,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade,vertical_speed
96.0,0,0.0,2023-04-11 17:08:53,,,,,,,,,,,,
96.0,0,0.0,2023-04-11 17:08:54,2.921,98.0,438135284.0,-52895642.0,2.921,19.0,,,,,,
,0,4.35,2023-04-11 17:08:55,2.953,98.0,438135649.0,-52896045.0,2.953,19.0,,,,,,
,0,7.4,2023-04-11 17:08:56,2.974,98.0,438135740.0,-52896432.0,2.974,19.0,,,,,,
,0,10.63,2023-04-11 17:08:57,3.04,99.0,438135740.0,-52896859.0,3.04,19.0,,,,,,
,0,13.93,2023-04-11 17:08:58,3.107,99.0,438135785.0,-52897291.0,3.107,19.0,,,,,,
,0,17.17,2023-04-11 17:08:59,3.175,100.0,438135785.0,-52897724.0,3.175,19.0,,,,,,
,0,20.57,2023-04-11 17:09:00,3.367,100.0,438135831.0,-52898179.0,3.367,19.0,,,,,,
,0,24.03,2023-04-11 17:09:01,3.45,100.0,438135785.0,-52898640.0,3.45,19.0,,,,,,
,0,27.21,2023-04-11 17:09:02,3.223,101.0,438135831.0,-52899061.0,3.223,19.0,,,,,,
,0,30.67,2023-04-11 17:09:03,3.308,102.0,438135785.0,-52899521.0,3.308,19.0,,,,,,
,0,34.44,2023-04-11 17:09:04,3.348,103.0,438135876.0,-52900011.0,3.348,19.0,,,,,,
,0,37.95,2023-04-11 17:09:05,3.49,105.0,438136058.0,-52900403.0,3.49,19.0,,,,,,
,0,41.58,2023-04-11 17:09:06,3.605,104.0,438136331.0,-52900745.0,3.605,19.0,,,,,,
,0,44.92,2023-04-11 17:09:07,3.373,105.0,438136604.0,-52901052.0,3.373,19.0,,,,,,
,0,47.59,2023-04-11 17:09:08,3.084,103.0,438136786.0,-52901313.0,3.084,19.0,,,,,,
,0,49.26,2023-04-11 17:09:09,2.714,103.0,438136741.0,-52901518.0,2.714,19.0,,,,,,
,1,50.58,2023-04-11 17:09:10,1.652,103.0,438136604.0,-52901621.0,1.652,19.0,,,,,,
,1,51.37,2023-04-11 17:09:11,1.238,102.0,438136468.0,-52901683.0,1.238,19.0,30.600000000000023,0.0,0.0,30.600000000000023,0.0,0.0
,1,51.37,2023-04-11 17:09:12,0.0,102.0,438136286.0,-52901729.0,0.0,19.0,30.600000000000023,0.0,0.0,30.600000000000023,0.0,0.0
,1,51.37,2023-04-11 17:09:13,0.0,100.0,438136104.0,-52901769.0,0.0,19.0,30.600000000000023,0.0,0.0,30.600000000000023,0.0,0.0
,1,52.15,2023-04-11 17:09:14,0.407,101.0,438135785.0,-52901933.0,0.407,19.0,30.600000000000023,0.0,0.0,30.600000000000023,0.0,0.0
,1,55.53,2023-04-11 17:09:15,1.861,98.0,438135421.0,-52902019.0,1.861,19.0,30.399999999999977,0.0,0.0,30.399999999999977,0.0,0.0
,1,58.46,2023-04-11 17:09:16,2.18,96.0,438135148.0,-52901996.0,2.18,19.0,30.399999999999977,0.0,0.0,30.399999999999977,0.0,0.0
,2,60.74,2023-04-11 17:09:17,2.401,94.0,438134875.0,-52901939.0,2.401,19.0,30.200000000000045,0.0,0.0,30.200000000000045,0.0,0.0
,2,63.89,2023-04-11 17:09:18,2.552,96.0,438134556.0,-52901877.0,2.552,19.0,30.0,0.0,0.0,30.0,0.0,0.0
,2,66.68,2023-04-11 17:09:19,2.654,93.0,438134238.0,-52901888.0,2.654,19.0,30.0,0.0,0.0,30.0,0.0,0.0
,2,70.05,2023-04-11 17:09:20,2.052,92.0,438133783.0,-52902110.0,2.052,19.0,29.799999999999955,0.0,0.0,29.799999999999955,0.0,0.0
,2,71.2,2023-04-11 17:09:24,4.539,90.0,438131598.0,-52903532.0,4.539,19.0,29.0,0.0,0.0,29.0,0.0,0.0
,2,75.87,2023-04-11 17:09:25,4.474,88.0,438131143.0,-52903549.0,4.474,19.0,29.0,0.0,0.0,29.0,0.0,0.0
,2,82.35,2023-04-11 17:09:26,4.559,91.0,438130415.0,-52903521.0,4.559,19.0,28.799999999999955,0.0,0.0,28.799999999999955,0.0,0.0
,2,91.57,2023-04-11 17:09:27,4.986,97.0,438129413.0,-52903549.0,4.986,19.0,28.799999999999955,0.0,0.0,28.799999999999955,0.0,0.0
,2,102.64,2023-04-11 17:09:28,5.306,97.0,438128230.0,-52903669.0,5.306,19.0,28.799999999999955,0.0,0.0,28.799999999999955,0.0,0.0
,3,107.57,2023-04-11 17:09:29,5.475,99.0,438127775.0,-52903913.0,5.475,19.0,28.600000000000023,0.0,0.0,28.600000000000023,0.0,0.0
,3,112.65,2023-04-11 17:09:30,5.374,100.0,438127320.0,-52904311.0,5.374,19.0,28.399999999999977,0.0,2.0,28.399999999999977,0.0,-0.099
,3,117.18,2023-04-11 17:09:31,5.286,100.0,438126910.0,-52904676.0,5.286,19.0,28.399999999999977,0.0,2.0,28.399999999999977,0.0,-0.09
,3,120.37,2023-04-11 17:09:32,5.125,100.0,438126637.0,-52904880.0,5.125,19.0,28.200000000000045,0.0,2.0,28.200000000000045,-1.0,-0.089
,3,124.07,2023-04-11 17:09:33,4.671,96.0,438126228.0,-52905005.0,4.671,19.0,28.200000000000045,0.0,2.0,28.200000000000045,-1.76,-0.088
,3,128.45,2023-04-11 17:09:34,4.328,74.0,438125773.0,-52905114.0,4.328,19.0,28.0,0.0,3.0,28.0,-1.82,-0.095
,3,130.6,2023-04-11 17:09:35,4.027,74.0,438125636.0,-52905307.0,4.027,19.0,28.0,0.0,3.0,28.0,-1.91,-0.093
