battery_soc,calories,distance,timestamp,altitude,ascent,descent,enhanced_altitude,enhanced_speed,grade,position_lat,position_long,speed,vertical_speed,heart_rate,temperature
87.0,0,0.0,2023-04-17 16:52:38,,,,,,,,,,,,
87.0,0,0.0,2023-04-17 16:52:39,22.200000000000045,0.0,0.0,22.200000000000045,3.785,0.51,438137059.0,-52900255.0,3.785,0.0,,
,0,3.57,2023-04-17 16:52:40,22.399999999999977,0.0,0.0,22.399999999999977,3.845,0.6,438137105.0,-52900727.0,3.845,0.0,101.0,
,0,6.45,2023-04-17 16:52:41,22.399999999999977,0.0,0.0,22.399999999999977,3.617,0.74,438137196.0,-52901103.0,3.617,0.0,101.0,
,0,9.57,2023-04-17 16:52:42,22.399999999999977,0.0,0.0,22.399999999999977,3.37,0.96,438137287.0,-52901495.0,3.37,0.0,102.0,21.0
,0,13.15,2023-04-17 16:52:43,22.600000000000023,0.0,0.0,22.600000000000023,3.417,1.21,438137605.0,-52901769.0,3.417,0.014,101.0,21.0
,0,16.77,2023-04-17 16:52:44,22.600000000000023,0.0,0.0,22.600000000000023,3.497,1.5,438137924.0,-52902025.0,3.497,0.022,101.0,21.0
,0,20.74,2023-04-17 16:52:45,22.799999999999955,0.0,0.0,22.799999999999955,3.709,1.77,438138379.0,-52901968.0,3.709,0.036,102.0,21.0
,0,26.62,2023-04-17 16:52:46,22.799999999999955,1.0,0.0,22.799999999999955,3.839,1.96,438138925.0,-52901626.0,3.839,0.066,102.0,21.0
,0,32.25,2023-04-17 16:52:47,23.0,1.0,0.0,23.0,4.284,2.1,438139471.0,-52901348.0,4.284,0.075,103.0,21.0
,0,37.43,2023-04-17 16:52:48,23.0,1.0,0.0,23.0,4.514,2.2,438139972.0,-52900989.0,4.514,0.078,104.0,21.0
,0,41.23,2023-04-17 16:52:49,23.200000000000045,1.0,0.0,23.200000000000045,4.672,2.28,438140336.0,-52900836.0,4.672,0.082,105.0,21.0
,0,43.63,2023-04-17 16:52:50,23.200000000000045,1.0,0.0,23.200000000000045,3.969,2.3,438140609.0,-52900756.0,3.969,0.086,107.0,21.0
,0,47.93,2023-04-17 16:52:51,23.399999999999977,1.0,0.0,23.399999999999977,3.59,2.25,438141064.0,-52900875.0,3.59,0.09,108.0,21.0
,0,50.62,2023-04-17 16:52:52,23.399999999999977,1.0,0.0,23.399999999999977,3.35,2.17,438141292.0,-52901069.0,3.35,0.086,109.0,21.0
,0,53.29,2023-04-17 16:52:53,23.600000000000023,1.0,0.0,23.600000000000023,3.0,2.15,438141565.0,-52900995.0,3.0,0.09,110.0,21.0
,1,55.87,2023-04-17 16:52:54,23.799999999999955,1.0,0.0,23.799999999999955,2.784,2.24,438141838.0,-52900818.0,2.784,0.094,110.0,21.0
,1,58.13,2023-04-17 16:52:55,23.799999999999955,2.0,0.0,23.799999999999955,2.651,2.45,438142066.0,-52900773.0,2.651,0.098,111.0,21.0
,1,60.57,2023-04-17 16:52:56,24.0,2.0,0.0,24.0,2.774,2.74,438142293.0,-52900642.0,2.774,0.101,111.0,21.0
,1,64.17,2023-04-17 16:52:57,24.200000000000045,2.0,0.0,24.200000000000045,2.778,3.14,438142612.0,-52900352.0,2.778,0.111,111.0,21.0
,1,66.37,2023-04-17 16:52:58,24.399999999999977,2.0,0.0,24.399999999999977,2.77,3.57,438142839.0,-52900238.0,2.77,0.118,112.0,21.0
,1,68.01,2023-04-17 16:52:59,24.399999999999977,2.0,0.0,24.399999999999977,2.41,3.97,438142976.0,-52900176.0,2.41,0.123,112.0,21.0
,1,69.39,2023-04-17 16:53:00,24.600000000000023,2.0,0.0,24.600000000000023,2.149,4.25,438143112.0,-52900119.0,2.149,0.125,111.0,21.0
,2,70.69,2023-04-17 16:53:01,24.600000000000023,2.0,0.0,24.600000000000023,1.936,4.28,438143294.0,-52900119.0,1.936,0.123,111.0,21.0
,2,73.27,2023-04-17 16:53:02,24.600000000000023,3.0,0.0,24.600000000000023,1.774,4.12,438143431.0,-52900409.0,1.774,0.109,110.0,21.0
,2,76.39,2023-04-17 16:53:03,24.799999999999955,3.0,0.0,24.799999999999955,2.099,3.88,438143476.0,-52900824.0,2.099,0.101,110.0,21.0
,2,80.07,2023-04-17 16:53:04,24.799999999999955,3.0,0.0,24.799999999999955,2.355,3.64,438143658.0,-52901262.0,2.355,0.091,110.0,21.0
,2,83.64,2023-04-17 16:53:05,24.799999999999955,3.0,0.0,24.799999999999955,3.128,3.35,438143841.0,-52901683.0,3.128,0.074,111.0,21.0
,2,88.15,2023-04-17 16:53:06,24.799999999999955,3.0,0.0,24.799999999999955,3.283,3.0,438143932.0,-52902275.0,3.283,0.058,112.0,21.0
,3,93.02,2023-04-17 16:53:07,24.799999999999955,3.0,0.0,24.799999999999955,3.521,2.59,438144159.0,-52902866.0,3.521,0.045,113.0,21.0
,3,97.17,2023-04-17 16:53:08,25.0,4.0,0.0,25.0,3.764,2.16,438144341.0,-52903367.0,3.764,0.043,113.0,21.0
,3,100.94,2023-04-17 16:53:09,25.0,4.0,0.0,25.0,3.77,1.76,438144387.0,-52903862.0,3.77,0.039,113.0,21.0
,3,105.47,2023-04-17 16:53:10,25.0,4.0,0.0,25.0,3.772,1.43,438144523.0,-52904454.0,3.772,0.039,113.0,21.0
,3,110.68,2023-04-17 16:53:11,25.0,4.0,0.0,25.0,4.123,1.2,438144660.0,-52905131.0,4.123,0.035,114.0,21.0
,3,114.38,2023-04-17 16:53:12,25.200000000000045,4.0,0.0,25.200000000000045,4.396,1.08,438144796.0,-52905597.0,4.396,0.037,114.0,21.0
,4,119.01,2023-04-17 16:53:13,25.200000000000045,4.0,0.0,25.200000000000045,4.462,1.01,438144978.0,-52906172.0,4.462,0.043,115.0,21.0
,4,123.3,2023-04-17 16:53:14,25.200000000000045,4.0,0.0,25.200000000000045,4.422,0.93,438145206.0,-52906650.0,4.422,0.045,115.0,21.0
,4,127.52,2023-04-17 16:53:15,25.200000000000045,5.0,0.0,25.200000000000045,4.367,0.79,438145479.0,-52907105.0,4.367,0.043,115.0,21.0
,4,131.8,2023-04-17 16:53:16,25.200000000000045,5.0,0.0,25.200000000000045,4.348,0.63,438145615.0,-52907657.0,4.348,0.037,115.0,21.0
,4,136.73,2023-04-17 16:53:17,25.200000000000045,5.0,0.0,25.200000000000045,4.334,0.51,438145661.0,-52908311.0,4.334,0.027,114.0,21.0
,4,141.2,2023-04-17 16:53:18,25.200000000000045,5.0,0.0,25.200000000000045,4.365,0.42,438145752.0,-52908891.0,4.365,0.0,113.0,21.0
,4,146.23,2023-04-17 16:53:19,25.200000000000045,5.0,0.0,25.200000000000045,4.395,0.38,438145797.0,-52909562.0,4.395,0.0,113.0,21.0
,5,151.87,2023-04-17 16:53:20,25.200000000000045,5.0,0.0,25.200000000000045,4.706,0.4,438146025.0,-52910262.0,4.706,0.0,113.0,21.0
,5,156.36,2023-04-17 16:53:21,25.399999999999977,5.0,0.0,25.399999999999977,4.94,0.46,438146298.0,-52910780.0,4.94,0.008,113.0,21.0
,5,160.9,2023-04-17 16:53:22,25.399999999999977,5.0,0.0,25.399999999999977,4.797,0.55,438146435.0,-52911360.0,4.797,0.016,112.0,21.0
,5,164.74,2023-04-17 16:53:23,25.399999999999977,5.0,0.0,25.399999999999977,4.596,0.66,438146662.0,-52911798.0,4.596,0.023,112.0,21.0
,5,169.54,2023-04-17 16:53:24,25.399999999999977,6.0,0.0,25.399999999999977,4.774,0.75,438146662.0,-52912435.0,4.774,0.027,111.0,21.0
