calories,heart_rate,timestamp,altitude,ascent,battery_soc,descent,distance,enhanced_altitude,enhanced_speed,gps_accuracy,grade,position_lat,position_long,speed,temperature
0,102,2023-04-19 17:40:09,,,,,,,,,,,,,
0,103,2023-04-19 17:40:10,20.799999999999955,0.0,77.0,0.0,0.0,20.799999999999955,3.026,14.0,-21.74,438139972.0,-52901154.0,3.026,
0,104,2023-04-19 17:40:11,19.799999999999955,0.0,,1.0,3.42,19.799999999999955,3.032,13.0,-26.7,438140278.0,-52901361.0,3.032,19.0
0,105,2023-04-19 17:40:12,19.200000000000045,0.0,,2.0,5.25,19.200000000000045,2.993,13.0,-31.74,438140454.0,-52901299.0,2.993,19.0
0,106,2023-04-19 17:40:13,19.0,0.0,,3.0,8.24,19.0,2.84,12.0,-34.86,438140750.0,-52901129.0,2.84,19.0
0,106,2023-04-19 17:40:14,18.600000000000023,0.0,,4.0,12.21,18.600000000000023,2.89,12.0,-34.57,438141028.0,-52900744.0,2.89,19.0
0,106,2023-04-19 17:40:15,18.600000000000023,0.0,,4.0,15.59,18.600000000000023,3.237,12.0,-30.68,438141255.0,-52900370.0,3.237,19.0
0,106,2023-04-19 17:40:16,18.399999999999977,0.0,,4.0,19.35,18.399999999999977,3.366,12.0,-23.82,438141500.0,-52899985.0,3.366,19.0
0,107,2023-04-19 17:40:17,18.399999999999977,0.0,,5.0,23.72,18.399999999999977,3.408,12.0,-17.03,438141789.0,-52899542.0,3.408,19.0
1,106,2023-04-19 17:40:18,18.399999999999977,0.0,,5.0,26.21,18.399999999999977,3.216,13.0,-11.89,438141982.0,-52899312.0,3.216,19.0
1,107,2023-04-19 17:40:19,18.399999999999977,0.0,,5.0,28.6,18.399999999999977,2.586,13.0,-7.96,438142220.0,-52899230.0,2.586,19.0
1,109,2023-04-19 17:40:20,18.399999999999977,0.0,,5.0,32.08,18.399999999999977,2.716,13.0,-5.04,438142481.0,-52899498.0,2.716,19.0
1,109,2023-04-19 17:40:21,18.399999999999977,0.0,,5.0,38.24,18.399999999999977,3.109,12.0,-2.95,438142679.0,-52900288.0,3.109,19.0
1,111,2023-04-19 17:40:22,18.399999999999977,0.0,,5.0,44.45,18.399999999999977,4.429,13.0,-1.01,438142770.0,-52901109.0,4.429,19.0
1,112,2023-04-19 17:40:23,18.399999999999977,0.0,,5.0,50.03,18.399999999999977,4.63,13.0,0.0,438142871.0,-52901839.0,4.63,19.0
2,113,2023-04-19 17:40:24,18.399999999999977,0.0,,5.0,53.71,18.399999999999977,4.516,13.0,0.0,438142987.0,-52902316.0,4.516,19.0
2,114,2023-04-19 17:40:25,18.399999999999977,0.0,,5.0,57.08,18.399999999999977,3.865,13.0,0.0,438143043.0,-52902754.0,3.865,19.0
2,115,2023-04-19 17:40:26,18.399999999999977,0.0,,5.0,60.11,18.399999999999977,3.387,13.0,-0.12,438143143.0,-52903144.0,3.387,19.0
2,116,2023-04-19 17:40:27,18.399999999999977,0.0,,5.0,63.06,18.399999999999977,3.215,14.0,-0.31,438143270.0,-52903510.0,3.215,19.0
2,117,2023-04-19 17:40:28,18.399999999999977,0.0,,5.0,65.78,18.399999999999977,3.185,15.0,-0.4,438143362.0,-52903840.0,3.185,19.0
2,118,2023-04-19 17:40:29,18.399999999999977,0.0,,5.0,69.33,18.399999999999977,3.374,15.0,-0.21,438143474.0,-52904296.0,3.374,19.0
3,119,2023-04-19 17:40:30,18.399999999999977,0.0,,5.0,73.36,18.399999999999977,3.616,15.0,0.0,438143645.0,-52904804.0,3.616,19.0
3,119,2023-04-19 17:40:31,18.600000000000023,0.0,,5.0,77.16,18.600000000000023,3.663,15.0,-0.01,438143792.0,-52905266.0,3.663,19.0
3,119,2023-04-19 17:40:32,18.600000000000023,0.0,,5.0,80.59,18.600000000000023,3.669,15.0,0.17,438143985.0,-52905642.0,3.669,19.0
3,119,2023-04-19 17:40:33,18.600000000000023,0.0,,5.0,83.22,18.600000000000023,3.484,15.0,0.5,438144192.0,-52905891.0,3.484,19.0
