battery_soc,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,temperature,altitude,ascent,descent,enhanced_altitude,grade
94.0,0,0.0,2.092,17,100,438135558,-52897138,2.092,2023-04-25 15:26:06,,,,,,
,0,1.45,2.042,17,100,438135558,-52897328,2.042,2023-04-25 15:26:07,,,,,,
,0,3.24,1.995,17,100,438135662,-52897525,1.995,2023-04-25 15:26:08,,,,,,
,0,5.19,1.98,16,100,438135765,-52897757,1.98,2023-04-25 15:26:09,22.0,,,,,
,0,8.48,1.975,16,100,438135750,-52898193,1.975,2023-04-25 15:26:10,22.0,,,,,
,0,12.49,2.36,15,100,438135740,-52898726,2.36,2023-04-25 15:26:11,22.0,,,,,
,0,16.2,2.694,15,99,438135704,-52899220,2.694,2023-04-25 15:26:12,22.0,,,,,
,0,20.11,2.994,15,98,438135766,-52899730,2.994,2023-04-25 15:26:13,22.0,,,,,
,0,23.68,3.238,15,99,438135821,-52900197,3.238,2023-04-25 15:26:14,22.0,,,,,
,1,26.64,3.196,15,99,438135902,-52900575,3.196,2023-04-25 15:26:15,22.0,,,,,
,1,30.72,3.104,15,99,438136204,-52900963,3.104,2023-04-25 15:26:16,22.0,,,,,
,1,35.57,3.42,15,100,438136602,-52901376,3.42,2023-04-25 15:26:17,22.0,,,,,
,1,40.26,3.731,15,101,438137079,-52901608,3.731,2023-04-25 15:26:18,22.0,,,,,
,1,43.84,3.957,14,102,438137444,-52901587,3.957,2023-04-25 15:26:19,22.0,,,,,
,1,48.19,4.131,14,103,438137866,-52901323,4.131,2023-04-25 15:26:20,22.0,,,,,
,1,53.47,4.265,14,105,438138393,-52901083,4.265,2023-04-25 15:26:21,22.0,,,,,
,1,58.36,4.377,14,106,438138869,-52900819,4.377,2023-04-25 15:26:22,22.0,,,,,
,2,62.17,4.464,14,106,438139249,-52900617,4.464,2023-04-25 15:26:23,22.0,,,,,
,2,65.17,4.166,13,107,438139579,-52900530,4.166,2023-04-25 15:26:24,22.0,,,,,
,2,66.8,3.831,13,109,438139724,-52900578,3.831,2023-04-25 15:26:25,22.0,25.200000000000045,0.0,0.0,25.200000000000045,0.0
,2,69.94,3.578,12,110,438140064,-52900703,3.578,2023-04-25 15:26:26,22.0,25.200000000000045,0.0,0.0,25.200000000000045,0.0
,2,72.48,3.391,12,111,438140296,-52900640,3.391,2023-04-25 15:26:27,22.0,25.399999999999977,0.0,0.0,25.399999999999977,0.0
,2,74.8,3.158,13,112,438140513,-52900490,3.158,2023-04-25 15:26:28,22.0,25.600000000000023,0.0,0.0,25.600000000000023,0.0
,3,77.49,3.039,13,112,438140811,-52900441,3.039,2023-04-25 15:26:29,22.0,25.600000000000023,0.0,0.0,25.600000000000023,0.15
,3,79.99,2.905,13,113,438141061,-52900437,2.905,2023-04-25 15:26:30,22.0,25.600000000000023,0.0,0.0,25.600000000000023,1.23
,3,82.27,2.842,13,114,438141322,-52900481,2.842,2023-04-25 15:26:31,22.0,25.799999999999955,0.0,0.0,25.799999999999955,1.56
,3,84.53,2.653,13,114,438141561,-52900525,2.653,2023-04-25 15:26:32,22.0,25.799999999999955,0.0,0.0,25.799999999999955,1.89
,3,86.43,2.705,13,113,438141756,-52900598,2.705,2023-04-25 15:26:33,22.0,26.0,1.0,0.0,26.0,2.34
,3,87.59,2.358,13,113,438141864,-52900663,2.358,2023-04-25 15:26:34,22.0,26.200000000000045,1.0,0.0,26.200000000000045,2.69
,3,89.11,2.142,13,113,438141990,-52900783,2.142,2023-04-25 15:26:35,22.0,26.200000000000045,1.0,0.0,26.200000000000045,3.03
,4,90.74,2.013,13,112,438142126,-52900936,2.013,2023-04-25 15:26:36,22.0,26.399999999999977,1.0,0.0,26.399999999999977,3.31
,4,92.65,1.989,15,112,438142228,-52901146,1.989,2023-04-25 15:26:37,22.0,26.600000000000023,1.0,0.0,26.600000000000023,3.5
,4,95.44,1.994,15,112,438142433,-52901435,1.994,2023-04-25 15:26:38,22.0,26.600000000000023,1.0,0.0,26.600000000000023,3.86
,4,98.66,2.248,15,111,438142620,-52901775,2.248,2023-04-25 15:26:39,22.0,26.799999999999955,1.0,0.0,26.799999999999955,4.24
,4,102.17,2.562,15,110,438142765,-52902206,2.562,2023-04-25 15:26:40,22.0,26.799999999999955,1.0,0.0,26.799999999999955,4.61
,4,105.12,2.823,15,110,438142831,-52902593,2.823,2023-04-25 15:26:41,22.0,26.799999999999955,1.0,0.0,26.799999999999955,4.68
,5,108.09,2.899,15,110,438142839,-52902993,2.899,2023-04-25 15:26:42,22.0,26.799999999999955,2.0,0.0,26.799999999999955,4.48
,5,111.12,2.929,14,110,438142839,-52903398,2.929,2023-04-25 15:26:43,22.0,27.0,2.0,0.0,27.0,3.99
