calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,battery_soc,temperature,altitude,enhanced_altitude,ascent,descent,grade
0,0.0,0.0,12,97,438134283,-52893975,0.0,2023-05-09 17:19:09,,,,,,,
0,1.64,0.846,12,97,438134385,-52894152,0.846,2023-05-09 17:19:10,90.0,,,,,,
0,3.18,1.199,12,98,438134453,-52894341,1.199,2023-05-09 17:19:11,,,,,,,
0,4.99,1.39,12,98,438134343,-52894512,1.39,2023-05-09 17:19:12,,22.0,,,,,
0,7.88,2.235,12,98,438134405,-52894812,2.235,2023-05-09 17:19:13,,22.0,,,,,
0,12.41,2.611,11,99,438134750,-52895219,2.611,2023-05-09 17:19:14,,22.0,,,,,
0,17.21,2.784,11,99,438135008,-52895753,2.784,2023-05-09 17:19:15,,22.0,,,,,
0,20.36,3.079,11,99,438135090,-52896159,3.079,2023-05-09 17:19:16,,22.0,,,,,
0,23.52,3.214,11,100,438135071,-52896577,3.214,2023-05-09 17:19:17,,22.0,,,,,
1,26.64,3.225,11,100,438135090,-52896993,3.225,2023-05-09 17:19:18,,22.0,,,,,
1,30.07,3.458,12,101,438135199,-52897420,3.458,2023-05-09 17:19:19,,22.0,,,,,
1,33.45,3.556,12,101,438135272,-52897855,3.556,2023-05-09 17:19:20,,22.0,,,,,
1,36.87,3.334,12,102,438135091,-52898210,3.334,2023-05-09 17:19:21,,22.0,,,,,
1,40.35,3.284,11,103,438134946,-52898625,3.284,2023-05-09 17:19:22,,22.0,,,,,
1,45.53,3.331,11,104,438135241,-52899180,3.331,2023-05-09 17:19:23,,22.0,,,,,
1,50.55,3.573,11,103,438135503,-52899764,3.573,2023-05-09 17:19:24,,22.0,,,,,
1,55.34,3.88,10,102,438135558,-52900392,3.88,2023-05-09 17:19:25,,22.0,,,,,
2,60.56,4.221,10,99,438135558,-52901089,4.221,2023-05-09 17:19:26,,22.0,,,,,
2,64.89,4.511,10,98,438135590,-52901664,4.511,2023-05-09 17:19:27,,22.0,,,,,
2,67.47,4.363,10,95,438135736,-52901924,4.363,2023-05-09 17:19:28,,22.0,,,,,
2,69.46,4.12,10,95,438135945,-52901968,4.12,2023-05-09 17:19:29,,22.0,,,,,
2,72.06,3.843,9,95,438136203,-52901896,3.843,2023-05-09 17:19:30,,22.0,,,,,
2,75.11,3.636,9,95,438136485,-52901720,3.636,2023-05-09 17:19:31,,22.0,,,,,
2,78.74,3.46,9,96,438136853,-52901613,3.46,2023-05-09 17:19:32,,22.0,,,,,
2,83.09,3.744,9,96,438137319,-52901576,3.744,2023-05-09 17:19:33,,22.0,,,,,
3,87.74,4.202,9,97,438137821,-52901541,4.202,2023-05-09 17:19:34,,22.0,,,,,
3,92.58,4.534,9,97,438138352,-52901641,4.534,2023-05-09 17:19:35,,22.0,,,,,
3,96.45,4.726,9,98,438138748,-52901776,4.726,2023-05-09 17:19:36,,22.0,,,,,
3,99.26,4.207,9,99,438139033,-52901751,4.207,2023-05-09 17:19:37,89.0,22.0,,,,,
3,101.78,3.656,11,101,438139268,-52901588,3.656,2023-05-09 17:19:38,,22.0,,,,,
3,104.59,3.324,13,102,438139531,-52901375,3.324,2023-05-09 17:19:39,,22.0,,,,,
3,107.03,3.069,15,102,438139768,-52901214,3.069,2023-05-09 17:19:40,,22.0,,,,,
