distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,battery_soc,temperature,altitude,ascent,descent,enhanced_altitude,grade,calories,heart_rate
0.0,0.0,22,438134602,-52892046,0.0,2023-06-05 17:18:57,,,,,,,,,
0.0,0.0,21,438134461,-52892170,0.0,2023-06-05 17:18:58,78.0,23.0,,,,,,,
0.0,0.0,20,438134493,-52892237,0.0,2023-06-05 17:18:59,,23.0,,,,,,,
0.0,0.0,19,438134511,-52892291,0.0,2023-06-05 17:19:00,,23.0,,,,,,,
0.0,0.0,18,438134436,-52892321,0.0,2023-06-05 17:19:01,,23.0,,,,,,,
0.0,0.0,18,438134420,-52892325,0.0,2023-06-05 17:19:02,,23.0,,,,,,,
0.0,0.0,17,438134420,-52892325,0.0,2023-06-05 17:19:03,,23.0,,,,,,,
0.0,0.0,17,438134420,-52892325,0.0,2023-06-05 17:19:04,,23.0,,,,,,,
0.0,0.0,16,438134420,-52892325,0.0,2023-06-05 17:19:05,,23.0,,,,,,,
0.0,0.0,16,438134420,-52892325,0.0,2023-06-05 17:19:06,,23.0,,,,,,,
0.0,0.0,15,438134420,-52892325,0.0,2023-06-05 17:19:07,,23.0,,,,,,,
0.0,0.0,14,438134420,-52892325,0.0,2023-06-05 17:19:08,,23.0,,,,,,,
0.0,0.832,16,438134420,-52892325,0.832,2023-06-05 17:19:09,,23.0,,,,,,,
0.0,0.981,16,438134420,-52892325,0.981,2023-06-05 17:19:10,,23.0,,,,,,,
0.72,1.166,15,438134344,-52892372,1.166,2023-06-05 17:19:11,,23.0,,,,,,,
1.63,0.965,15,438134291,-52892467,0.965,2023-06-05 17:19:12,,23.0,,,,,,,
2.6,1.017,14,438134302,-52892584,1.017,2023-06-05 17:19:13,,23.0,,,,,,,
3.58,1.138,14,438134325,-52892703,1.138,2023-06-05 17:19:14,,23.0,,,,,,,
5.1,1.195,13,438134405,-52892870,1.195,2023-06-05 17:19:15,,23.0,,,,,,,
6.59,1.313,13,438134458,-52893053,1.313,2023-06-05 17:19:16,,23.0,,,,,,,
8.15,1.38,13,438134542,-52893244,1.38,2023-06-05 17:19:17,,23.0,,,,,,,
9.4,1.465,13,438134632,-52893360,1.465,2023-06-05 17:19:18,,23.0,,,,,,,
10.78,1.404,13,438134761,-52893477,1.404,2023-06-05 17:19:19,,23.0,,,,,,,
12.41,1.389,12,438134840,-52893668,1.389,2023-06-05 17:19:20,,23.0,,,,,,,
14.09,1.389,12,438134908,-52893873,1.389,2023-06-05 17:19:21,,23.0,,,,,,,
16.41,1.994,12,438134996,-52894162,1.994,2023-06-05 17:19:22,,23.0,,,,,,,
19.33,2.342,13,438135162,-52894491,2.342,2023-06-05 17:19:23,,23.0,,,,,,,
22.02,2.389,13,438135308,-52894803,2.389,2023-06-05 17:19:24,,23.0,,,,,,,
24.71,2.389,12,438135405,-52895127,2.389,2023-06-05 17:19:25,,23.0,,,,,,,
27.41,2.31,12,438135536,-52895455,2.31,2023-06-05 17:19:26,,23.0,,,,,,,
28.83,2.326,12,438135592,-52895630,2.326,2023-06-05 17:19:27,,23.0,,,,,,,
30.02,2.363,12,438135632,-52895778,2.363,2023-06-05 17:19:28,,23.0,39.200000000000045,0.0,0.0,39.200000000000045,0.0,,
34.95,2.555,12,438135787,-52896414,2.555,2023-06-05 17:19:29,,23.0,39.200000000000045,0.0,0.0,39.200000000000045,0.0,,
38.71,2.611,12,438135904,-52896886,2.611,2023-06-05 17:19:30,,23.0,39.200000000000045,0.0,0.0,39.200000000000045,0.0,,
40.51,2.633,13,438135960,-52897121,2.633,2023-06-05 17:19:31,,23.0,39.200000000000045,0.0,0.0,39.200000000000045,0.0,,
42.07,2.415,17,438135855,-52897253,2.415,2023-06-05 17:19:32,,23.0,39.39999999999998,0.0,0.0,39.39999999999998,0.0,,
44.28,2.205,17,438135686,-52897464,2.205,2023-06-05 17:19:33,,23.0,39.39999999999998,0.0,0.0,39.39999999999998,0.0,,
46.78,2.239,17,438135576,-52897769,2.239,2023-06-05 17:19:34,,23.0,39.39999999999998,0.0,0.0,39.39999999999998,0.38,,
48.98,2.227,16,438135632,-52898041,2.227,2023-06-05 17:19:35,,23.0,39.39999999999998,0.0,0.0,39.39999999999998,0.81,,
51.45,2.288,16,438135799,-52898303,2.288,2023-06-05 17:19:36,,23.0,39.39999999999998,0.0,0.0,39.39999999999998,1.0,,
54.24,2.413,16,438135793,-52898658,2.413,2023-06-05 17:19:37,,23.0,39.60000000000002,0.0,0.0,39.60000000000002,1.16,,
58.36,2.541,15,438135673,-52899181,2.541,2023-06-05 17:19:38,,23.0,39.60000000000002,0.0,0.0,39.60000000000002,1.27,,
68.0,3.031,15,438135574,-52900461,3.031,2023-06-05 17:19:39,,23.0,39.60000000000002,0.0,0.0,39.60000000000002,1.32,,
77.68,3.486,14,438135558,-52901753,3.486,2023-06-05 17:19:40,,23.0,39.60000000000002,0.0,0.0,39.60000000000002,1.28,,
86.02,4.223,14,438135816,-52902820,4.223,2023-06-05 17:19:41,,23.0,39.60000000000002,0.0,0.0,39.60000000000002,1.18,,
91.55,4.877,13,438136134,-52903407,4.877,2023-06-05 17:19:42,,23.0,39.60000000000002,1.0,0.0,39.60000000000002,1.12,,
94.84,4.963,13,438136416,-52903323,4.963,2023-06-05 17:19:43,,23.0,39.799999999999955,1.0,0.0,39.799999999999955,1.17,,
97.78,4.932,12,438136655,-52903053,4.932,2023-06-05 17:19:44,,23.0,39.799999999999955,1.0,0.0,39.799999999999955,1.26,,
101.22,4.639,12,438136922,-52902739,4.639,2023-06-05 17:19:45,,23.0,40.0,1.0,0.0,40.0,1.32,,
105.91,4.367,12,438137267,-52902274,4.367,2023-06-05 17:19:46,,23.0,40.0,1.0,0.0,40.0,1.37,,
115.07,4.571,11,438138195,-52901875,4.571,2023-06-05 17:19:47,,23.0,40.200000000000045,1.0,0.0,40.200000000000045,1.43,,
121.02,4.718,11,438138790,-52901692,4.718,2023-06-05 17:19:48,,23.0,40.200000000000045,1.0,0.0,40.200000000000045,1.49,,
127.46,4.806,10,438139499,-52901575,4.806,2023-06-05 17:19:49,,23.0,40.39999999999998,1.0,0.0,40.39999999999998,1.56,,
132.89,4.877,10,438140062,-52901422,4.877,2023-06-05 17:19:50,,23.0,40.39999999999998,1.0,0.0,40.39999999999998,1.61,,
135.62,4.93,10,438140341,-52901295,4.93,2023-06-05 17:19:51,,23.0,40.39999999999998,1.0,0.0,40.39999999999998,1.59,,
136.49,4.563,9,438140419,-52901255,4.563,2023-06-05 17:19:52,,23.0,40.39999999999998,1.0,0.0,40.39999999999998,1.5,,
137.47,4.19,9,438140427,-52901138,4.19,2023-06-05 17:19:53,,23.0,40.60000000000002,1.0,0.0,40.60000000000002,1.4,,
140.61,4.015,9,438140128,-52900964,4.015,2023-06-05 17:19:54,,23.0,40.60000000000002,1.0,0.0,40.60000000000002,1.31,,
143.41,3.902,9,438140253,-52900752,3.902,2023-06-05 17:19:55,,23.0,40.799999999999955,1.0,0.0,40.799999999999955,1.26,,
145.17,3.426,10,438140399,-52900603,3.426,2023-06-05 17:19:56,,23.0,40.799999999999955,2.0,0.0,40.799999999999955,1.3,,
148.38,2.957,10,438140722,-52900445,2.957,2023-06-05 17:19:57,,23.0,41.0,2.0,0.0,41.0,1.42,,
151.98,3.015,10,438141082,-52900305,3.015,2023-06-05 17:19:58,,23.0,41.0,2.0,0.0,41.0,1.64,,
155.59,3.163,11,438141409,-52900088,3.163,2023-06-05 17:19:59,,23.0,41.200000000000045,2.0,0.0,41.200000000000045,1.95,,
157.59,3.279,11,438141623,-52899988,3.279,2023-06-05 17:20:00,,23.0,41.200000000000045,2.0,0.0,41.200000000000045,2.29,,
162.08,3.365,11,438142074,-52899810,3.365,2023-06-05 17:20:01,,23.0,41.39999999999998,2.0,0.0,41.39999999999998,2.54,,
