altitude,calories,distance,enhanced_altitude,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,ascent,battery_soc,descent,grade,temperature
35.0,0,0.0,35.0,2.606,17,111,438142657,-52900198,2.606,2023-06-15 17:50:00,,,,,
35.0,0,2.49,35.0,2.817,18,111,438142801,-52900481,2.817,2023-06-15 17:50:01,0.0,90.0,0.0,-0.3,
35.0,0,5.43,35.0,3.008,17,112,438142908,-52900838,3.008,2023-06-15 17:50:02,0.0,,0.0,0.18,
35.0,0,8.51,35.0,3.066,17,112,438142998,-52901228,3.066,2023-06-15 17:50:03,0.0,,0.0,0.47,26.0
35.0,0,11.77,35.0,3.233,17,112,438143127,-52901639,3.233,2023-06-15 17:50:04,0.0,,0.0,0.62,26.0
35.0,0,14.59,35.0,3.314,18,112,438143265,-52901960,3.314,2023-06-15 17:50:05,0.0,,0.0,0.65,26.0
35.0,0,17.06,35.0,2.852,18,112,438143396,-52902260,2.852,2023-06-15 17:50:06,0.0,,0.0,0.02,26.0
35.0,1,19.78,35.0,2.78,18,111,438143465,-52902609,2.78,2023-06-15 17:50:07,0.0,,0.0,0.44,26.0
35.0,1,25.81,35.0,2.841,17,111,438143581,-52903404,2.841,2023-06-15 17:50:08,0.0,,0.0,0.36,26.0
35.200000000000045,1,29.72,35.200000000000045,2.943,16,110,438143648,-52903921,2.943,2023-06-15 17:50:09,0.0,,0.0,0.32,26.0
35.200000000000045,1,36.22,35.200000000000045,2.985,15,111,438144048,-52904618,2.985,2023-06-15 17:50:10,0.0,,0.0,0.33,26.0
35.200000000000045,1,42.81,35.200000000000045,3.956,15,110,438144408,-52905366,3.956,2023-06-15 17:50:11,0.0,,0.0,0.4,26.0
35.200000000000045,1,47.51,35.200000000000045,4.492,14,110,438144579,-52905954,4.492,2023-06-15 17:50:12,0.0,,0.0,0.51,26.0
35.200000000000045,1,51.02,35.200000000000045,4.067,14,109,438144614,-52906416,4.067,2023-06-15 17:50:13,0.0,,0.0,0.59,26.0
35.200000000000045,2,52.15,35.200000000000045,3.657,13,108,438144614,-52906565,3.657,2023-06-15 17:50:14,0.0,,0.0,0.61,26.0
35.200000000000045,2,53.05,35.200000000000045,3.139,14,108,438144614,-52906682,3.139,2023-06-15 17:50:15,0.0,,0.0,0.59,26.0
35.200000000000045,2,54.19,35.200000000000045,2.653,15,107,438144681,-52906793,2.653,2023-06-15 17:50:16,0.0,,0.0,0.53,26.0
35.200000000000045,2,56.79,35.200000000000045,2.696,16,106,438144969,-52906833,2.696,2023-06-15 17:50:17,0.0,,0.0,0.51,26.0
35.39999999999998,2,61.65,35.39999999999998,2.758,15,106,438144905,-52907327,2.758,2023-06-15 17:50:18,0.0,,0.0,0.5,26.0
35.39999999999998,2,67.32,35.39999999999998,2.651,15,106,438144877,-52908063,2.651,2023-06-15 17:50:19,0.0,,0.0,0.53,26.0
35.39999999999998,2,71.57,35.39999999999998,2.844,14,106,438144990,-52908605,2.844,2023-06-15 17:50:20,0.0,,0.0,0.63,26.0
35.39999999999998,3,73.85,35.39999999999998,3.08,15,106,438145156,-52908829,3.08,2023-06-15 17:50:21,0.0,,0.0,0.78,26.0
35.60000000000002,3,77.68,35.60000000000002,3.265,15,104,438145306,-52909289,3.265,2023-06-15 17:50:22,0.0,,0.0,0.99,26.0
35.60000000000002,3,84.07,35.60000000000002,3.772,14,103,438145376,-52910130,3.772,2023-06-15 17:50:23,0.0,,0.0,1.17,26.0
35.60000000000002,3,89.05,35.60000000000002,4.273,13,102,438145453,-52910791,4.273,2023-06-15 17:50:24,1.0,,0.0,1.28,26.0
35.60000000000002,3,92.11,35.60000000000002,4.297,13,100,438145615,-52911147,4.297,2023-06-15 17:50:25,1.0,,0.0,1.31,26.0
35.60000000000002,3,94.02,35.60000000000002,4.177,13,97,438145729,-52911347,4.177,2023-06-15 17:50:26,1.0,,0.0,1.22,26.0
35.60000000000002,3,95.1,35.60000000000002,3.723,13,97,438145819,-52911349,3.723,2023-06-15 17:50:27,1.0,,0.0,1.11,26.0
35.799999999999955,3,96.57,35.799999999999955,3.221,13,98,438145977,-52911348,3.221,2023-06-15 17:50:28,1.0,,0.0,0.97,26.0
35.799999999999955,4,99.27,35.799999999999955,2.827,12,101,438146131,-52911614,2.827,2023-06-15 17:50:29,1.0,,0.0,0.85,26.0
35.799999999999955,4,102.22,35.799999999999955,2.78,12,103,438146162,-52911996,2.78,2023-06-15 17:50:30,1.0,,0.0,0.79,26.0
35.799999999999955,4,106.55,35.799999999999955,2.815,12,106,438146302,-52912549,2.815,2023-06-15 17:50:31,1.0,,0.0,0.75,26.0
35.799999999999955,4,111.46,35.799999999999955,3.217,11,108,438146447,-52913179,3.217,2023-06-15 17:50:32,1.0,,0.0,0.77,26.0
36.0,4,115.96,36.0,3.645,11,109,438146550,-52913764,3.645,2023-06-15 17:50:33,1.0,,0.0,0.83,26.0
36.0,4,121.0,36.0,4.031,11,110,438146536,-52914433,4.031,2023-06-15 17:50:34,1.0,,0.0,0.96,26.0
36.0,4,126.63,36.0,4.334,10,110,438146457,-52915182,4.334,2023-06-15 17:50:35,1.0,,0.0,1.14,26.0
36.200000000000045,5,133.39,36.200000000000045,4.912,10,109,438146718,-52916003,4.912,2023-06-15 17:50:36,1.0,,0.0,1.29,26.0
36.200000000000045,5,138.21,36.200000000000045,5.436,9,108,438147079,-52916460,5.436,2023-06-15 17:50:37,1.0,,0.0,1.39,26.0
36.39999999999998,5,141.94,36.39999999999998,5.448,11,108,438147444,-52916604,5.448,2023-06-15 17:50:38,1.0,,0.0,1.49,26.0
36.60000000000002,5,144.57,36.60000000000002,5.344,11,109,438147696,-52916753,5.344,2023-06-15 17:50:39,1.0,,0.0,1.59,26.0
36.60000000000002,5,147.12,36.60000000000002,4.879,10,109,438147964,-52916877,4.879,2023-06-15 17:50:40,1.0,,0.0,1.7,26.0
36.799999999999955,5,150.85,36.799999999999955,4.415,10,110,438148342,-52916945,4.415,2023-06-15 17:50:41,1.0,,0.0,1.8,26.0
37.0,5,154.54,37.0,4.183,10,111,438148741,-52916958,4.183,2023-06-15 17:50:42,2.0,,0.0,1.91,26.0
37.0,6,158.62,37.0,4.036,10,112,438149156,-52916885,4.036,2023-06-15 17:50:43,2.0,,0.0,2.02,26.0
37.200000000000045,6,162.83,37.200000000000045,4.036,10,114,438149629,-52916802,4.036,2023-06-15 17:50:44,2.0,,0.0,2.15,26.0
37.39999999999998,6,167.12,37.39999999999998,4.102,11,115,438150036,-52916581,4.102,2023-06-15 17:50:45,2.0,,0.0,2.31,26.0
37.39999999999998,6,173.29,37.39999999999998,4.16,11,117,438150434,-52915929,4.16,2023-06-15 17:50:46,2.0,,0.0,2.5,26.0
37.60000000000002,6,178.69,37.60000000000002,4.332,10,118,438150779,-52915360,4.332,2023-06-15 17:50:47,2.0,,0.0,2.68,26.0
37.799999999999955,6,183.29,37.799999999999955,4.491,10,120,438151155,-52914984,4.491,2023-06-15 17:50:48,2.0,,0.0,2.86,26.0
38.0,7,187.5,38.0,4.449,10,121,438151568,-52914803,4.449,2023-06-15 17:50:49,3.0,,0.0,3.02,26.0
38.200000000000045,7,191.37,38.200000000000045,4.306,10,122,438151971,-52914639,4.306,2023-06-15 17:50:50,3.0,,0.0,3.15,26.0
38.39999999999998,7,195.53,38.39999999999998,4.267,10,122,438152377,-52914766,4.267,2023-06-15 17:50:51,3.0,,0.0,3.21,26.0
38.39999999999998,7,199.81,38.39999999999998,4.274,10,122,438152795,-52915026,4.274,2023-06-15 17:50:52,3.0,,0.0,3.25,26.0
38.60000000000002,7,203.32,38.60000000000002,4.281,11,123,438153139,-52915226,4.281,2023-06-15 17:50:53,3.0,,0.0,3.26,26.0
38.60000000000002,8,206.85,38.60000000000002,4.117,12,123,438153452,-52915491,4.117,2023-06-15 17:50:54,3.0,,0.0,3.21,26.0
38.799999999999955,8,210.23,38.799999999999955,3.909,11,123,438153739,-52915761,3.909,2023-06-15 17:50:55,4.0,,0.0,3.11,26.0
38.799999999999955,8,213.74,38.799999999999955,3.749,11,123,438153877,-52916176,3.749,2023-06-15 17:50:56,4.0,,0.0,2.97,26.0
39.0,8,219.02,39.0,3.63,11,123,438153966,-52916870,3.63,2023-06-15 17:50:57,4.0,,0.0,2.81,26.0
39.0,8,225.51,39.0,4.842,11,123,438154124,-52917711,4.842,2023-06-15 17:50:58,4.0,,0.0,2.63,26.0
39.200000000000045,8,234.03,39.200000000000045,5.46,10,124,438154310,-52918827,5.46,2023-06-15 17:50:59,4.0,,0.0,2.47,26.0
39.200000000000045,9,241.03,39.200000000000045,5.91,10,123,438154320,-52919757,5.91,2023-06-15 17:51:00,4.0,,0.0,2.29,26.0
39.200000000000045,9,245.78,39.200000000000045,6.179,10,124,438154308,-52920388,6.179,2023-06-15 17:51:01,4.0,,0.0,2.11,26.0
39.39999999999998,9,249.66,39.39999999999998,5.331,11,124,438154377,-52920895,5.331,2023-06-15 17:51:02,4.0,,0.0,1.88,26.0
39.39999999999998,9,253.53,39.39999999999998,4.472,11,124,438154469,-52921400,4.472,2023-06-15 17:51:03,4.0,,0.0,1.64,26.0
39.39999999999998,9,256.84,39.39999999999998,4.108,12,125,438154524,-52921840,4.108,2023-06-15 17:51:04,4.0,,0.0,1.41,26.0
39.60000000000002,10,260.18,39.60000000000002,3.774,13,125,438154570,-52922284,3.774,2023-06-15 17:51:05,4.0,,0.0,1.23,26.0
39.60000000000002,10,263.21,39.60000000000002,3.592,13,125,438154648,-52922667,3.592,2023-06-15 17:51:06,4.0,,0.0,1.13,26.0
39.60000000000002,10,266.02,39.60000000000002,3.381,13,126,438154741,-52923020,3.381,2023-06-15 17:51:07,5.0,,0.0,1.1,26.0
39.799999999999955,10,268.97,39.799999999999955,3.325,13,126,438154831,-52923397,3.325,2023-06-15 17:51:08,5.0,,0.0,1.14,26.0
39.799999999999955,10,272.54,39.799999999999955,3.325,12,126,438155022,-52923822,3.325,2023-06-15 17:51:09,5.0,,0.0,1.25,26.0
39.799999999999955,11,275.99,39.799999999999955,3.325,12,126,438155220,-52924196,3.325,2023-06-15 17:51:10,5.0,,0.0,1.41,26.0
40.0,11,278.63,40.0,3.251,12,126,438155368,-52924505,3.251,2023-06-15 17:51:11,5.0,,0.0,1.58,26.0
40.0,11,281.01,40.0,3.066,12,125,438155468,-52924796,3.066,2023-06-15 17:51:12,5.0,,0.0,1.71,26.0
40.200000000000045,11,283.44,40.200000000000045,2.912,11,123,438155593,-52925078,2.912,2023-06-15 17:51:13,5.0,,0.0,1.8,26.0
40.200000000000045,11,285.66,40.200000000000045,2.742,12,122,438155693,-52925350,2.742,2023-06-15 17:51:14,5.0,,0.0,1.88,26.0
40.200000000000045,11,288.61,40.200000000000045,2.587,12,120,438155752,-52925734,2.587,2023-06-15 17:51:15,5.0,,0.0,1.95,26.0
40.39999999999998,12,291.84,40.39999999999998,2.667,12,119,438155865,-52926143,2.667,2023-06-15 17:51:16,5.0,,0.0,2.0,26.0
40.39999999999998,12,295.01,40.39999999999998,2.794,12,118,438156001,-52926522,2.794,2023-06-15 17:51:17,5.0,,0.0,2.07,26.0
40.60000000000002,12,298.01,40.60000000000002,2.847,12,118,438156139,-52926888,2.847,2023-06-15 17:51:18,5.0,,0.0,2.17,26.0
