battery_soc,calories,distance,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,temperature,altitude,enhanced_altitude,ascent,descent,grade
82.0,0,5.6,29.778,54,104,438154569,-52865560,29.778,2023-06-21 17:26:25,,,,,,
,0,11.19,28.944,52,105,438154329,-52866256,28.944,2023-06-21 17:26:26,24.0,,,,,
,0,24.39,28.57,48,106,438153788,-52867866,28.57,2023-06-21 17:26:27,24.0,,,,,
,0,35.95,27.57,45,107,438153310,-52869296,27.57,2023-06-21 17:26:28,24.0,,,,,
,0,47.49,26.545,41,107,438152835,-52870723,26.545,2023-06-21 17:26:29,24.0,,,,,
,0,58.35,24.94,38,106,438152429,-52872075,24.94,2023-06-21 17:26:30,24.0,,,,,
,0,67.55,24.595,36,103,438151971,-52873186,24.595,2023-06-21 17:26:31,24.0,,,,,
,0,78.7,23.039,34,102,438151517,-52874551,23.039,2023-06-21 17:26:32,24.0,,,,,
,1,89.09,22.668,33,100,438151062,-52875829,22.668,2023-06-21 17:26:33,24.0,,,,,
,1,99.43,21.339,31,99,438150656,-52877110,21.339,2023-06-21 17:26:34,24.0,,,,,
,1,108.9,20.843,30,98,438150286,-52878281,20.843,2023-06-21 17:26:35,24.0,,,,,
,1,116.35,19.644,28,98,438149888,-52879163,19.644,2023-06-21 17:26:36,24.0,,,,,
,1,124.15,19.047,26,98,438149748,-52880186,19.047,2023-06-21 17:26:37,24.0,,,,,
,1,131.34,18.048,24,98,438149475,-52881080,18.048,2023-06-21 17:26:38,24.0,,,,,
,1,137.27,17.549,23,99,438149146,-52882046,17.549,2023-06-21 17:26:39,24.0,,,,,
,1,141.25,16.992,21,100,438144552,-52892053,16.992,2023-06-21 17:26:40,24.0,,,,,
,2,145.14,16.436,20,100,438140104,-52901729,16.436,2023-06-21 17:26:41,24.0,,,,,
,2,146.24,15.871,19,100,438139971,-52901726,15.871,2023-06-21 17:26:42,24.0,,,,,
,2,147.13,15.042,18,101,438139932,-52901623,15.042,2023-06-21 17:26:43,24.0,,,,,
,2,149.27,14.405,16,101,438140063,-52901391,14.405,2023-06-21 17:26:44,24.0,,,,,
,2,149.72,13.448,16,101,438140066,-52901333,13.448,2023-06-21 17:26:45,24.0,,,,,
,2,150.48,12.706,15,102,438140159,-52901392,12.706,2023-06-21 17:26:46,24.0,,,,,
,2,152.16,11.677,15,102,438140299,-52901366,11.677,2023-06-21 17:26:47,24.0,,,,,
,2,154.57,10.882,14,104,438140564,-52901229,10.882,2023-06-21 17:26:48,24.0,,,,,
,3,155.64,9.796,14,105,438140564,-52901086,9.796,2023-06-21 17:26:49,24.0,,,,,
,3,156.7,8.973,14,107,438140569,-52900948,8.973,2023-06-21 17:26:50,24.0,,,,,
,3,158.58,7.871,17,108,438140709,-52900750,7.871,2023-06-21 17:26:51,24.0,,,,,
,3,160.97,7.026,20,109,438140941,-52900596,7.026,2023-06-21 17:26:52,24.0,,,,,
,3,163.86,6.011,21,109,438141251,-52900574,6.011,2023-06-21 17:26:53,24.0,,,,,
,3,168.58,5.215,20,111,438141718,-52900596,5.215,2023-06-21 17:26:54,24.0,,,,,
,3,171.99,4.775,19,111,438142114,-52900573,4.775,2023-06-21 17:26:55,24.0,,,,,
,4,173.93,4.425,18,112,438142300,-52900522,4.425,2023-06-21 17:26:56,24.0,,,,,
,4,176.23,3.887,18,112,438142527,-52900701,3.887,2023-06-21 17:26:57,24.0,,,,,
,4,179.29,3.486,17,113,438142755,-52900983,3.486,2023-06-21 17:26:58,24.0,,,,,
,4,182.19,3.339,16,114,438142933,-52901302,3.339,2023-06-21 17:26:59,24.0,,,,,
,4,185.03,3.216,16,115,438143024,-52901661,3.216,2023-06-21 17:27:00,24.0,,,,,
,4,188.11,3.182,15,116,438143116,-52902061,3.182,2023-06-21 17:27:01,24.0,,,,,
,5,191.43,3.215,15,116,438143208,-52902477,3.215,2023-06-21 17:27:02,24.0,,,,,
,5,194.94,3.356,21,116,438143345,-52902914,3.356,2023-06-21 17:27:03,24.0,16.200000000000045,16.200000000000045,,,
,5,198.97,3.469,21,116,438143526,-52903418,3.469,2023-06-21 17:27:04,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,5,203.93,3.651,21,116,438143663,-52904052,3.651,2023-06-21 17:27:05,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,5,208.43,4.0,24,117,438143799,-52904624,4.0,2023-06-21 17:27:06,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,5,211.66,3.988,23,117,438143936,-52905019,3.988,2023-06-21 17:27:07,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,6,213.92,3.623,23,118,438144077,-52905263,3.623,2023-06-21 17:27:08,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,6,216.97,3.467,22,120,438144305,-52905585,3.467,2023-06-21 17:27:09,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,6,221.49,3.282,21,122,438144579,-52906058,3.282,2023-06-21 17:27:10,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,6,226.29,3.906,20,123,438144895,-52906602,3.906,2023-06-21 17:27:11,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,6,231.67,4.218,20,124,438145118,-52907256,4.218,2023-06-21 17:27:12,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,6,236.24,4.344,19,124,438145210,-52907849,4.344,2023-06-21 17:27:13,24.0,16.200000000000045,16.200000000000045,0.0,0.0,0.0
,7,240.16,4.414,23,123,438145343,-52908359,4.414,2023-06-21 17:27:14,24.0,16.399999999999977,16.399999999999977,0.0,0.0,0.0
,7,243.06,4.089,23,121,438145343,-52908743,4.089,2023-06-21 17:27:15,24.0,16.399999999999977,16.399999999999977,0.0,0.0,0.0
,7,246.96,3.787,23,117,438145435,-52909252,3.787,2023-06-21 17:27:16,24.0,16.399999999999977,16.399999999999977,0.0,0.0,0.0
,7,248.78,3.771,23,115,438145480,-52909488,3.771,2023-06-21 17:27:17,24.0,16.399999999999977,16.399999999999977,0.0,0.0,0.15
,7,250.66,3.752,22,114,438145528,-52909730,3.752,2023-06-21 17:27:18,24.0,16.399999999999977,16.399999999999977,0.0,0.0,0.36
,7,257.47,3.384,20,111,438145895,-52910517,3.384,2023-06-21 17:27:19,24.0,16.600000000000023,16.600000000000023,0.0,0.0,0.56
,8,261.03,3.57,19,109,438146027,-52910964,3.57,2023-06-21 17:27:20,24.0,16.600000000000023,16.600000000000023,0.0,0.0,0.74
,8,264.42,3.396,19,109,438146118,-52911402,3.396,2023-06-21 17:27:21,24.0,16.600000000000023,16.600000000000023,0.0,0.0,0.93
,8,266.84,3.368,18,109,438146202,-52911709,3.368,2023-06-21 17:27:22,24.0,16.600000000000023,16.600000000000023,0.0,0.0,1.11
,8,270.47,3.439,17,108,438146204,-52912189,3.439,2023-06-21 17:27:23,24.0,16.799999999999955,16.799999999999955,0.0,0.0,1.24
,8,271.63,3.431,16,107,438146118,-52912288,3.431,2023-06-21 17:27:24,24.0,16.799999999999955,16.799999999999955,0.0,0.0,1.3
,8,272.26,2.782,16,107,438146185,-52912330,2.782,2023-06-21 17:27:25,24.0,16.799999999999955,16.799999999999955,0.0,0.0,1.29
,9,273.29,2.269,15,106,438146298,-52912385,2.269,2023-06-21 17:27:26,24.0,16.799999999999955,16.799999999999955,0.0,0.0,1.22
,9,273.58,1.771,15,106,438146298,-52912425,1.771,2023-06-21 17:27:27,24.0,16.799999999999955,16.799999999999955,0.0,0.0,1.12
,9,273.77,1.364,16,103,438146302,-52912443,1.364,2023-06-21 17:27:28,24.0,16.799999999999955,16.799999999999955,1.0,0.0,1.03
,9,274.82,1.072,18,103,438146389,-52912367,1.072,2023-06-21 17:27:29,24.0,17.0,17.0,1.0,0.0,1.01
,9,276.39,3.5,18,105,438146529,-52912378,3.5,2023-06-21 17:27:30,24.0,17.0,17.0,1.0,0.0,1.07
,9,278.97,3.439,18,106,438146632,-52912708,3.439,2023-06-21 17:27:31,24.0,17.0,17.0,1.0,0.0,1.24
,9,285.03,1.826,17,107,438147028,-52913317,1.826,2023-06-21 17:27:32,24.0,17.0,17.0,1.0,0.0,1.47
,9,288.78,2.322,17,108,438147074,-52913816,2.322,2023-06-21 17:27:33,24.0,17.0,17.0,1.0,0.0,1.67
,10,291.51,2.687,18,108,438147119,-52914177,2.687,2023-06-21 17:27:34,24.0,17.200000000000045,17.200000000000045,1.0,0.0,1.73
,10,295.04,2.912,17,107,438147165,-52914642,2.912,2023-06-21 17:27:35,24.0,17.200000000000045,17.200000000000045,1.0,0.0,1.71
,10,297.45,3.064,16,106,438147210,-52914959,3.064,2023-06-21 17:27:36,24.0,17.200000000000045,17.200000000000045,1.0,0.0,1.64
,10,299.2,2.631,16,105,438147254,-52915189,2.631,2023-06-21 17:27:37,24.0,17.200000000000045,17.200000000000045,1.0,0.0,1.56
,10,299.27,1.737,15,97,438147709,-52915237,1.737,2023-06-21 17:28:02,24.0,17.399999999999977,17.399999999999977,1.0,0.0,0.0
,10,301.6,2.227,15,96,438147709,-52915548,2.227,2023-06-21 17:28:03,24.0,17.399999999999977,17.399999999999977,1.0,0.0,0.0
,10,302.92,1.729,15,92,438147709,-52915727,1.729,2023-06-21 17:28:04,24.0,17.399999999999977,17.399999999999977,1.0,0.0,0.0
,11,304.45,1.878,15,91,438147754,-52915926,1.878,2023-06-21 17:28:05,24.0,17.399999999999977,17.399999999999977,1.0,0.0,0.0
,11,305.76,1.881,15,88,438147846,-52916065,1.881,2023-06-21 17:28:06,24.0,17.600000000000023,17.600000000000023,1.0,0.0,0.0
,11,306.92,1.881,16,87,438147935,-52916166,1.881,2023-06-21 17:28:07,24.0,17.600000000000023,17.600000000000023,1.0,0.0,0.0
,11,308.3,2.758,16,86,438148079,-52916166,2.758,2023-06-21 17:28:08,25.0,17.799999999999955,17.799999999999955,1.0,0.0,0.55
,11,311.03,2.758,16,86,438148347,-52916128,2.758,2023-06-21 17:28:09,25.0,17.799999999999955,17.799999999999955,1.0,0.0,1.7
,11,313.57,2.775,16,86,438148447,-52916445,2.775,2023-06-21 17:28:10,25.0,18.0,18.0,1.0,0.0,2.39
,11,316.6,3.276,17,87,438148755,-52916582,3.276,2023-06-21 17:28:11,25.0,18.200000000000045,18.200000000000045,2.0,0.0,3.2
