time,longitude,latitude,distance,elevation,hr_value,cadence,Speed
2018-01-06 20:33:47,-97.732659,30.313393,0.0,107.2,75,,0.0
2018-01-06 20:33:48,-97.732643,30.313389,0.0,107.2,75,,0.0
2018-01-06 20:33:52,-97.732644,30.313344,0.0,107.0,77,,0.0
2018-01-06 20:33:53,-97.732656,30.31332,2.7,107.0,78,,0.5
2018-01-06 20:33:54,-97.73265,30.313278,7.3,107.0,80,,1.2
2018-01-06 20:33:55,-97.732659,30.313245,10.8,106.8,83,,1.5
2018-01-06 20:33:56,-97.732657,30.313211,14.5,106.8,84,,1.8
2018-01-06 20:33:57,-97.732666,30.313188,17.0,106.6,85,,3.4
2018-01-06 20:33:58,-97.732681,30.313165,19.9,106.6,85,,3.4
2018-01-06 20:33:59,-97.732688,30.313125,24.3,106.4,85,,3.4
2018-01-06 20:34:00,-97.732704,30.313093,28.0,106.6,85,,3.4
2018-01-06 20:34:01,-97.732708,30.313057,32.0,106.4,85,,3.5
2018-01-06 20:34:02,-97.732691,30.313013,37.1,106.4,85,,4.0
2018-01-06 20:34:03,-97.732678,30.312978,41.1,106.4,84,,4.2
2018-01-06 20:34:04,-97.732641,30.312947,45.9,106.2,83,,4.3
2018-01-06 20:34:06,-97.732614,30.31291,50.7,106.2,83,,3.7
2018-01-06 20:34:07,-97.732598,30.312866,55.8,106.2,83,,3.7
2018-01-06 20:34:08,-97.732588,30.312818,61.2,106.0,84,,4.0
2018-01-06 20:34:09,-97.732581,30.312771,66.4,106.0,86,,4.1
2018-01-06 20:34:10,-97.732577,30.312722,71.8,106.0,87,,4.3
2018-01-06 20:34:11,-97.732572,30.312675,77.0,105.8,89,,5.3
2018-01-06 20:34:12,-97.732567,30.312624,82.6,105.6,90,,5.4
2018-01-06 20:34:13,-97.732568,30.31257,88.6,105.6,90,,5.5
2018-01-06 20:34:14,-97.73257,30.312521,94.1,105.6,91,,5.5
2018-01-06 20:34:15,-97.732573,30.312472,99.4,105.6,91,,5.5
2018-01-06 20:34:16,-97.732573,30.312419,105.3,105.6,92,,5.7
2018-01-06 20:34:17,-97.732574,30.312371,110.6,105.4,94,,5.6
2018-01-06 20:34:18,-97.732579,30.312312,117.2,105.2,95,,5.7
2018-01-06 20:34:19,-97.732595,30.312267,122.4,105.2,95,,5.7
2018-01-06 20:34:20,-97.732608,30.312219,127.8,105.0,95,,5.7
2018-01-06 20:34:21,-97.73262,30.312169,133.4,104.8,94,,5.6
2018-01-06 20:34:22,-97.732628,30.312118,139.1,104.6,95,,5.7
2018-01-06 20:34:23,-97.732641,30.312068,144.7,104.6,95,,5.5
2018-01-06 20:34:24,-97.732655,30.312013,151.0,104.6,96,,5.7
2018-01-06 20:34:25,-97.732668,30.311962,156.8,104.4,96,,5.8
2018-01-06 20:34:26,-97.732681,30.311908,162.8,104.4,95,,5.9
2018-01-06 20:34:27,-97.732687,30.311858,168.5,104.4,95,,5.9
2018-01-06 20:34:28,-97.732704,30.311799,175.1,104.2,94,,6.1
2018-01-06 20:34:29,-97.732715,30.311749,180.8,104.2,95,,6.0
2018-01-06 20:34:30,-97.732731,30.311691,187.4,104.4,96,,6.1
2018-01-06 20:34:31,-97.732745,30.311635,193.8,104.4,96,,6.2
2018-01-06 20:34:32,-97.732761,30.311584,199.6,104.2,95,,6.2
2018-01-06 20:34:33,-97.732774,30.311524,206.4,104.0,95,,6.3
2018-01-06 20:34:34,-97.732792,30.311469,212.8,104.0,95,,6.4
2018-01-06 20:34:35,-97.732808,30.311413,219.1,104.0,96,,6.3
2018-01-06 20:34:36,-97.732826,30.311366,224.5,103.8,96,,6.1
2018-01-06 20:34:37,-97.732844,30.311317,230.3,103.8,96,,6.1
2018-01-06 20:34:38,-97.732865,30.311267,236.2,103.6,94,,6.0
2018-01-06 20:34:39,-97.732882,30.311225,241.1,103.6,93,,5.7
2018-01-06 20:34:40,-97.732896,30.31119,245.3,103.4,94,,5.2
2018-01-06 20:34:41,-97.732907,30.31116,248.8,103.2,95,,4.9
2018-01-06 20:34:42,-97.732919,30.311132,252.1,103.2,95,,4.4
2018-01-06 20:34:43,-97.732931,30.311105,255.3,103.2,95,,3.8
2018-01-06 20:34:44,-97.73294,30.311085,257.7,103.2,93,,3.3
2018-01-06 20:34:45,-97.732948,30.311067,259.7,103.4,91,,2.9
2018-01-06 20:34:46,-97.732955,30.311053,261.4,103.4,91,,2.5
2018-01-06 20:34:47,-97.732959,30.311046,262.3,103.4,92,,2.0
2018-01-06 20:34:48,-97.732957,30.311051,262.3,103.4,93,,1.4
2018-01-06 20:35:36,-97.73297,30.311029,262.3,104.0,77,,0.0
2018-01-06 20:35:37,-97.732982,30.311009,264.8,104.0,79,,0.1
2018-01-06 20:35:38,-97.733,30.310979,268.5,104.0,81,,0.1
