time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2017-04-23 21:00:10,-97.732567,30.312697,3.6,196.0,75,15,0.0,129
2017-04-23 21:00:11,-97.732565,30.31266,7.4,196.0,75,62,0.0,136
2017-04-23 21:00:12,-97.732576,30.312612,11.3,196.0,75,60,3.9,136
2017-04-23 21:00:13,-97.732582,30.312563,16.1,196.0,75,55,4.2,153
2017-04-23 21:00:14,-97.732587,30.312513,21.3,195.8,75,53,4.4,177
2017-04-23 21:00:15,-97.73259,30.312458,26.5,195.8,75,57,4.6,177
2017-04-23 21:00:16,-97.732597,30.312399,32.4,195.8,77,62,5.0,183
2017-04-23 21:00:17,-97.732604,30.312343,38.6,195.8,79,66,5.5,124
2017-04-23 21:00:18,-97.732611,30.312276,45.1,195.8,83,70,5.8,137
2017-04-23 21:00:19,-97.732617,30.312212,51.6,195.6,84,73,6.1,137
2017-04-23 21:00:20,-97.732625,30.312153,58.4,195.4,84,76,6.4,115
2017-04-23 21:00:21,-97.732634,30.312084,65.3,195.4,84,78,6.6,116
2017-04-23 21:00:22,-97.732643,30.312022,72.3,195.4,86,80,6.7,100
2017-04-23 21:00:23,-97.732656,30.311956,79.5,195.6,86,80,6.9,77
2017-04-23 21:00:24,-97.732671,30.311888,86.6,195.6,86,81,7.0,77
2017-04-23 21:00:25,-97.732682,30.311825,94.0,195.8,86,81,7.1,116
2017-04-23 21:00:26,-97.732698,30.311753,101.4,196.0,86,77,7.2,116
2017-04-23 21:00:27,-97.732716,30.311683,108.9,196.0,87,134,7.3,0
2017-04-23 21:00:28,-97.732734,30.311609,116.4,196.2,89,143,7.4,0
2017-04-23 21:00:29,-97.732742,30.311556,123.9,196.2,89,0,7.5,0
2017-04-23 21:00:30,-97.732765,30.311466,131.4,196.2,89,0,7.5,0
2017-04-23 21:00:31,-97.732786,30.311401,137.7,196.2,90,0,7.3,0
2017-04-23 21:00:32,-97.732805,30.31135,143.5,196.0,89,0,6.9,0
2017-04-23 21:00:33,-97.732825,30.311298,148.8,195.8,89,0,6.5,0
2017-04-23 21:00:34,-97.732843,30.311255,153.6,195.6,89,0,5.9,0
2017-04-23 21:00:35,-97.732858,30.311222,158.0,195.4,89,0,5.3,0
2017-04-23 21:00:36,-97.732875,30.311182,162.1,195.0,89,0,4.9,0
2017-04-23 21:00:37,-97.732891,30.31115,165.8,194.8,89,0,4.5,0
2017-04-23 21:00:38,-97.732906,30.311121,169.2,194.6,89,0,4.1,0
2017-04-23 21:00:39,-97.732919,30.311097,171.9,194.2,89,0,3.7,0
2017-04-23 21:00:40,-97.732929,30.311079,174.5,194.4,89,0,3.3,0
2017-04-23 21:00:41,-97.732938,30.311064,176.3,194.0,89,0,2.8,2
2017-04-23 21:00:42,-97.732942,30.311054,178.1,194.0,89,0,2.5,1
2017-04-23 21:00:43,-97.732942,30.311053,178.1,194.0,88,0,1.8,0
2017-04-23 21:01:48,-97.732973,30.310945,178.1,193.8,74,0,0.0,247
2017-04-23 21:01:49,-97.732986,30.310919,181.5,193.8,74,0,0.1,196
2017-04-23 21:01:50,-97.733007,30.310884,185.5,193.8,74,19,0.1,196
2017-04-23 21:01:51,-97.733032,30.310845,189.9,194.0,74,43,0.2,149
2017-04-23 21:01:52,-97.733052,30.310806,194.6,194.0,74,51,0.2,123
2017-04-23 21:01:53,-97.733066,30.310772,199.5,194.0,75,54,0.2,148
2017-04-23 21:01:54,-97.733093,30.310721,204.7,194.2,77,56,0.2,151
2017-04-23 21:01:55,-97.733118,30.310684,210.0,194.6,79,59,4.9,133
2017-04-23 21:01:56,-97.733149,30.310635,215.5,194.8,80,63,5.1,136
2017-04-23 21:01:57,-97.733178,30.310589,221.3,195.0,82,64,5.3,122
2017-04-23 21:01:58,-97.733209,30.310542,227.3,195.0,83,67,5.6,121
2017-04-23 21:01:59,-97.733236,30.310498,233.5,195.0,85,70,5.8,115
2017-04-23 21:02:00,-97.733269,30.310447,239.8,194.8,85,74,6.0,92
2017-04-23 21:02:01,-97.733305,30.310391,246.2,194.8,86,78,6.1,135
2017-04-23 21:02:02,-97.733337,30.310344,252.8,194.6,87,76,6.3,118
2017-04-23 21:02:03,-97.733375,30.310288,259.5,194.2,88,77,6.4,138
2017-04-23 21:02:04,-97.733409,30.310232,266.5,194.0,89,78,6.6,117
2017-04-23 21:02:05,-97.733439,30.310185,273.5,193.6,89,97,6.7,49
2017-04-23 21:02:06,-97.733481,30.310121,280.6,193.4,90,129,6.9,138
2017-04-23 21:02:07,-97.73352,30.310062,288.0,193.4,91,98,7.0,162
2017-04-23 21:02:08,-97.733557,30.310003,295.4,193.2,91,76,7.2,162
2017-04-23 21:02:09,-97.733595,30.309942,303.1,192.8,92,63,7.3,211
2017-04-23 21:02:10,-97.733611,30.30992,310.9,192.8,93,65,7.5,142
2017-04-23 21:02:11,-97.733669,30.309833,318.9,192.8,93,68,7.7,144
2017-04-23 21:02:12,-97.733722,30.309755,327.1,192.8,94,72,7.8,129
2017-04-23 21:02:13,-97.733764,30.309688,335.3,192.8,95,75,8.0,143
2017-04-23 21:02:14,-97.733807,30.309623,343.6,192.8,95,81,8.1,110
2017-04-23 21:02:15,-97.733846,30.309565,352.0,192.8,95,83,8.2,103
2017-04-23 21:02:16,-97.733893,30.30949,360.6,192.8,95,77,8.3,121
2017-04-23 21:02:17,-97.733931,30.30943,369.1,192.8,94,77,8.4,86
2017-04-23 21:02:18,-97.73398,30.309356,377.6,192.8,95,82,8.5,105
2017-04-23 21:02:19,-97.734026,30.309287,386.3,192.8,95,80,8.5,123
2017-04-23 21:02:20,-97.734065,30.309226,394.9,192.6,95,79,8.6,132
2017-04-23 21:02:21,-97.734115,30.309151,403.7,192.6,96,80,8.6,167
