time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-04-04 21:59:47,-97.753325,30.322707,0.0,159.0,76,0,0.0,0
2016-04-04 21:59:48,-97.753325,30.322707,0.0,159.2,76,0,0.0,0
2016-04-04 21:59:49,-97.753327,30.322708,0.0,160.2,77,0,0.0,0
2016-04-04 21:59:50,-97.753333,30.322716,0.0,161.2,78,0,0.0,0
2016-04-04 21:59:51,-97.753341,30.322728,0.0,165.4,79,0,0.0,0
2016-04-04 21:59:52,-97.753353,30.322743,1.8,165.4,80,0,0.4,66
2016-04-04 21:59:53,-97.753364,30.322764,4.0,165.4,80,11,0.8,28
2016-04-04 21:59:54,-97.753365,30.322785,7.0,165.4,79,48,1.4,91
2016-04-04 21:59:55,-97.753356,30.322813,9.7,165.4,78,58,1.9,95
2016-04-04 21:59:56,-97.75334,30.322831,12.6,165.4,78,67,2.5,104
2016-04-04 21:59:57,-97.753323,30.322856,15.8,165.4,78,57,2.8,153
2016-04-04 21:59:58,-97.753305,30.322883,19.3,165.4,78,48,3.1,119
2016-04-04 21:59:59,-97.75329,30.322906,22.9,165.4,79,52,3.2,155
2016-04-04 22:00:00,-97.753271,30.322936,26.5,165.4,79,55,3.4,155
2016-04-04 22:00:01,-97.753251,30.322968,30.4,165.4,81,56,3.6,116
2016-04-04 22:00:02,-97.753231,30.323,34.5,165.4,81,59,3.7,69
2016-04-04 22:00:03,-97.75321,30.323031,38.5,165.4,83,64,3.8,52
2016-04-04 22:00:04,-97.75319,30.32306,42.5,165.4,83,76,3.9,90
2016-04-04 22:00:05,-97.753165,30.323094,46.5,165.4,83,107,4.0,91
2016-04-04 22:00:06,-97.753142,30.323122,50.6,165.4,84,87,4.0,55
2016-04-04 22:00:07,-97.753117,30.323154,54.8,165.4,85,102,4.1,55
2016-04-04 22:00:08,-97.753098,30.323186,58.8,165.4,85,110,4.1,3
2016-04-04 22:00:09,-97.75308,30.323213,62.6,165.4,84,0,4.0,3
2016-04-04 22:00:10,-97.753059,30.323245,66.3,165.4,84,0,4.0,0
2016-04-04 22:00:11,-97.753041,30.323274,69.9,165.4,84,0,3.9,0
2016-04-04 22:00:12,-97.753025,30.323298,73.4,165.4,84,0,3.7,0
2016-04-04 22:00:13,-97.753007,30.323326,76.8,165.4,84,0,3.6,0
2016-04-04 22:00:14,-97.752992,30.323349,80.2,165.4,85,0,3.5,0
2016-04-04 22:00:15,-97.752972,30.323371,83.3,165.4,86,0,3.4,0
2016-04-04 22:00:16,-97.752953,30.323387,86.1,165.4,87,0,3.2,0
2016-04-04 22:00:17,-97.752938,30.323402,88.8,165.4,88,0,3.1,0
2016-04-04 22:00:18,-97.752923,30.323418,91.1,165.4,88,0,2.9,0
2016-04-04 22:00:19,-97.752904,30.323435,93.5,165.4,88,0,2.7,0
2016-04-04 22:00:20,-97.752881,30.32345,95.9,165.4,88,0,2.5,0
2016-04-04 22:00:21,-97.752852,30.323459,98.4,165.4,87,0,2.5,0
2016-04-04 22:00:22,-97.75282,30.323461,101.2,165.4,86,0,2.5,81
2016-04-04 22:00:23,-97.752786,30.323455,104.3,165.4,86,62,2.6,153
2016-04-04 22:00:24,-97.752757,30.323446,107.6,165.4,85,50,2.8,124
2016-04-04 22:00:25,-97.752716,30.323428,111.2,165.4,85,49,3.1,98
2016-04-04 22:00:26,-97.752679,30.323409,115.0,165.4,85,75,3.3,106
2016-04-04 22:00:27,-97.75264,30.32339,119.2,165.4,86,76,3.6,104
2016-04-04 22:00:28,-97.752597,30.323369,123.6,165.4,86,58,3.9,104
2016-04-04 22:00:29,-97.752559,30.32335,128.1,165.4,87,61,4.1,111
2016-04-04 22:00:30,-97.752516,30.323327,132.9,165.4,88,65,4.3,110
2016-04-04 22:00:31,-97.752497,30.323319,137.8,165.4,89,67,4.6,86
2016-04-04 22:00:32,-97.752416,30.32328,142.9,165.4,90,69,4.7,99
2016-04-04 22:00:33,-97.752366,30.323256,148.1,165.4,91,70,4.9,98
2016-04-04 22:00:34,-97.752321,30.323236,153.5,165.4,91,70,5.1,42
2016-04-04 22:00:35,-97.752265,30.323209,158.9,165.4,91,91,5.2,0
2016-04-04 22:00:36,-97.752214,30.323187,164.4,165.4,91,0,5.3,0
2016-04-04 22:00:37,-97.752155,30.323159,170.1,165.4,90,0,5.4,0
2016-04-04 22:00:38,-97.752105,30.323136,175.6,165.4,88,0,5.5,0
2016-04-04 22:00:39,-97.752067,30.323118,180.5,165.4,87,0,5.4,0
2016-04-04 22:00:40,-97.752031,30.323097,184.7,165.4,87,0,5.2,0
2016-04-04 22:00:41,-97.752006,30.323082,188.0,165.4,87,0,4.7,0
2016-04-04 22:00:42,-97.751986,30.32307,190.5,165.4,86,0,4.1,0
2016-04-04 22:00:43,-97.751976,30.323061,193.0,165.4,85,0,3.5,0
2016-04-04 22:00:44,-97.751968,30.323055,194.8,165.4,85,0,2.9,0
2016-04-04 22:00:45,-97.751958,30.32305,196.1,165.4,84,0,2.3,0
2016-04-04 22:00:46,-97.751956,30.323049,196.1,165.4,84,0,1.6,0
2016-04-04 22:00:47,-97.751955,30.323048,196.1,165.4,85,0,1.1,0
2016-04-04 22:00:48,-97.751957,30.323049,196.1,165.4,86,0,0.6,0
2016-04-04 22:00:49,-97.751958,30.323049,196.1,165.4,86,0,0.3,0
2016-04-04 22:00:50,-97.751958,30.323049,196.1,165.4,85,0,0.0,0
2016-04-04 22:00:51,-97.751959,30.323049,196.1,165.4,85,0,0.0,0
2016-04-04 22:00:52,-97.751958,30.323049,196.1,165.4,84,0,0.0,0
