time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-07-15 00:19:20,-97.736106,30.315431,5.0,203.8,129,0,0.0,102
2016-07-15 00:19:21,-97.736153,30.315405,10.1,203.8,130,38,0.0,128
2016-07-15 00:19:22,-97.736196,30.315379,15.2,204.0,131,69,0.0,84
2016-07-15 00:19:23,-97.736234,30.315349,20.3,204.0,130,150,5.1,1
2016-07-15 00:19:24,-97.736267,30.315322,25.3,204.2,130,75,5.1,0
2016-07-15 00:19:25,-97.736305,30.315286,30.1,204.0,130,0,5.0,0
2016-07-15 00:19:26,-97.736339,30.315261,34.9,204.0,129,0,5.0,0
2016-07-15 00:19:27,-97.736376,30.315233,39.5,204.0,129,0,4.9,0
2016-07-15 00:19:28,-97.736414,30.315208,44.0,204.0,129,0,4.7,0
2016-07-15 00:19:29,-97.736457,30.3152,48.4,204.0,129,0,4.6,0
2016-07-15 00:19:30,-97.736504,30.315213,52.9,204.0,129,0,4.6,0
2016-07-15 00:19:31,-97.73653,30.315248,57.2,204.0,129,0,4.5,144
2016-07-15 00:19:32,-97.736534,30.315288,61.7,204.0,128,88,4.4,173
2016-07-15 00:19:33,-97.736524,30.315337,66.5,204.0,127,65,4.5,209
2016-07-15 00:19:34,-97.736499,30.315375,71.4,204.2,127,65,4.6,136
2016-07-15 00:19:35,-97.736473,30.315417,76.3,204.0,126,68,4.7,116
2016-07-15 00:19:36,-97.736452,30.315456,81.2,204.2,126,67,4.8,51
2016-07-15 00:19:37,-97.736428,30.315492,85.9,204.0,126,141,4.8,0
2016-07-15 00:19:38,-97.73642,30.315502,90.5,204.0,126,0,4.8,25
2016-07-15 00:19:39,-97.736384,30.315558,95.1,204.0,125,87,4.7,62
2016-07-15 00:19:40,-97.736356,30.315599,99.7,204.0,126,67,4.7,62
2016-07-15 00:19:41,-97.736332,30.315636,104.4,203.8,125,74,4.6,8
2016-07-15 00:19:42,-97.736313,30.315668,109.0,204.0,125,74,4.6,8
2016-07-15 00:19:43,-97.736288,30.315703,113.4,204.0,124,37,4.6,0
2016-07-15 00:19:44,-97.736267,30.315729,117.5,204.0,123,0,4.5,0
2016-07-15 00:19:45,-97.736243,30.31576,121.4,204.0,122,0,4.3,0
2016-07-15 00:19:46,-97.736222,30.315788,125.2,204.2,122,0,4.2,0
2016-07-15 00:19:47,-97.736203,30.315815,128.9,204.2,122,0,4.0,11
2016-07-15 00:19:48,-97.736184,30.315848,132.6,204.4,121,81,3.8,126
2016-07-15 00:19:49,-97.736164,30.315877,136.5,204.4,121,74,3.8,93
2016-07-15 00:19:50,-97.736147,30.315903,140.6,204.6,121,51,3.8,61
2016-07-15 00:19:51,-97.736118,30.315943,144.6,204.6,120,51,3.9,61
2016-07-15 00:19:52,-97.736097,30.315972,148.8,204.6,119,63,4.0,36
2016-07-15 00:19:53,-97.736073,30.316006,152.9,204.6,119,75,4.1,11
2016-07-15 00:19:54,-97.736055,30.316036,156.9,204.6,119,37,4.1,0
2016-07-15 00:19:55,-97.736037,30.316068,160.8,204.6,118,0,4.0,0
2016-07-15 00:19:56,-97.736018,30.316095,164.5,204.8,118,0,4.0,36
2016-07-15 00:19:57,-97.735995,30.316125,168.3,204.8,119,0,3.9,36
2016-07-15 00:19:58,-97.735971,30.316158,172.2,204.8,119,37,3.9,95
2016-07-15 00:19:59,-97.735952,30.31619,176.0,204.8,118,75,3.8,95
2016-07-15 00:20:00,-97.735931,30.316227,180.3,204.8,118,78,3.9,95
2016-07-15 00:20:01,-97.735909,30.316262,184.6,204.8,117,72,4.0,28
2016-07-15 00:20:02,-97.735903,30.316269,188.9,204.8,117,123,4.1,0
2016-07-15 00:20:03,-97.73587,30.316314,192.7,204.8,117,0,4.1,0
2016-07-15 00:20:04,-97.735849,30.316345,196.4,204.6,116,0,4.1,0
2016-07-15 00:20:05,-97.735829,30.316376,200.0,204.6,116,0,3.9,35
2016-07-15 00:20:06,-97.735808,30.316404,203.6,204.6,116,103,3.8,0
2016-07-15 00:20:07,-97.735789,30.31643,207.3,204.6,117,0,3.7,0
2016-07-15 00:20:08,-97.735779,30.316445,210.6,204.6,117,0,3.6,0
2016-07-15 00:20:09,-97.735755,30.31648,213.9,204.6,118,0,3.5,178
2016-07-15 00:20:10,-97.735732,30.31651,217.5,204.8,118,58,3.5,143
2016-07-15 00:20:11,-97.735712,30.316543,221.5,205.0,118,46,3.6,117
2016-07-15 00:20:12,-97.735692,30.316575,225.6,205.0,118,55,3.7,107
2016-07-15 00:20:13,-97.735667,30.316612,230.0,205.2,118,79,3.9,149
2016-07-15 00:20:14,-97.735644,30.316642,234.5,205.2,118,73,4.1,40
2016-07-15 00:20:15,-97.735617,30.31668,239.0,205.2,118,125,4.3,0
2016-07-15 00:20:16,-97.7356,30.316718,243.5,205.0,119,0,4.4,33
2016-07-15 00:20:17,-97.735581,30.316752,247.9,205.0,120,110,4.5,75
2016-07-15 00:20:18,-97.735558,30.31679,252.4,204.8,120,74,4.5,94
2016-07-15 00:20:19,-97.735536,30.316824,257.0,204.6,120,65,4.5,100
2016-07-15 00:20:20,-97.735514,30.31686,261.6,204.6,120,67,4.5,36
2016-07-15 00:20:21,-97.735491,30.3169,266.2,204.6,119,68,4.5,0
2016-07-15 00:20:22,-97.735471,30.316931,270.5,204.4,119,0,4.5,201
2016-07-15 00:20:23,-97.735448,30.316971,275.1,204.4,118,55,4.5,64
2016-07-15 00:20:24,-97.735427,30.317004,279.6,204.4,118,94,4.5,3
2016-07-15 00:20:25,-97.735404,30.31704,284.0,204.4,117,0,4.5,0
2016-07-15 00:20:26,-97.735386,30.317072,288.2,204.4,117,0,4.4,0
2016-07-15 00:20:27,-97.735366,30.317106,292.4,204.6,116,0,4.4,104
2016-07-15 00:20:28,-97.735341,30.317141,296.7,204.6,116,78,4.3,46
2016-07-15 00:20:29,-97.735321,30.317172,301.0,204.8,117,91,4.3,0
2016-07-15 00:20:30,-97.735297,30.317207,305.1,204.8,117,0,4.2,0
2016-07-15 00:20:31,-97.735274,30.317236,309.3,205.0,117,0,4.2,0
2016-07-15 00:20:32,-97.735268,30.317246,313.4,205.0,117,0,4.2,0
2016-07-15 00:20:33,-97.735238,30.317296,317.4,205.0,116,0,4.1,0
2016-07-15 00:20:34,-97.735217,30.317331,321.5,204.8,115,0,4.1,0
2016-07-15 00:20:35,-97.735198,30.317363,325.4,204.8,113,0,4.1,42
2016-07-15 00:20:36,-97.735198,30.317363,329.4,204.6,113,91,4.0,0
2016-07-15 00:20:37,-97.735157,30.317428,333.4,204.4,113,22,4.0,0
2016-07-15 00:20:38,-97.735137,30.317456,337.3,204.4,113,0,4.0,0
2016-07-15 00:20:39,-97.735119,30.317488,341.3,204.4,113,0,4.0,0
2016-07-15 00:20:40,-97.735101,30.317519,345.1,204.4,112,0,3.9,0
2016-07-15 00:20:41,-97.735086,30.31755,348.9,204.4,112,0,3.9,0
2016-07-15 00:20:42,-97.735067,30.31758,352.7,204.4,113,0,3.9,76
2016-07-15 00:20:43,-97.735048,30.317615,356.8,204.4,114,36,3.9,106
2016-07-15 00:20:44,-97.735031,30.317646,361.1,204.4,115,60,4.0,80
2016-07-15 00:20:45,-97.735008,30.317686,365.5,204.4,115,90,4.1,0
2016-07-15 00:20:46,-97.734987,30.31772,369.7,204.4,115,25,4.2,0
2016-07-15 00:20:47,-97.734966,30.317754,373.7,204.4,113,0,4.2,0
2016-07-15 00:20:48,-97.734949,30.317776,377.3,204.6,112,0,4.1,0
2016-07-15 00:20:49,-97.734946,30.317804,380.8,204.8,111,0,3.9,187
2016-07-15 00:20:50,-97.734948,30.31784,384.7,204.8,112,51,3.8,135
2016-07-15 00:20:51,-97.734959,30.317879,389.0,205.0,113,56,3.9,76
2016-07-15 00:20:52,-97.734982,30.317915,393.5,205.0,113,57,4.0,98
2016-07-15 00:20:53,-97.735011,30.31795,398.0,204.8,114,65,4.1,99
2016-07-15 00:20:54,-97.735046,30.317975,402.7,204.6,114,97,4.4,131
2016-07-15 00:20:55,-97.735092,30.317997,407.4,204.4,116,104,4.5,125
2016-07-15 00:20:56,-97.735133,30.318015,412.1,204.4,117,76,4.6,117
2016-07-15 00:20:57,-97.735175,30.318037,416.7,204.2,120,64,4.6,105
2016-07-15 00:20:58,-97.735216,30.318061,421.3,204.4,120,79,4.7,88
2016-07-15 00:20:59,-97.735255,30.318079,425.8,204.4,121,91,4.6,95
2016-07-15 00:21:00,-97.735296,30.3181,430.2,204.6,120,87,4.6,112
2016-07-15 00:21:01,-97.735337,30.318117,434.6,204.6,119,74,4.5,117
2016-07-15 00:21:02,-97.735376,30.318131,438.9,204.6,119,63,4.4,115
2016-07-15 00:21:03,-97.73542,30.318152,443.4,204.8,119,60,4.4,145
2016-07-15 00:21:04,-97.735455,30.318175,447.9,204.8,119,60,4.4,109
2016-07-15 00:21:05,-97.735493,30.318202,452.4,204.8,119,61,4.4,90
2016-07-15 00:21:06,-97.735532,30.318226,457.0,204.8,120,68,4.5,96
2016-07-15 00:21:07,-97.735569,30.31825,461.6,205.0,120,69,4.5,94
2016-07-15 00:21:08,-97.735611,30.318269,466.3,205.0,121,65,4.6,133
2016-07-15 00:21:09,-97.735657,30.318288,471.1,205.2,122,64,4.6,171
2016-07-15 00:21:10,-97.735706,30.318309,476.0,205.2,122,65,4.7,108
2016-07-15 00:21:11,-97.735751,30.318333,481.0,205.2,122,66,4.8,82
2016-07-15 00:21:12,-97.735793,30.318356,485.9,205.4,122,67,4.9,82
2016-07-15 00:21:13,-97.735841,30.318377,490.9,205.4,123,67,4.9,63
2016-07-15 00:21:14,-97.735881,30.318394,495.8,205.6,124,69,4.9,50
2016-07-15 00:21:15,-97.735934,30.318416,500.7,205.6,124,94,4.9,44
2016-07-15 00:21:16,-97.735978,30.318435,505.6,205.6,125,90,4.9,84
2016-07-15 00:21:17,-97.736021,30.318458,510.5,205.6,125,72,4.9,56
2016-07-15 00:21:18,-97.736066,30.318483,515.5,205.4,125,64,4.9,55
2016-07-15 00:21:19,-97.736108,30.318503,520.5,205.6,123,67,4.9,48
2016-07-15 00:21:20,-97.736143,30.318517,525.4,205.6,123,70,4.9,52
2016-07-15 00:21:21,-97.736202,30.318547,530.4,205.8,122,75,5.0,56
2016-07-15 00:21:22,-97.736249,30.31857,535.5,205.8,121,78,5.0,22
2016-07-15 00:21:23,-97.736294,30.318591,540.5,206.0,120,113,5.0,0
2016-07-15 00:21:24,-97.736338,30.318613,545.6,206.0,119,62,5.0,0
2016-07-15 00:21:25,-97.736386,30.318636,550.7,206.0,119,0,5.1,0
2016-07-15 00:21:26,-97.73643,30.318656,555.7,205.8,119,0,5.1,0
2016-07-15 00:21:27,-97.736476,30.318678,560.8,205.8,119,0,5.1,0
2016-07-15 00:21:28,-97.736527,30.3187,565.9,205.8,118,0,5.1,0
2016-07-15 00:21:29,-97.736569,30.318724,570.9,205.6,118,0,5.1,0
2016-07-15 00:21:30,-97.73661,30.318746,575.5,205.6,118,0,5.0,0
2016-07-15 00:21:31,-97.736646,30.318765,579.6,205.4,117,0,4.8,0
2016-07-15 00:21:32,-97.736673,30.31878,583.2,205.4,117,0,4.5,0
2016-07-15 00:21:33,-97.736699,30.318792,585.8,205.4,118,0,4.0,3
2016-07-15 00:21:34,-97.736713,30.318799,587.6,205.4,118,0,3.3,7
2016-07-15 00:21:35,-97.736724,30.318806,589.3,205.2,118,31,2.8,30
2016-07-15 00:21:36,-97.736724,30.318808,589.3,205.2,117,59,1.9,0
2016-07-15 00:21:38,-97.736724,30.318808,589.3,205.2,116,0,0.7,110
2016-07-15 00:21:39,-97.736772,30.318834,591.7,205.0,116,0,0.8,140
2016-07-15 00:21:40,-97.736805,30.318854,594.8,205.0,116,27,1.1,149
2016-07-15 00:21:41,-97.736839,30.318871,598.6,205.0,116,53,1.9,258
2016-07-15 00:21:42,-97.736883,30.318888,603.2,205.0,116,49,2.3,333
2016-07-15 00:21:43,-97.73693,30.318908,608.6,205.0,117,59,3.9,220
2016-07-15 00:21:44,-97.736982,30.318929,614.1,205.0,118,68,4.5,151
2016-07-15 00:21:45,-97.737039,30.318954,619.6,205.0,119,82,5.0,4
2016-07-15 00:21:46,-97.737088,30.318978,625.1,205.0,120,46,5.3,163
2016-07-15 00:21:47,-97.737139,30.318999,630.8,204.8,122,41,5.5,109
2016-07-15 00:21:48,-97.737194,30.319023,636.5,204.8,123,78,5.6,31
2016-07-15 00:21:49,-97.737243,30.319047,642.3,204.8,124,75,5.6,31
2016-07-15 00:21:50,-97.737295,30.31907,647.9,204.8,125,37,5.7,1
2016-07-15 00:21:51,-97.737349,30.319093,653.3,205.0,126,0,5.6,45
2016-07-15 00:21:52,-97.737399,30.319116,658.7,204.8,127,27,5.6,67
2016-07-15 00:21:53,-97.737447,30.319139,664.1,204.8,128,104,5.5,73
2016-07-15 00:21:54,-97.737494,30.319161,669.5,204.6,129,105,5.4,9
2016-07-15 00:21:55,-97.737545,30.319186,674.8,204.6,129,61,5.4,82
2016-07-15 00:21:56,-97.73759,30.319207,680.1,204.6,130,36,5.4,67
2016-07-15 00:21:57,-97.737641,30.319231,685.5,204.8,130,72,5.4,76
2016-07-15 00:21:58,-97.737691,30.319254,690.9,204.8,130,75,5.4,73
2016-07-15 00:21:59,-97.737737,30.319278,696.3,205.0,131,84,5.4,75
2016-07-15 00:22:00,-97.737791,30.319303,701.8,205.0,132,78,5.4,58
2016-07-15 00:22:01,-97.73784,30.319328,707.2,205.0,132,91,5.4,82
2016-07-15 00:22:02,-97.737887,30.31935,712.6,205.0,133,97,5.4,64
2016-07-15 00:22:03,-97.737937,30.319374,718.0,205.0,133,82,5.4,86
2016-07-15 00:22:04,-97.737983,30.319396,723.3,205.0,133,75,5.4,80
2016-07-15 00:22:05,-97.738034,30.319419,728.5,205.0,132,75,5.3,129
2016-07-15 00:22:06,-97.738081,30.319442,733.8,205.2,132,76,5.3,79
2016-07-15 00:22:07,-97.738126,30.319464,738.8,205.4,131,74,5.2,77
2016-07-15 00:22:08,-97.738166,30.319484,743.8,205.6,132,70,5.2,91
2016-07-15 00:22:09,-97.73821,30.319507,748.7,205.8,132,70,5.1,143
2016-07-15 00:22:10,-97.738257,30.319527,753.6,206.0,132,69,5.0,143
2016-07-15 00:22:11,-97.738302,30.319544,758.4,206.0,132,67,4.9,158
2016-07-15 00:22:12,-97.738348,30.319564,763.2,206.0,131,67,4.9,158
2016-07-15 00:22:13,-97.738388,30.319583,767.8,206.2,131,66,4.8,139
2016-07-15 00:22:14,-97.738425,30.3196,772.4,206.2,131,64,4.7,102
2016-07-15 00:22:15,-97.738469,30.319624,776.8,206.4,132,64,4.6,111
2016-07-15 00:22:16,-97.738506,30.319644,781.1,206.4,132,65,4.5,167
2016-07-15 00:22:17,-97.738544,30.319666,785.5,206.4,133,61,4.5,99
2016-07-15 00:22:18,-97.738581,30.319686,789.7,206.4,133,59,4.4,111
2016-07-15 00:22:19,-97.738616,30.319703,793.9,206.6,133,61,4.3,111
