time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-09-08 22:22:31,-97.733392,30.313594,1.6,204.0,85,0,0.0,3
2016-09-08 22:22:32,-97.733401,30.313605,3.1,204.0,86,0,1.5,1
2016-09-08 22:22:33,-97.733409,30.31362,4.7,204.4,85,0,1.6,1
2016-09-08 22:22:34,-97.733416,30.313635,6.3,204.6,84,0,1.6,0
2016-09-08 22:22:35,-97.733418,30.31366,8.3,204.6,84,0,1.7,0
2016-09-08 22:22:36,-97.733419,30.313681,11.0,204.8,83,0,1.9,0
2016-09-08 22:22:37,-97.73343,30.313698,13.5,204.8,82,0,2.1,57
2016-09-08 22:22:38,-97.733454,30.313716,16.4,204.8,82,80,2.3,195
2016-09-08 22:22:39,-97.733479,30.313731,19.6,204.6,82,61,2.7,108
2016-09-08 22:22:40,-97.733505,30.31375,22.9,204.6,84,41,2.9,115
2016-09-08 22:22:41,-97.733539,30.313767,26.5,204.6,86,44,3.1,159
2016-09-08 22:22:42,-97.733573,30.313784,30.3,204.8,87,53,3.4,164
2016-09-08 22:22:43,-97.733607,30.313801,34.1,204.8,88,53,3.5,164
2016-09-08 22:22:44,-97.733641,30.313816,38.0,205.0,90,59,3.7,162
2016-09-08 22:22:45,-97.733679,30.313834,41.9,205.0,91,59,3.8,173
2016-09-08 22:22:46,-97.733713,30.313849,45.7,205.2,92,59,3.8,146
2016-09-08 22:22:47,-97.733748,30.313868,49.6,205.0,94,59,3.9,118
2016-09-08 22:22:48,-97.73378,30.313884,53.3,205.2,95,58,3.8,116
2016-09-08 22:22:49,-97.73381,30.313899,56.9,205.2,96,57,3.8,101
2016-09-08 22:22:50,-97.73384,30.313917,60.4,205.4,98,56,3.7,96
2016-09-08 22:22:51,-97.733869,30.313932,63.9,205.4,99,55,3.6,144
2016-09-08 22:22:52,-97.733898,30.313944,67.3,205.6,99,55,3.5,89
2016-09-08 22:22:53,-97.733932,30.313959,70.7,205.8,100,56,3.5,74
2016-09-08 22:22:54,-97.733958,30.313973,73.9,205.8,100,59,3.4,31
2016-09-08 22:22:55,-97.733985,30.313987,77.0,205.8,100,61,3.3,0
2016-09-08 22:22:56,-97.734007,30.313999,79.8,205.8,100,0,3.2,0
2016-09-08 22:22:57,-97.734028,30.314012,82.4,205.8,99,0,3.0,0
2016-09-08 22:22:58,-97.734046,30.314026,84.9,205.8,100,0,2.8,154
2016-09-08 22:22:59,-97.734045,30.314029,87.9,205.8,99,64,2.8,155
2016-09-08 22:23:00,-97.734074,30.314082,91.2,205.8,100,56,2.8,151
2016-09-08 22:23:01,-97.734076,30.314119,94.8,205.8,100,54,3.0,113
2016-09-08 22:23:02,-97.734068,30.314152,98.5,205.8,100,60,3.2,108
2016-09-08 22:23:03,-97.734051,30.314182,102.3,206.0,100,63,3.5,103
2016-09-08 22:23:04,-97.734033,30.314212,106.1,206.0,101,85,3.6,100
2016-09-08 22:23:05,-97.734018,30.314239,110.0,206.0,101,85,3.8,98
2016-09-08 22:23:06,-97.733993,30.314272,113.9,206.0,101,63,3.8,90
2016-09-08 22:23:07,-97.73397,30.314301,117.9,206.0,101,65,3.9,72
2016-09-08 22:23:08,-97.733947,30.314329,121.8,205.8,102,67,3.9,90
2016-09-08 22:23:09,-97.733924,30.314358,125.8,206.0,101,64,3.9,138
2016-09-08 22:23:10,-97.733905,30.314382,129.9,206.0,102,62,4.0,116
2016-09-08 22:23:11,-97.733876,30.314423,134.1,206.0,102,62,4.0,112
2016-09-08 22:23:12,-97.733854,30.314455,138.3,206.0,101,63,4.1,91
2016-09-08 22:23:13,-97.733829,30.314486,142.5,206.0,101,65,4.1,72
2016-09-08 22:23:14,-97.733806,30.314515,146.7,206.2,100,64,4.2,68
2016-09-08 22:23:15,-97.733781,30.314547,150.9,206.4,101,64,4.2,81
2016-09-08 22:23:16,-97.733759,30.314576,155.1,206.6,100,68,4.2,91
2016-09-08 22:23:17,-97.733735,30.314609,159.3,206.8,100,70,4.2,108
2016-09-08 22:23:18,-97.733713,30.314643,163.5,207.0,100,85,4.2,129
2016-09-08 22:23:19,-97.733689,30.314671,167.8,207.0,99,85,4.2,111
2016-09-08 22:23:20,-97.733662,30.314705,172.1,206.8,100,65,4.2,72
2016-09-08 22:23:21,-97.733638,30.314739,176.5,206.6,100,66,4.3,75
2016-09-08 22:23:22,-97.733614,30.31477,180.9,206.4,100,65,4.3,75
2016-09-08 22:23:23,-97.733592,30.314801,185.3,206.4,99,65,4.4,39
2016-09-08 22:23:24,-97.733567,30.31484,189.8,206.2,98,113,4.4,1
2016-09-08 22:23:25,-97.733545,30.31488,194.4,206.2,97,64,4.5,0
2016-09-08 22:23:26,-97.733527,30.314919,198.9,206.4,97,0,4.5,0
2016-09-08 22:23:27,-97.733513,30.314959,203.4,206.4,95,0,4.5,0
2016-09-08 22:23:28,-97.7335,30.315,208.1,206.4,95,0,4.6,0
2016-09-08 22:23:29,-97.733486,30.315035,212.8,206.4,94,0,4.6,0
2016-09-08 22:23:30,-97.733468,30.315077,217.2,206.4,94,0,4.6,0
2016-09-08 22:23:31,-97.73345,30.315113,221.3,206.2,93,0,4.5,0
2016-09-08 22:23:32,-97.733428,30.315138,225.0,206.2,92,0,4.3,0
2016-09-08 22:23:33,-97.733413,30.315156,228.0,206.4,91,0,4.0,0
