time,longitude,latitude,distance,elevation,hr_value,cadence,Speed
2016-12-30 18:38:20,-97.730311,30.312169,0.0,114.4,94,,0.0
2016-12-30 18:38:21,-97.730272,30.31215,4.3,114.4,93,,0.0
2016-12-30 18:38:22,-97.730233,30.312131,8.6,116.8,93,,0.0
2016-12-30 18:38:23,-97.730196,30.312112,12.7,119.4,92,,4.2
2016-12-30 18:38:24,-97.730178,30.312095,15.3,121.8,93,,3.8
2016-12-30 18:38:25,-97.730144,30.312078,19.1,122.0,92,,3.8
2016-12-30 18:38:26,-97.730105,30.312062,23.2,122.0,93,,3.8
2016-12-30 18:38:27,-97.730069,30.312048,27.0,121.8,92,,3.7
2016-12-30 18:38:28,-97.73003,30.312036,31.0,121.8,91,,3.7
2016-12-30 18:38:29,-97.730001,30.312021,34.2,121.8,90,,3.8
2016-12-30 18:38:30,-97.729973,30.312005,37.5,121.8,91,,3.7
2016-12-30 18:38:31,-97.729951,30.311978,41.2,121.8,90,,3.6
2016-12-30 18:38:32,-97.729938,30.311947,44.8,121.8,89,,3.6
2016-12-30 18:38:33,-97.729945,30.311908,49.2,121.8,89,,3.6
2016-12-30 18:38:34,-97.729965,30.311881,52.8,121.8,88,,3.7
2016-12-30 18:38:35,-97.729981,30.311855,56.1,121.8,90,,3.7
2016-12-30 18:38:36,-97.729995,30.31182,60.2,121.8,90,,3.8
2016-12-30 18:38:37,-97.730004,30.311792,63.4,122.0,91,,3.7
2016-12-30 18:38:38,-97.730028,30.311755,68.1,122.0,91,,3.8
2016-12-30 18:38:39,-97.730048,30.31172,72.5,122.0,90,,3.9
2016-12-30 18:38:40,-97.730062,30.3117,75.1,122.0,90,,3.8
2016-12-30 18:38:41,-97.730086,30.311663,79.8,122.2,90,,3.9
2016-12-30 18:38:42,-97.7301,30.311634,83.3,122.2,90,,4.0
2016-12-30 18:38:43,-97.730115,30.311586,88.8,122.0,91,,4.1
2016-12-30 18:38:44,-97.730132,30.311553,92.8,122.0,91,,4.1
2016-12-30 18:38:45,-97.730155,30.311525,96.7,121.8,91,,4.3
2016-12-30 18:38:46,-97.730175,30.311497,100.3,121.8,90,,4.1
2016-12-30 18:38:47,-97.730191,30.311474,103.3,121.8,90,,4.0
2016-12-30 18:38:48,-97.730217,30.311442,107.7,122.0,89,,3.8
2016-12-30 18:38:49,-97.730238,30.311416,111.2,122.0,89,,3.7
2016-12-30 18:38:50,-97.730257,30.311386,115.0,122.0,89,,3.7
2016-12-30 18:38:51,-97.730272,30.311358,118.4,121.8,89,,3.6
2016-12-30 18:38:52,-97.730285,30.31133,121.8,121.8,89,,3.7
2016-12-30 18:38:53,-97.730297,30.311303,125.0,121.8,87,,3.5
2016-12-30 18:38:54,-97.730302,30.311276,128.0,121.8,86,,3.4
2016-12-30 18:38:55,-97.73032,30.311246,131.8,121.8,87,,3.4
2016-12-30 18:38:56,-97.730334,30.31122,135.0,121.6,88,,3.3
2016-12-30 18:38:57,-97.730353,30.311198,138.1,121.8,88,,3.3
2016-12-30 18:38:58,-97.730376,30.311176,141.4,121.8,88,,3.3
2016-12-30 18:38:59,-97.730394,30.311157,144.1,121.8,88,,3.2
2016-12-30 18:39:00,-97.730414,30.311124,148.2,121.8,88,,3.3
2016-12-30 18:39:01,-97.730432,30.311094,152.0,122.0,88,,3.4
2016-12-30 18:39:02,-97.730457,30.311059,156.6,121.8,87,,3.7
2016-12-30 18:39:03,-97.730479,30.311026,160.8,121.8,86,,3.9
2016-12-30 18:39:04,-97.730498,30.310993,164.9,122.0,87,,4.2
2016-12-30 18:39:05,-97.730514,30.310962,168.7,122.0,88,,4.1
2016-12-30 18:39:06,-97.730538,30.310924,173.5,122.0,87,,4.3
2016-12-30 18:39:07,-97.730555,30.310891,177.5,121.8,87,,4.2
2016-12-30 18:39:08,-97.730572,30.310862,181.1,121.8,86,,4.1
2016-12-30 18:39:09,-97.730586,30.310827,185.3,121.8,86,,4.1
2016-12-30 18:39:10,-97.730599,30.310793,189.2,121.8,86,,4.1
2016-12-30 18:39:11,-97.730626,30.310753,194.4,121.8,85,,4.2
2016-12-30 18:39:12,-97.730658,30.310715,199.6,121.8,85,,4.4
2016-12-30 18:39:13,-97.730688,30.31068,204.5,121.8,85,,4.7
2016-12-30 18:39:14,-97.730717,30.310645,209.3,121.8,85,,4.8
2016-12-30 18:39:15,-97.730741,30.310611,213.7,121.8,86,,4.9
2016-12-30 18:39:16,-97.730768,30.310571,218.8,121.8,86,,4.9
2016-12-30 18:39:17,-97.730785,30.31054,222.7,121.8,86,,4.6
2016-12-30 18:39:18,-97.73081,30.310492,228.5,121.6,85,,4.8
2016-12-30 18:39:19,-97.73083,30.310453,233.3,121.6,84,,4.8
2016-12-30 18:39:20,-97.730847,30.31042,237.3,121.6,83,,4.7
2016-12-30 18:39:21,-97.730869,30.310384,241.8,121.4,84,,4.6
2016-12-30 18:39:22,-97.730891,30.310351,246.0,121.4,84,,4.7
2016-12-30 18:39:23,-97.73092,30.310319,250.6,121.4,84,,4.4
2016-12-30 18:39:24,-97.730938,30.310296,253.7,121.4,82,,4.1
2016-12-30 18:39:25,-97.730963,30.310273,257.2,121.6,80,,4.0
2016-12-30 18:39:26,-97.730986,30.310245,261.0,121.6,79,,3.8
2016-12-30 18:39:27,-97.731003,30.310217,264.5,121.6,79,,3.7
2016-12-30 18:39:28,-97.731018,30.310189,268.0,121.6,80,,3.5
2016-12-30 18:39:29,-97.731033,30.310164,271.1,121.6,80,,3.5
2016-12-30 18:39:30,-97.731048,30.310147,273.5,121.6,78,,3.3
2016-12-30 18:39:31,-97.731059,30.310131,275.5,121.6,77,,2.9
2016-12-30 18:39:32,-97.731063,30.310122,276.6,121.6,77,,2.4
2016-12-30 18:39:33,-97.731069,30.310113,277.8,121.6,77,,2.0
2016-12-30 18:39:34,-97.731072,30.310106,278.6,121.6,80,,1.5
2016-12-30 18:39:35,-97.73107,30.310113,279.4,121.6,82,,1.2
2016-12-30 18:39:36,-97.731075,30.310107,280.2,121.4,82,,0.9
2016-12-30 18:39:41,-97.731075,30.310122,281.9,121.2,78,,0.4
2016-12-30 18:39:42,-97.73108,30.310112,283.1,121.4,77,,0.5
2016-12-30 18:40:23,-97.731149,30.310046,293.0,121.4,70,,0.3
2016-12-30 18:40:24,-97.731163,30.310024,295.8,121.6,71,,0.3
2016-12-30 18:40:25,-97.731179,30.309991,299.8,121.6,72,,0.4
