time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-07-30 13:03:23,-97.732685,30.313424,0.0,180.2,77,0,0.0,0
2016-07-30 13:03:24,-97.732684,30.313423,0.0,180.4,77,0,0.0,0
2016-07-30 13:03:28,-97.732695,30.313365,0.0,180.8,77,0,0.0,98
2016-07-30 13:03:29,-97.732696,30.313348,2.4,180.8,77,52,0.5,29
2016-07-30 13:03:30,-97.732697,30.313321,4.9,180.8,78,98,0.8,2
2016-07-30 13:03:31,-97.7327,30.313301,7.4,180.8,79,24,1.1,2
2016-07-30 13:03:32,-97.7327,30.313271,10.0,180.8,79,0,1.3,2
2016-07-30 13:03:33,-97.732705,30.31325,12.7,180.8,79,0,2.5,1
2016-07-30 13:03:34,-97.73271,30.31323,15.6,180.8,79,0,2.6,0
2016-07-30 13:03:35,-97.732704,30.313208,18.5,180.6,79,0,2.7,0
2016-07-30 13:03:36,-97.732709,30.313183,21.7,180.6,80,0,2.9,0
2016-07-30 13:03:37,-97.73271,30.313158,25.0,180.6,80,0,3.0,0
2016-07-30 13:03:38,-97.732712,30.313127,28.4,180.4,80,0,3.1,0
2016-07-30 13:03:39,-97.732714,30.313096,31.9,180.4,80,0,3.3,0
2016-07-30 13:03:40,-97.732721,30.313065,35.5,180.2,80,0,3.4,0
2016-07-30 13:03:41,-97.732721,30.313029,39.2,180.0,80,0,3.5,0
2016-07-30 13:03:42,-97.732723,30.312991,43.0,180.0,79,0,3.6,0
2016-07-30 13:03:43,-97.732726,30.312953,46.9,179.8,79,0,3.7,0
2016-07-30 13:03:44,-97.732738,30.312922,50.8,179.8,79,0,3.8,0
2016-07-30 13:03:45,-97.732739,30.312888,54.8,179.8,79,0,3.9,0
2016-07-30 13:03:46,-97.73273,30.312846,58.7,179.8,79,0,3.9,0
2016-07-30 13:03:47,-97.732712,30.31281,62.9,179.8,78,0,4.0,0
2016-07-30 13:03:48,-97.732688,30.31277,67.0,179.8,78,0,4.0,0
2016-07-30 13:03:49,-97.732661,30.312728,71.2,179.8,77,0,4.1,0
2016-07-30 13:03:50,-97.732642,30.312688,75.7,179.8,77,0,4.2,0
2016-07-30 13:03:51,-97.732632,30.312647,80.0,179.6,77,0,4.3,0
2016-07-30 13:03:52,-97.732628,30.312605,84.3,179.6,77,0,4.3,101
2016-07-30 13:03:53,-97.732629,30.312564,88.9,179.6,78,81,4.4,125
2016-07-30 13:03:54,-97.732641,30.312518,93.6,179.6,80,70,4.5,141
2016-07-30 13:03:55,-97.732642,30.312478,98.6,179.8,80,62,4.6,116
2016-07-30 13:03:56,-97.732643,30.312419,103.9,180.0,82,68,4.8,92
2016-07-30 13:03:57,-97.732648,30.312371,109.3,180.2,83,72,5.0,100
2016-07-30 13:03:58,-97.732653,30.31232,114.9,180.2,84,80,5.2,34
2016-07-30 13:03:59,-97.732656,30.312272,120.5,180.2,84,144,5.4,2
2016-07-30 13:04:00,-97.732659,30.312221,126.1,180.2,84,36,5.5,38
2016-07-30 13:04:01,-97.732663,30.312166,131.7,180.0,84,106,5.6,81
2016-07-30 13:04:02,-97.732672,30.312115,137.5,179.6,84,80,5.6,90
2016-07-30 13:04:03,-97.732682,30.312064,143.3,179.2,84,78,5.7,55
2016-07-30 13:04:04,-97.732693,30.312014,149.2,179.0,84,150,5.7,0
2016-07-30 13:04:05,-97.7327,30.311967,155.0,178.6,83,0,5.8,0
2016-07-30 13:04:06,-97.732708,30.311909,160.8,178.4,83,0,5.8,0
2016-07-30 13:04:07,-97.732717,30.311858,166.6,178.4,82,0,5.8,0
2016-07-30 13:04:08,-97.732729,30.311808,172.3,178.2,82,0,5.8,0
2016-07-30 13:04:09,-97.732743,30.311758,178.1,178.2,82,0,5.8,0
2016-07-30 13:04:10,-97.732754,30.311709,183.8,178.0,80,0,5.8,0
2016-07-30 13:04:11,-97.732771,30.311663,189.5,178.0,79,0,5.7,0
2016-07-30 13:04:12,-97.732783,30.311609,195.2,177.8,79,0,5.7,0
2016-07-30 13:04:13,-97.732794,30.311562,200.9,177.8,78,0,5.7,0
2016-07-30 13:04:14,-97.732806,30.311509,206.5,177.8,78,0,5.7,98
2016-07-30 13:04:15,-97.732819,30.31146,212.3,177.6,78,46,5.7,126
2016-07-30 13:04:16,-97.732834,30.31141,218.1,177.4,79,96,5.7,20
2016-07-30 13:04:17,-97.732849,30.311363,223.9,177.4,79,126,5.7,0
2016-07-30 13:04:18,-97.732862,30.311314,229.3,177.4,79,34,5.7,0
2016-07-30 13:04:19,-97.732876,30.311281,233.8,177.4,80,0,5.5,0
2016-07-30 13:04:20,-97.732887,30.311257,237.4,177.6,80,0,5.0,0
2016-07-30 13:04:21,-97.732896,30.311231,240.3,177.6,78,0,4.4,0
2016-07-30 13:04:22,-97.732908,30.311214,243.3,177.8,78,0,3.9,0
2016-07-30 13:04:23,-97.732913,30.311197,245.9,178.0,77,0,3.3,0
2016-07-30 13:04:24,-97.73292,30.311184,247.7,178.0,76,0,2.8,2
2016-07-30 13:04:25,-97.732927,30.311172,249.2,178.0,76,0,2.4,43
2016-07-30 13:04:26,-97.732935,30.31115,251.2,177.8,75,44,2.2,154
2016-07-30 13:04:27,-97.732951,30.311123,254.1,177.8,76,57,2.2,223
2016-07-30 13:04:28,-97.732966,30.311091,257.6,177.6,77,48,2.3,130
2016-07-30 13:04:29,-97.732982,30.311058,261.6,177.6,77,44,2.8,176
2016-07-30 13:04:30,-97.732998,30.31102,265.9,177.6,79,53,3.3,160
2016-07-30 13:04:31,-97.733017,30.310979,270.4,177.6,81,63,3.8,100
2016-07-30 13:04:32,-97.733037,30.310939,275.1,177.6,82,67,4.2,115
2016-07-30 13:04:33,-97.733057,30.310898,279.9,177.6,84,71,4.5,96
2016-07-30 13:04:34,-97.733079,30.310856,284.9,177.6,85,74,4.7,100
2016-07-30 13:04:35,-97.7331,30.310815,290.0,177.6,85,75,4.8,86
2016-07-30 13:04:36,-97.733116,30.310794,295.3,177.6,86,77,5.0,130
2016-07-30 13:04:37,-97.733154,30.310729,300.7,177.6,87,74,5.1,110
2016-07-30 13:04:38,-97.733181,30.310685,306.1,177.6,87,73,5.2,98
2016-07-30 13:04:39,-97.733208,30.310639,311.7,177.6,87,73,5.4,78
2016-07-30 13:04:40,-97.733235,30.310599,317.2,177.6,88,89,5.4,0
2016-07-30 13:04:41,-97.733261,30.310555,322.8,177.4,88,23,5.5,60
2016-07-30 13:04:42,-97.733289,30.310509,328.4,177.4,89,63,5.5,90
2016-07-30 13:04:43,-97.733319,30.310464,334.1,177.2,89,78,5.6,120
2016-07-30 13:04:44,-97.733347,30.310418,339.8,177.0,89,78,5.6,74
2016-07-30 13:04:45,-97.733374,30.310374,345.5,176.8,89,80,5.7,84
