time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2017-09-02 13:16:18,-97.732694,30.312861,3.4,195.8,79,0,0.0,0
2017-09-02 13:16:19,-97.732696,30.312827,7.0,195.8,79,0,0.0,0
2017-09-02 13:16:20,-97.732686,30.312792,10.7,195.8,78,0,3.6,0
2017-09-02 13:16:21,-97.732674,30.312746,14.4,195.8,78,0,3.7,0
2017-09-02 13:16:22,-97.732661,30.312695,18.1,195.8,78,0,3.7,0
2017-09-02 13:16:23,-97.732634,30.312666,22.2,195.8,78,0,3.8,0
2017-09-02 13:16:24,-97.732613,30.312631,26.3,195.6,77,0,3.9,109
2017-09-02 13:16:25,-97.732607,30.312591,30.5,195.6,79,40,4.0,163
2017-09-02 13:16:26,-97.732602,30.312552,35.0,195.6,80,74,4.1,157
2017-09-02 13:16:27,-97.732613,30.312523,40.0,195.6,82,67,4.4,125
2017-09-02 13:16:28,-97.732625,30.312482,45.2,195.6,83,68,4.6,93
2017-09-02 13:16:29,-97.732632,30.312432,50.6,195.4,85,68,4.9,153
2017-09-02 13:16:30,-97.732637,30.312382,56.4,195.4,87,70,5.2,153
2017-09-02 13:16:31,-97.73264,30.312331,62.4,195.4,89,70,5.5,138
2017-09-02 13:16:32,-97.732652,30.312282,68.6,195.4,89,71,5.7,133
2017-09-02 13:16:33,-97.732659,30.312224,74.9,195.2,91,74,5.9,114
2017-09-02 13:16:34,-97.732666,30.312163,81.4,195.0,93,79,6.2,114
2017-09-02 13:16:35,-97.732676,30.312104,88.1,194.6,95,81,6.3,122
2017-09-02 13:16:36,-97.732685,30.312044,94.8,194.4,95,81,6.5,120
2017-09-02 13:16:37,-97.732699,30.311989,101.7,194.2,95,82,6.6,113
2017-09-02 13:16:38,-97.732709,30.31193,108.5,194.2,96,83,6.7,113
2017-09-02 13:16:39,-97.732723,30.311864,115.4,194.0,96,62,6.8,2
2017-09-02 13:16:40,-97.732734,30.311802,122.3,194.2,95,0,6.8,0
2017-09-02 13:16:41,-97.732745,30.311741,129.2,194.2,93,0,6.9,0
2017-09-02 13:16:42,-97.732761,30.31168,136.0,194.2,92,0,6.9,0
2017-09-02 13:16:43,-97.732773,30.311626,142.9,194.2,92,0,6.9,0
2017-09-02 13:16:44,-97.732788,30.311563,149.7,194.2,91,0,6.9,0
2017-09-02 13:16:45,-97.732806,30.311501,156.4,194.2,91,0,6.8,0
2017-09-02 13:16:46,-97.732822,30.311442,163.1,194.2,89,0,6.8,0
2017-09-02 13:16:47,-97.732838,30.311387,169.6,194.2,89,0,6.7,0
