time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-04-10 15:27:19,-97.749247,30.26745,3.7,182.0,88,83,0.0,39.0
2016-04-10 15:27:20,-97.74926,30.267422,7.4,182.2,88,82,0.0,2.0
2016-04-10 15:27:21,-97.749267,30.267394,10.9,182.0,89,89,3.6,104.0
2016-04-10 15:27:22,-97.74927,30.267366,14.3,182.0,90,20,3.5,52.0
2016-04-10 15:27:23,-97.749275,30.267339,17.8,182.4,90,87,3.5,6.0
2016-04-10 15:27:24,-97.749291,30.267306,21.2,182.4,91,79,3.5,121.0
2016-04-10 15:27:25,-97.749305,30.267281,24.6,182.4,91,18,3.4,109.0
2016-04-10 15:27:26,-97.749325,30.267252,28.2,182.4,92,70,3.5,41.0
2016-04-10 15:27:27,-97.749334,30.267223,31.9,182.4,93,61,3.5,62.0
2016-04-10 15:27:28,-97.749346,30.267191,35.7,182.4,94,82,3.6,40.0
2016-04-10 15:27:29,-97.749359,30.267159,39.4,182.4,95,91,3.6,40.0
2016-04-10 15:27:30,-97.749368,30.267133,43.1,182.4,94,79,3.7,1.0
2016-04-10 15:27:31,-97.749375,30.267104,46.5,182.4,94,0,3.7,1.0
2016-04-10 15:27:32,-97.749377,30.267076,49.8,182.4,94,0,3.6,33.0
2016-04-10 15:27:33,-97.749386,30.267047,53.1,182.4,95,72,3.5,131.0
2016-04-10 15:27:34,-97.749392,30.267015,56.7,182.4,95,57,3.5,0.0
2016-04-10 15:27:35,-97.749393,30.266989,60.0,182.4,94,54,3.4,0.0
2016-04-10 15:27:36,-97.749394,30.266971,62.7,182.4,94,0,3.2,101.0
2016-04-10 15:27:37,-97.74939,30.266951,65.1,182.4,94,14,3.1,100.0
2016-04-10 15:27:38,-97.749397,30.266925,67.8,182.4,94,55,2.9,64.0
2016-04-10 15:27:39,-97.749416,30.2669,70.7,182.4,93,51,2.8,64.0
2016-04-10 15:27:40,-97.749442,30.266882,73.7,182.4,93,55,2.7,49.0
2016-04-10 15:27:41,-97.749477,30.266874,76.8,182.4,94,88,2.8,2.0
2016-04-10 15:27:42,-97.749512,30.266882,80.0,182.4,94,0,3.0,122.0
2016-04-10 15:27:43,-97.74955,30.266877,83.4,182.4,95,55,3.1,92.0
2016-04-10 15:27:44,-97.749587,30.266869,87.2,182.4,95,76,3.3,38.0
2016-04-10 15:27:45,-97.749624,30.266859,90.9,182.4,95,76,3.4,38.0
2016-04-10 15:27:46,-97.749661,30.266852,94.8,182.4,95,0,3.6,1.0
2016-04-10 15:27:47,-97.749698,30.26685,98.6,182.4,95,0,3.7,0.0
2016-04-10 15:27:48,-97.74973,30.266852,102.4,182.4,94,0,3.8,0.0
2016-04-10 15:27:49,-97.749762,30.266848,106.3,182.4,94,0,3.8,0.0
2016-04-10 15:27:50,-97.749804,30.266849,110.3,182.4,93,0,3.9,0.0
2016-04-10 15:27:51,-97.749853,30.266865,114.1,182.4,93,0,3.9,0.0
2016-04-10 15:27:52,-97.749894,30.266876,117.7,182.4,93,0,3.8,0.0
2016-04-10 15:27:53,-97.74994,30.266893,121.4,182.4,92,0,3.8,0.0
2016-04-10 15:27:54,-97.749984,30.266907,124.7,182.4,92,0,3.7,73.0
2016-04-10 15:27:55,-97.750025,30.266927,128.4,182.4,90,83,3.6,59.0
2016-04-10 15:27:56,-97.750069,30.266951,132.1,182.4,89,85,3.6,72.0
2016-04-10 15:27:57,-97.750105,30.266971,136.0,182.4,89,84,3.7,95.0
2016-04-10 15:27:58,-97.750143,30.266996,139.7,182.4,88,77,3.7,16.0
2016-04-10 15:27:59,-97.750187,30.26701,143.6,182.4,88,112,3.8,0.0
2016-04-10 15:28:00,-97.750235,30.267028,147.2,182.4,89,0,3.8,108.0
2016-04-10 15:28:01,-97.750279,30.267038,151.2,182.4,89,77,3.8,94.0
2016-04-10 15:28:02,-97.750336,30.267058,155.3,182.4,91,95,3.9,110.0
2016-04-10 15:28:03,-97.750377,30.267068,159.4,182.4,92,131,3.9,21.0
2016-04-10 15:28:04,-97.750406,30.267079,163.6,182.4,93,99,4.0,0.0
2016-04-10 15:28:05,-97.750464,30.267096,167.5,182.4,95,0,4.1,0.0
2016-04-10 15:28:06,-97.750502,30.267111,171.4,182.4,95,0,4.0,0.0
2016-04-10 15:28:07,-97.750535,30.267124,175.3,182.4,96,0,4.0,124.0
2016-04-10 15:28:08,-97.750576,30.267141,179.4,182.4,96,106,4.0,151.0
2016-04-10 15:28:09,-97.750623,30.267152,183.9,182.6,97,76,4.1,159.0
2016-04-10 15:28:10,-97.750675,30.267161,188.5,183.0,97,76,4.2,133.0
2016-04-10 15:28:11,-97.750727,30.26718,193.6,183.6,98,81,4.4,75.0
2016-04-10 15:28:12,-97.750771,30.267196,198.9,184.0,98,119,4.7,0.0
2016-04-10 15:28:13,-97.750832,30.267217,204.5,184.2,98,0,5.0,0.0
2016-04-10 15:28:14,-97.750894,30.267237,210.3,184.6,98,0,5.3,0.0
2016-04-10 15:28:15,-97.750951,30.267255,216.2,184.6,97,0,5.5,0.0
2016-04-10 15:28:16,-97.751007,30.267272,222.3,184.6,95,0,5.7,0.0
2016-04-10 15:28:17,-97.751046,30.267291,228.0,184.4,95,0,5.8,0.0
2016-04-10 15:28:18,-97.751101,30.267312,233.4,184.2,92,0,5.8,0.0
2016-04-10 15:28:19,-97.751146,30.267329,238.5,183.8,92,0,5.6,0.0
2016-04-10 15:28:20,-97.751191,30.267349,243.4,183.6,92,0,5.4,0.0
2016-04-10 15:28:21,-97.751233,30.267361,248.2,183.0,90,0,5.2,0.0
2016-04-10 15:28:22,-97.751274,30.267376,252.9,182.6,90,0,5.0,0.0
2016-04-10 15:28:23,-97.751314,30.2674,257.5,182.6,89,0,4.8,0.0
2016-04-10 15:28:24,-97.751356,30.26742,262.1,182.6,89,0,4.7,0.0
2016-04-10 15:28:25,-97.751394,30.267444,266.7,182.6,87,0,4.7,0.0
2016-04-10 15:28:26,-97.751426,30.267465,270.8,182.6,86,0,4.5,0.0
2016-04-10 15:28:27,-97.751445,30.267481,274.3,182.6,85,0,4.3,0.0
2016-04-10 15:28:28,-97.751471,30.26749,277.7,182.6,84,0,4.0,0.0
2016-04-10 15:28:29,-97.751494,30.267501,280.9,182.6,84,0,3.8,0.0
2016-04-10 15:28:30,-97.751511,30.267518,284.0,182.6,85,0,3.5,3.0
2016-04-10 15:28:31,-97.751519,30.267537,287.3,182.6,86,0,3.3,290.0
2016-04-10 15:28:32,-97.751533,30.267561,291.9,182.6,87,60,3.5,202.0
2016-04-10 15:28:33,-97.751559,30.267574,296.7,182.6,87,54,3.8,0.0
2016-04-10 15:28:34,-97.751599,30.267592,301.8,182.6,86,13,4.2,1.0
