time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-07-04 13:33:10,-97.732601,30.312532,0.0,196.6,75,0,0.0,131
2016-07-04 13:33:11,-97.732603,30.312502,3.3,196.6,76,25,0.0,109
2016-07-04 13:33:12,-97.732608,30.312473,6.6,196.6,77,40,3.3,97
2016-07-04 13:33:13,-97.732612,30.312443,10.0,196.6,77,42,3.3,156
2016-07-04 13:33:14,-97.732621,30.312407,14.1,196.6,78,50,3.5,40
2016-07-04 13:33:15,-97.732626,30.312368,18.4,196.2,80,68,3.7,109
2016-07-04 13:33:16,-97.732632,30.312331,22.6,196.0,81,71,3.9,111
2016-07-04 13:33:17,-97.732638,30.312288,27.4,196.0,82,63,4.2,98
2016-07-04 13:33:18,-97.732643,30.312243,32.4,196.0,83,64,4.5,101
2016-07-04 13:33:19,-97.732649,30.312199,37.4,195.8,84,66,4.7,8
2016-07-04 13:33:20,-97.732647,30.312152,42.6,195.8,85,17,4.8,96
2016-07-04 13:33:21,-97.732649,30.312105,47.8,195.6,87,63,5.0,75
2016-07-04 13:33:22,-97.732654,30.312058,53.1,195.6,87,82,5.1,37
2016-07-04 13:33:23,-97.732661,30.312005,59.1,195.6,87,88,5.3,1
2016-07-04 13:33:24,-97.732667,30.311966,63.4,195.4,87,22,5.2,0
2016-07-04 13:33:25,-97.732676,30.311917,68.9,195.6,87,0,5.3,0
2016-07-04 13:33:26,-97.732685,30.311872,74.0,195.4,86,0,5.2,0
2016-07-04 13:33:27,-97.732695,30.311826,79.2,195.4,86,0,5.2,0
2016-07-04 13:33:28,-97.732705,30.311781,84.3,195.4,85,0,5.0,0
2016-07-04 13:33:29,-97.732717,30.311736,89.5,195.4,85,0,5.2,0
2016-07-04 13:33:30,-97.732724,30.311699,93.6,195.4,84,0,4.9,35
2016-07-04 13:33:31,-97.732736,30.311654,98.8,195.2,84,81,5.0,122
2016-07-04 13:33:32,-97.732748,30.311607,104.1,195.0,84,83,5.0,140
2016-07-04 13:33:33,-97.732761,30.31156,109.5,194.8,85,75,5.0,107
2016-07-04 13:33:34,-97.732775,30.311511,115.1,194.6,84,105,5.1,15
2016-07-04 13:33:35,-97.732789,30.311457,121.4,194.6,85,28,5.6,0
2016-07-04 13:33:36,-97.732801,30.311416,126.0,194.2,85,0,5.4,0
2016-07-04 13:33:37,-97.732815,30.311368,131.5,194.2,85,0,5.5,0
2016-07-04 13:33:38,-97.73283,30.311322,136.8,194.2,84,0,5.5,0
2016-07-04 13:33:39,-97.732845,30.311276,142.2,194.2,85,0,5.4,0
2016-07-04 13:33:40,-97.732861,30.311228,147.7,194.2,85,0,5.3,62
2016-07-04 13:33:41,-97.732879,30.311176,153.8,194.4,85,69,5.6,155
2016-07-04 13:33:42,-97.732897,30.311126,159.6,194.2,86,79,5.6,152
2016-07-04 13:33:43,-97.732916,30.311078,165.2,194.4,86,75,5.7,153
2016-07-04 13:33:44,-97.732938,30.311028,171.2,194.4,87,75,5.8,170
2016-07-04 13:33:45,-97.732964,30.310973,177.8,194.4,88,75,6.0,169
2016-07-04 13:33:46,-97.732991,30.310921,184.1,194.4,88,79,6.1,156
2016-07-04 13:33:47,-97.733017,30.31087,190.3,194.8,89,83,6.1,134
2016-07-04 13:33:48,-97.733044,30.310816,196.9,195.0,90,79,6.3,142
2016-07-04 13:33:49,-97.73307,30.310767,202.9,195.0,91,79,6.3,127
2016-07-04 13:33:50,-97.733102,30.310712,209.7,195.2,92,82,6.4,142
2016-07-04 13:33:51,-97.733133,30.310662,216.0,195.4,94,82,6.4,152
2016-07-04 13:33:52,-97.733165,30.31061,222.6,195.4,94,84,6.5,148
2016-07-04 13:33:53,-97.7332,30.310553,229.8,195.2,95,82,6.6,110
2016-07-04 13:33:54,-97.733226,30.31051,235.2,194.8,96,84,6.5,94
2016-07-04 13:33:55,-97.733261,30.310455,242.2,194.6,96,83,6.5,110
2016-07-04 13:33:56,-97.733292,30.310403,248.7,194.4,96,83,6.5,104
2016-07-04 13:33:57,-97.733324,30.310351,255.2,193.8,97,80,6.5,119
2016-07-04 13:33:58,-97.733358,30.310298,262.0,193.8,97,78,6.4,107
