time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2017-01-01 21:39:25,-97.732622,30.313794,3.6,158.0,90,0,0.0,0
2017-01-01 21:39:26,-97.732625,30.313769,7.3,158.0,90,0,0.0,0
2017-01-01 21:39:27,-97.732639,30.313734,11.0,158.0,90,0,3.7,0
2017-01-01 21:39:28,-97.732639,30.313699,14.7,157.8,90,0,3.7,0
2017-01-01 21:39:29,-97.732631,30.313657,18.6,157.8,90,0,3.8,0
2017-01-01 21:39:30,-97.732616,30.313624,22.3,158.8,89,0,3.7,0
2017-01-01 21:39:31,-97.732596,30.313595,25.6,158.6,89,0,3.7,0
2017-01-01 21:39:32,-97.732575,30.313571,28.8,158.6,88,0,3.6,0
2017-01-01 21:39:33,-97.732553,30.313539,32.3,158.6,86,0,3.5,0
2017-01-01 21:39:34,-97.73254,30.313507,36.0,158.6,86,0,3.5,0
2017-01-01 21:39:35,-97.732531,30.313473,39.4,158.4,86,0,3.4,110
2017-01-01 21:39:36,-97.73253,30.313436,43.3,158.4,87,54,3.5,204
2017-01-01 21:39:37,-97.732531,30.313396,47.6,158.6,88,66,3.8,145
2017-01-01 21:39:38,-97.732535,30.313349,52.2,158.4,88,65,4.0,145
2017-01-01 21:39:39,-97.732539,30.3133,57.3,158.0,88,69,4.3,129
2017-01-01 21:39:40,-97.732547,30.313251,62.6,158.2,90,71,4.6,155
2017-01-01 21:39:41,-97.732555,30.313194,68.2,158.0,91,73,5.0,129
2017-01-01 21:39:42,-97.732561,30.313145,74.2,157.8,93,77,5.3,159
2017-01-01 21:39:43,-97.732569,30.313081,80.3,157.6,94,79,5.6,124
2017-01-01 21:39:44,-97.732576,30.313022,86.7,157.8,95,110,5.9,0
2017-01-01 21:39:45,-97.732584,30.312966,92.9,157.6,95,29,6.1,44
2017-01-01 21:39:46,-97.732592,30.312909,99.2,157.4,95,93,6.2,101
2017-01-01 21:39:47,-97.732602,30.312842,105.7,157.4,96,123,6.3,129
2017-01-01 21:39:48,-97.732611,30.312777,112.3,157.4,96,94,6.4,115
2017-01-01 21:39:49,-97.732622,30.312716,119.2,157.6,96,87,6.5,126
2017-01-01 21:39:50,-97.73263,30.312651,126.1,157.6,96,84,6.6,131
2017-01-01 21:39:51,-97.732639,30.312583,133.2,157.8,96,83,6.8,143
2017-01-01 21:39:52,-97.73265,30.312526,140.4,157.8,96,90,6.9,141
2017-01-01 21:39:53,-97.732664,30.312448,147.7,158.0,96,91,7.1,75
2017-01-01 21:39:54,-97.732677,30.312377,155.0,157.8,96,103,7.2,0
2017-01-01 21:39:55,-97.732689,30.312306,162.3,157.6,97,26,7.2,37
2017-01-01 21:39:56,-97.732704,30.31224,169.4,157.6,97,124,7.2,173
2017-01-01 21:39:57,-97.73272,30.312175,176.8,157.6,97,119,7.3,133
2017-01-01 21:39:58,-97.732737,30.31211,184.2,157.6,97,89,7.3,141
2017-01-01 21:39:59,-97.732753,30.312027,191.7,157.4,97,86,7.3,134
2017-01-01 21:40:00,-97.732782,30.3119,199.3,157.2,97,87,7.4,141
2017-01-01 21:40:01,-97.732806,30.311804,207.1,156.6,98,90,7.5,146
2017-01-01 21:40:02,-97.732827,30.311713,214.9,156.2,98,92,7.6,136
