time,longitude,latitude,distance,elevation,hr_value,cadence,Speed
2016-07-05 03:08:22,-97.745217,30.26819,4.4,166.6,126,,0.0
2016-07-05 03:08:23,-97.745208,30.268237,9.6,166.8,126,,0.0
2016-07-05 03:08:24,-97.7452,30.268279,14.4,167.0,126,,0.0
2016-07-05 03:08:25,-97.745188,30.268322,19.2,167.2,127,,4.9
2016-07-05 03:08:26,-97.745176,30.268364,24.0,167.2,127,,4.9
2016-07-05 03:08:27,-97.745167,30.268396,27.6,167.8,127,,4.6
2016-07-05 03:08:28,-97.74516,30.268428,31.3,167.8,128,,4.3
2016-07-05 03:08:29,-97.745154,30.268448,33.5,167.8,128,,3.8
2016-07-05 03:08:30,-97.745147,30.268462,35.1,167.8,127,,3.2
2016-07-05 03:08:31,-97.745142,30.268467,35.7,167.8,128,,2.3
2016-07-05 03:08:32,-97.745144,30.268467,35.7,167.8,128,,1.6
2016-07-05 03:08:33,-97.745146,30.268479,35.9,167.8,128,,0.9
2016-07-05 03:09:04,-97.74522,30.268596,35.9,168.4,115,,0.0
2016-07-05 03:09:05,-97.745215,30.26861,37.5,168.4,117,,0.1
2016-07-05 03:09:06,-97.74521,30.26863,39.7,170.2,119,,0.1
2016-07-05 03:09:07,-97.745206,30.268661,43.1,170.2,119,,0.2
2016-07-05 03:09:08,-97.745199,30.268698,47.2,170.2,120,,0.3
2016-07-05 03:09:09,-97.745194,30.26874,52.0,170.2,121,,0.3
2016-07-05 03:09:10,-97.745188,30.268779,56.3,170.2,122,,3.8
2016-07-05 03:09:11,-97.745172,30.268826,61.7,168.6,123,,4.4
2016-07-05 03:09:12,-97.745157,30.268862,65.9,168.6,124,,4.6
2016-07-05 03:09:13,-97.745137,30.268899,70.4,168.8,126,,4.6
2016-07-05 03:09:14,-97.745123,30.268939,75.1,168.8,127,,4.6
2016-07-05 03:09:15,-97.74511,30.268985,80.4,169.0,130,,4.8
2016-07-05 03:09:16,-97.745096,30.269031,85.7,169.4,130,,4.8
2016-07-05 03:09:17,-97.745082,30.269077,90.9,169.6,133,,5.0
2016-07-05 03:09:18,-97.745069,30.269126,96.5,169.8,134,,5.2
2016-07-05 03:09:19,-97.745059,30.269168,101.2,170.2,136,,5.2
2016-07-05 03:09:20,-97.745047,30.269215,106.5,170.4,137,,5.2
2016-07-05 03:09:21,-97.745037,30.269257,111.3,170.6,138,,5.1
2016-07-05 03:09:22,-97.745028,30.269295,115.6,170.8,140,,4.9
2016-07-05 03:09:23,-97.745014,30.269342,120.9,171.4,141,,4.9
2016-07-05 03:09:24,-97.744988,30.269383,126.1,171.6,142,,5.0
2016-07-05 03:09:25,-97.744969,30.269426,131.2,172.0,142,,4.9
2016-07-05 03:09:26,-97.744954,30.269468,136.1,172.4,143,,5.0
2016-07-05 03:09:27,-97.744941,30.269507,140.6,172.6,144,,5.0
2016-07-05 03:09:28,-97.744931,30.269543,144.7,172.8,145,,4.8
2016-07-05 03:09:29,-97.74492,30.269581,149.1,173.2,145,,4.6
2016-07-05 03:09:30,-97.744912,30.269616,153.0,173.4,146,,4.4
2016-07-05 03:09:31,-97.744903,30.26965,156.8,173.6,146,,4.1
2016-07-05 03:09:32,-97.744894,30.269679,160.2,173.8,147,,3.9
2016-07-05 03:09:33,-97.744885,30.269711,163.8,174.0,148,,3.8
2016-07-05 03:09:34,-97.744878,30.269739,167.0,174.2,148,,3.6
2016-07-05 03:09:35,-97.74487,30.269768,170.3,174.4,149,,3.5
2016-07-05 03:09:36,-97.744859,30.269802,174.2,174.4,149,,3.5
2016-07-05 03:09:37,-97.744852,30.269836,177.9,174.6,150,,3.5
2016-07-05 03:09:38,-97.744845,30.269873,182.1,174.8,150,,3.7
2016-07-05 03:09:39,-97.744833,30.269911,186.4,175.0,150,,3.9
2016-07-05 03:09:40,-97.744825,30.269946,190.4,175.2,150,,4.0
2016-07-05 03:09:41,-97.744811,30.269983,194.7,175.6,150,,4.1
2016-07-05 03:09:42,-97.744794,30.270016,198.6,176.0,151,,4.1
2016-07-05 03:09:43,-97.744777,30.270053,203.1,176.2,151,,4.2
2016-07-05 03:09:44,-97.74476,30.27009,207.5,176.4,151,,4.2
2016-07-05 03:09:45,-97.74474,30.27012,211.3,176.6,151,,4.2
2016-07-05 03:09:46,-97.744718,30.27014,214.4,176.8,152,,3.9
2016-07-05 03:09:47,-97.744695,30.270156,217.2,177.0,152,,3.7
2016-07-05 03:09:48,-97.744683,30.270172,219.2,177.0,152,,3.2
2016-07-05 03:09:49,-97.744674,30.270188,221.2,177.2,152,,2.7
2016-07-05 03:09:50,-97.744663,30.270202,223.0,177.0,152,,2.3
2016-07-05 03:09:51,-97.744654,30.270215,224.6,177.0,152,,2.0
2016-07-05 03:09:52,-97.744646,30.270224,225.9,177.0,152,,1.7
2016-07-05 03:09:53,-97.744639,30.270234,227.1,177.0,152,,1.6
2016-07-05 03:09:54,-97.744635,30.270239,227.8,177.2,152,,1.3
2016-07-05 03:09:55,-97.744632,30.270246,228.6,177.2,151,,1.1
2016-07-05 03:09:56,-97.744634,30.270255,229.6,177.4,151,,1.0
2016-07-05 03:09:57,-97.744631,30.270263,230.6,177.4,150,,0.9
2016-07-05 03:09:58,-97.744628,30.270271,231.5,177.4,149,,0.9
2016-07-05 03:09:59,-97.744621,30.270283,232.9,177.4,148,,1.0
2016-07-05 03:10:00,-97.744616,30.270291,233.9,177.4,147,,1.1
2016-07-05 03:10:01,-97.744617,30.270289,233.9,177.4,146,,0.9
2016-07-05 03:10:06,-97.744592,30.270367,233.9,177.6,145,,0.0
2016-07-05 03:10:07,-97.744585,30.270386,236.1,177.6,144,,0.4
2016-07-05 03:10:08,-97.744575,30.270409,238.8,177.6,143,,0.7
2016-07-05 03:10:09,-97.744563,30.270442,242.6,177.6,142,,1.1
2016-07-05 03:10:10,-97.74455,30.270475,246.5,177.6,141,,1.4
2016-07-05 03:10:11,-97.744536,30.270515,251.1,177.6,141,,1.4
2016-07-05 03:10:12,-97.744526,30.27055,255.1,177.6,140,,3.8
2016-07-05 03:10:13,-97.744515,30.270587,259.4,177.6,140,,4.1
2016-07-05 03:10:14,-97.744505,30.27062,263.1,177.6,141,,4.1
2016-07-05 03:10:15,-97.744498,30.27065,266.5,177.8,141,,4.0
2016-07-05 03:10:16,-97.744491,30.270679,269.9,177.8,142,,3.8
2016-07-05 03:10:17,-97.74448,30.270719,274.4,177.8,143,,3.9
2016-07-05 03:10:18,-97.744466,30.270761,279.2,178.0,143,,4.0
2016-07-05 03:10:19,-97.744451,30.270806,284.4,178.2,143,,4.3
2016-07-05 03:10:20,-97.744435,30.270849,289.4,178.2,144,,4.6
2016-07-05 03:10:21,-97.744416,30.270886,294.0,178.4,144,,4.8
2016-07-05 03:10:22,-97.744399,30.270921,298.1,178.4,145,,4.7
2016-07-05 03:10:23,-97.744375,30.270961,303.1,178.6,145,,4.8
2016-07-05 03:10:24,-97.744353,30.270994,307.3,178.4,146,,4.6
2016-07-05 03:10:25,-97.744333,30.271025,311.3,178.6,146,,4.4
2016-07-05 03:10:26,-97.744318,30.271053,314.7,178.8,147,,4.1
2016-07-05 03:10:27,-97.744303,30.271083,318.3,178.8,147,,4.0
2016-07-05 03:10:28,-97.744289,30.271113,322.0,178.8,147,,3.8
2016-07-05 03:10:29,-97.744273,30.271148,326.1,179.0,147,,3.8
2016-07-05 03:10:30,-97.744261,30.271178,329.5,179.2,146,,3.6
2016-07-05 03:10:31,-97.74425,30.271203,332.5,179.2,145,,3.6
2016-07-05 03:10:32,-97.744241,30.271224,335.1,179.4,145,,3.4
2016-07-05 03:10:33,-97.744234,30.271244,337.4,179.6,145,,3.1
2016-07-05 03:10:34,-97.744228,30.271262,339.4,179.6,145,,2.7
2016-07-05 03:10:35,-97.744223,30.271277,341.1,179.6,145,,2.3
2016-07-05 03:10:36,-97.744216,30.271297,343.5,179.8,145,,2.2
2016-07-05 03:10:37,-97.74421,30.271311,345.2,179.8,144,,2.0
2016-07-05 03:10:38,-97.744206,30.271326,346.8,179.8,144,,1.9
2016-07-05 03:10:39,-97.7442,30.27134,348.4,180.0,144,,1.8
2016-07-05 03:10:40,-97.744194,30.271352,349.9,180.0,143,,1.8
2016-07-05 03:10:41,-97.744189,30.271369,351.9,180.0,144,,1.7
2016-07-05 03:10:42,-97.744181,30.271389,354.2,180.2,144,,1.8
2016-07-05 03:10:43,-97.74417,30.271415,357.3,180.2,143,,2.1
2016-07-05 03:10:44,-97.744158,30.271443,360.6,180.2,143,,2.4
2016-07-05 03:10:45,-97.744147,30.271473,364.1,180.2,142,,2.8
2016-07-05 03:10:46,-97.744135,30.271504,367.7,180.4,142,,3.2
2016-07-05 03:10:47,-97.744123,30.271535,371.3,180.4,142,,3.4
2016-07-05 03:10:48,-97.74411,30.271572,375.6,180.6,142,,3.7
2016-07-05 03:10:49,-97.744098,30.271613,380.2,180.8,142,,3.9
2016-07-05 03:10:50,-97.744086,30.271651,384.6,180.8,143,,4.1
2016-07-05 03:10:51,-97.744072,30.271689,389.1,181.0,143,,4.3
2016-07-05 03:10:52,-97.744061,30.271721,392.8,181.0,143,,4.3
2016-07-05 03:10:53,-97.744046,30.271759,397.2,180.8,143,,4.3
2016-07-05 03:10:54,-97.74403,30.271797,401.7,181.0,144,,4.3
2016-07-05 03:10:55,-97.744016,30.271832,405.9,181.0,144,,4.3
2016-07-05 03:10:56,-97.743999,30.271869,410.2,181.2,144,,4.2
2016-07-05 03:10:57,-97.743981,30.271902,414.2,181.2,144,,4.3
2016-07-05 03:10:58,-97.743964,30.271936,418.4,181.4,143,,4.2
2016-07-05 03:10:59,-97.743946,30.271975,423.0,181.4,143,,4.3
2016-07-05 03:11:00,-97.743931,30.272009,427.0,181.6,143,,4.2
2016-07-05 03:11:01,-97.743917,30.272041,430.8,181.6,144,,4.1
2016-07-05 03:11:02,-97.743906,30.27207,434.3,181.6,144,,4.0
2016-07-05 03:11:03,-97.743892,30.272104,438.2,181.6,144,,4.0
2016-07-05 03:11:04,-97.743878,30.272131,441.6,181.6,144,,3.7
2016-07-05 03:11:05,-97.743862,30.272164,445.5,181.6,143,,3.7
2016-07-05 03:11:06,-97.743852,30.272194,448.9,181.6,142,,3.6
2016-07-05 03:11:07,-97.743845,30.27222,451.9,181.6,142,,3.5
2016-07-05 03:11:08,-97.743834,30.272253,455.7,181.6,143,,3.5
2016-07-05 03:11:09,-97.743818,30.27229,460.0,181.8,142,,3.7
2016-07-05 03:11:10,-97.743803,30.27233,464.7,182.0,142,,3.8
2016-07-05 03:11:11,-97.743787,30.272371,469.5,182.2,142,,4.1
2016-07-05 03:11:12,-97.743774,30.272407,473.7,182.4,143,,4.4
2016-07-05 03:11:13,-97.743759,30.27245,478.6,182.6,143,,4.6
2016-07-05 03:11:14,-97.743745,30.27249,483.3,182.6,144,,4.7
2016-07-05 03:11:15,-97.743727,30.272532,488.2,182.8,145,,4.7
2016-07-05 03:11:16,-97.743712,30.272571,492.8,182.8,145,,4.7
2016-07-05 03:11:17,-97.743697,30.272613,497.7,182.8,146,,4.8
2016-07-05 03:11:18,-97.74368,30.272656,502.8,183.0,147,,4.8
2016-07-05 03:11:19,-97.743665,30.2727,507.8,183.0,148,,4.9
2016-07-05 03:11:20,-97.743648,30.272741,512.6,183.0,148,,4.9
2016-07-05 03:11:21,-97.743632,30.272782,517.5,183.0,149,,4.9
2016-07-05 03:11:22,-97.743618,30.272817,521.6,183.0,150,,4.8
2016-07-05 03:11:23,-97.743601,30.272863,526.9,183.2,150,,4.8
2016-07-05 03:11:24,-97.743585,30.272908,532.1,183.0,150,,4.9
2016-07-05 03:11:25,-97.743569,30.272953,537.4,183.0,151,,5.0
2016-07-05 03:11:26,-97.743552,30.273,542.8,183.0,151,,5.1
2016-07-05 03:11:27,-97.743537,30.273041,547.7,183.0,151,,5.2
2016-07-05 03:11:28,-97.743523,30.273078,551.9,182.8,151,,5.0
2016-07-05 03:11:29,-97.743509,30.273112,555.9,182.6,150,,4.8
2016-07-05 03:11:30,-97.7435,30.273137,558.8,182.6,150,,4.3
2016-07-05 03:11:31,-97.74349,30.273157,561.2,182.4,148,,3.7
2016-07-05 03:11:32,-97.743482,30.273171,563.0,182.2,148,,3.1
2016-07-05 03:11:33,-97.743471,30.273187,565.0,182.0,146,,2.6
2016-07-05 03:11:34,-97.743464,30.273199,566.5,182.0,145,,2.1
2016-07-05 03:11:35,-97.743458,30.273211,568.0,181.8,143,,1.8
2016-07-05 03:11:36,-97.743454,30.273221,569.2,181.8,141,,1.6
2016-07-05 03:11:37,-97.743453,30.273227,569.8,181.8,140,,1.4
2016-07-05 03:11:38,-97.743453,30.273226,569.8,181.6,139,,1.0
2016-07-05 03:12:03,-97.743425,30.273254,569.8,181.4,129,,0.0
2016-07-05 03:12:04,-97.743415,30.273272,571.9,181.4,129,,0.1
2016-07-05 03:12:05,-97.743403,30.27331,576.4,181.4,128,,0.2
2016-07-05 03:12:06,-97.743392,30.273345,580.4,181.4,127,,0.4
2016-07-05 03:12:07,-97.74338,30.273381,584.4,181.4,125,,0.5
2016-07-05 03:12:08,-97.743365,30.273423,589.4,181.4,125,,0.5
2016-07-05 03:12:09,-97.743348,30.273469,594.7,181.4,124,,0.5
2016-07-05 03:12:10,-97.743334,30.273509,599.3,181.4,124,,4.6
2016-07-05 03:12:11,-97.743318,30.273555,604.7,181.2,124,,4.9
2016-07-05 03:12:12,-97.743305,30.273591,608.8,181.0,125,,4.9
2016-07-05 03:12:13,-97.743288,30.273636,614.1,180.8,126,,4.9
2016-07-05 03:12:14,-97.743272,30.273682,619.4,180.6,127,,4.9
2016-07-05 03:12:15,-97.743257,30.273725,624.4,180.2,128,,5.0
2016-07-05 03:12:16,-97.743243,30.273767,629.3,180.0,129,,4.9
2016-07-05 03:12:17,-97.743225,30.273814,634.8,180.0,129,,5.2
2016-07-05 03:12:18,-97.743209,30.273861,640.2,180.0,129,,5.2
2016-07-05 03:12:19,-97.743192,30.273904,645.3,180.4,129,,5.2
2016-07-05 03:12:20,-97.743175,30.273952,650.8,180.6,130,,5.3
2016-07-05 03:12:21,-97.743161,30.274001,656.4,180.8,131,,5.4
2016-07-05 03:12:22,-97.743147,30.274043,661.2,181.2,132,,5.3
2016-07-05 03:12:23,-97.743128,30.274097,667.5,181.6,133,,5.5
2016-07-05 03:12:24,-97.74311,30.274147,673.3,181.8,134,,5.6
2016-07-05 03:12:25,-97.74309,30.274199,679.3,182.2,135,,5.7
2016-07-05 03:12:26,-97.743072,30.27425,685.3,182.4,136,,5.8
2016-07-05 03:12:27,-97.743055,30.274299,690.9,182.6,137,,5.9
2016-07-05 03:12:28,-97.743038,30.274346,696.4,182.6,138,,5.8
2016-07-05 03:12:29,-97.743015,30.274404,703.2,182.8,140,,6.0
2016-07-05 03:12:30,-97.742993,30.274455,709.2,183.0,141,,6.0
2016-07-05 03:12:31,-97.742973,30.274508,715.4,183.0,141,,6.0
2016-07-05 03:12:32,-97.742954,30.274557,721.2,183.0,142,,6.1
2016-07-05 03:12:33,-97.742931,30.274614,727.8,183.0,143,,6.3
2016-07-05 03:12:34,-97.742909,30.274669,734.3,182.8,143,,6.2
