time,longitude,latitude,distance,elevation,hr_value,cadence,Speed
2016-07-05 00:44:20,-97.732728,30.311426,6.0,176.2,103,,0.0
2016-07-05 00:44:21,-97.732741,30.311387,10.5,176.2,103,,0.0
2016-07-05 00:44:22,-97.732755,30.311331,16.9,176.2,102,,0.0
2016-07-05 00:44:23,-97.732777,30.311283,22.5,176.0,101,,5.5
2016-07-05 00:44:24,-97.732797,30.311235,28.3,176.0,101,,5.6
2016-07-05 00:44:25,-97.732813,30.311188,33.7,175.8,101,,5.5
2016-07-05 00:44:26,-97.732828,30.311151,38.0,176.0,101,,5.5
2016-07-05 00:44:27,-97.732846,30.311122,41.6,175.6,101,,4.9
2016-07-05 00:44:28,-97.732861,30.31109,45.5,175.6,102,,4.6
2016-07-05 00:44:29,-97.732873,30.311062,48.8,175.4,101,,4.1
2016-07-05 00:44:30,-97.732884,30.311035,52.0,175.4,101,,3.7
2016-07-05 00:44:31,-97.732893,30.311022,53.6,175.2,99,,3.1
2016-07-05 00:44:32,-97.732906,30.311005,55.9,175.2,98,,2.9
2016-07-05 00:44:33,-97.732926,30.310987,58.5,175.2,98,,2.6
2016-07-05 00:44:34,-97.732937,30.310981,59.6,175.2,98,,2.2
2016-07-05 00:44:35,-97.732949,30.310975,60.6,175.2,99,,1.7
2016-07-05 00:44:36,-97.73296,30.310969,61.7,175.2,99,,1.6
2016-07-05 00:44:37,-97.732972,30.310962,62.7,175.4,99,,1.4
2016-07-05 00:44:38,-97.732983,30.310956,63.7,175.4,100,,1.0
2016-07-05 00:45:24,-97.732995,30.31095,64.8,175.0,88,,0.0
2016-07-05 00:45:25,-97.733006,30.310944,65.8,175.0,90,,0.0
2016-07-05 00:45:26,-97.73303,30.310904,70.8,175.0,92,,0.1
2016-07-05 00:45:27,-97.733054,30.310863,75.8,175.0,94,,0.2
2016-07-05 00:45:28,-97.733072,30.310826,80.3,175.0,96,,0.3
2016-07-05 00:45:29,-97.73309,30.310786,85.0,175.0,97,,0.3
2016-07-05 00:45:30,-97.733112,30.310739,90.7,175.0,98,,0.3
2016-07-05 00:45:31,-97.733135,30.310701,95.5,175.0,100,,4.9
2016-07-05 00:45:32,-97.733165,30.310656,101.3,175.0,100,,5.1
2016-07-05 00:45:33,-97.733193,30.310611,106.9,175.0,101,,5.3
2016-07-05 00:45:34,-97.733222,30.310566,112.6,175.0,102,,5.5
2016-07-05 00:45:35,-97.733248,30.310523,118.0,175.0,102,,5.5
2016-07-05 00:45:36,-97.733283,30.310474,124.4,175.0,102,,5.8
2016-07-05 00:45:37,-97.733317,30.310426,130.6,175.0,103,,5.9
2016-07-05 00:45:38,-97.733348,30.31038,136.5,174.8,104,,5.9
2016-07-05 00:45:39,-97.733379,30.310335,142.3,174.8,104,,5.9
2016-07-05 00:45:40,-97.733408,30.31029,148.0,174.6,104,,6.0
2016-07-05 00:45:41,-97.733431,30.310256,152.4,174.6,104,,5.6
2016-07-05 00:45:42,-97.733468,30.3102,159.6,174.4,105,,5.8
2016-07-05 00:45:43,-97.733497,30.310153,165.5,174.6,105,,5.8
2016-07-05 00:45:44,-97.733528,30.310105,171.5,174.4,106,,5.8
2016-07-05 00:45:45,-97.73356,30.310057,177.7,174.4,107,,5.9
2016-07-05 00:45:46,-97.733588,30.310013,183.3,174.4,108,,6.2
2016-07-05 00:45:47,-97.733614,30.309973,188.4,174.4,109,,5.8
2016-07-05 00:45:48,-97.733651,30.309912,196.0,174.2,110,,6.1
2016-07-05 00:45:49,-97.733683,30.309862,202.3,174.4,111,,6.2
2016-07-05 00:45:50,-97.733713,30.309815,208.4,174.2,112,,6.1
2016-07-05 00:45:51,-97.733744,30.309768,214.4,174.2,112,,6.2
2016-07-05 00:45:52,-97.733777,30.309715,221.0,174.2,112,,6.5
2016-07-05 00:45:53,-97.733807,30.30967,226.7,174.2,112,,6.1
2016-07-05 00:45:54,-97.733841,30.309619,233.3,174.4,112,,6.2
2016-07-05 00:45:55,-97.733872,30.309569,239.6,174.2,112,,6.2
2016-07-05 00:45:56,-97.733902,30.309523,245.4,174.2,112,,6.2
2016-07-05 00:45:57,-97.733935,30.309473,251.9,174.2,113,,6.2
2016-07-05 00:45:58,-97.733967,30.309423,258.1,174.2,113,,6.3
2016-07-05 00:45:59,-97.733997,30.309376,264.2,174.0,113,,6.2
2016-07-05 00:46:00,-97.73403,30.309325,270.6,174.2,114,,6.2
2016-07-05 00:46:01,-97.734061,30.309276,276.8,174.2,116,,6.3
2016-07-05 00:46:02,-97.734092,30.309227,283.0,174.0,117,,6.2
