time,longitude,latitude,distance,elevation,hr_value,cadence,Speed,Watts
2016-09-18 14:13:11,-97.732671,30.313245,3.5,199.2,93,114,0.0,5
2016-09-18 14:13:12,-97.732663,30.313209,7.1,199.2,93,0,0.0,3
2016-09-18 14:13:13,-97.73267,30.313183,10.8,199.4,94,0,3.7,3
2016-09-18 14:13:14,-97.732671,30.313145,14.7,199.4,94,0,3.7,1
2016-09-18 14:13:15,-97.73268,30.313109,18.7,199.4,94,0,3.8,0
2016-09-18 14:13:16,-97.732681,30.313076,22.7,199.4,93,0,3.8,0
2016-09-18 14:13:17,-97.732676,30.313041,26.8,199.4,93,0,3.9,0
2016-09-18 14:13:18,-97.732653,30.313009,31.0,199.2,93,0,4.0,0
2016-09-18 14:13:19,-97.732644,30.312971,35.1,199.2,93,0,4.1,0
2016-09-18 14:13:20,-97.732623,30.312934,39.5,199.2,93,0,4.2,0
2016-09-18 14:13:21,-97.73261,30.312897,44.0,198.8,93,0,4.3,1
2016-09-18 14:13:22,-97.732604,30.312857,48.4,198.6,92,0,4.3,0
2016-09-18 14:13:23,-97.7326,30.312818,52.6,198.6,92,0,4.3,0
2016-09-18 14:13:24,-97.732599,30.312781,56.8,198.6,92,0,4.3,95
2016-09-18 14:13:25,-97.732602,30.312737,61.3,198.4,92,82,4.4,93
2016-09-18 14:13:26,-97.732606,30.312698,65.9,198.6,92,68,4.4,84
2016-09-18 14:13:27,-97.732614,30.312654,70.8,198.4,92,78,4.5,13
2016-09-18 14:13:28,-97.73262,30.312607,75.8,198.4,93,0,4.6,0
2016-09-18 14:13:29,-97.732624,30.312564,80.6,198.4,93,0,4.8,0
2016-09-18 14:13:30,-97.732628,30.312522,85.5,198.4,92,0,4.8,0
2016-09-18 14:13:31,-97.732635,30.312479,90.4,198.4,92,0,4.9,0
2016-09-18 14:13:32,-97.732639,30.312433,95.2,198.8,91,0,4.9,0
2016-09-18 14:13:33,-97.732642,30.312388,100.1,199.2,91,0,4.9,0
2016-09-18 14:13:34,-97.732646,30.312344,105.0,199.0,90,0,4.9,38
2016-09-18 14:13:35,-97.73265,30.312299,110.0,199.0,90,106,4.9,110
2016-09-18 14:13:36,-97.732656,30.312258,115.1,199.2,90,72,4.9,109
2016-09-18 14:13:37,-97.732667,30.312207,120.6,199.0,90,72,5.1,133
2016-09-18 14:13:38,-97.732672,30.312155,126.2,199.0,91,75,5.2,118
2016-09-18 14:13:39,-97.732678,30.312103,132.0,198.6,92,80,5.4,106
2016-09-18 14:13:40,-97.732683,30.312049,137.9,198.4,93,82,5.6,104
2016-09-18 14:13:41,-97.732693,30.312,144.0,198.4,94,83,5.8,103
2016-09-18 14:13:42,-97.732705,30.311946,150.2,198.2,95,84,5.9,86
2016-09-18 14:13:43,-97.732716,30.311886,156.4,198.0,96,85,6.0,98
2016-09-18 14:13:44,-97.732728,30.311829,162.8,198.0,97,83,6.2,84
2016-09-18 14:13:45,-97.732741,30.311769,169.4,197.8,97,77,6.3,93
2016-09-18 14:13:46,-97.732753,30.311714,176.1,197.6,97,93,6.4,98
2016-09-18 14:13:47,-97.732773,30.311654,182.9,197.4,98,94,6.5,108
2016-09-18 14:13:48,-97.732788,30.311594,189.8,197.2,98,86,6.7,104
2016-09-18 14:13:49,-97.732808,30.311527,196.9,197.0,98,85,6.8,45
2016-09-18 14:13:50,-97.732827,30.311466,203.9,197.0,99,90,6.9,0
2016-09-18 14:13:51,-97.732848,30.311409,210.9,196.8,98,0,7.0,40
2016-09-18 14:13:52,-97.73287,30.311346,218.0,196.8,98,131,7.0,124
2016-09-18 14:13:53,-97.732894,30.311279,225.2,196.8,99,88,7.1,112
2016-09-18 14:13:54,-97.732918,30.311219,232.5,196.6,98,88,7.1,110
2016-09-18 14:13:55,-97.732947,30.311154,239.7,196.4,98,131,7.2,0
2016-09-18 14:13:56,-97.732971,30.311096,246.9,196.4,98,0,7.2,0
2016-09-18 14:13:57,-97.733,30.311036,254.0,196.4,98,0,7.2,2
2016-09-18 14:13:58,-97.733032,30.310977,260.9,196.4,98,0,7.1,0
2016-09-18 14:13:59,-97.733062,30.310922,267.8,196.4,99,0,7.1,65
2016-09-18 14:14:00,-97.733092,30.31087,274.8,196.6,99,46,7.0,159
2016-09-18 14:14:01,-97.733124,30.310813,281.8,196.6,99,84,7.0,103
2016-09-18 14:14:02,-97.733159,30.310757,288.9,196.8,99,83,7.0,119
2016-09-18 14:14:03,-97.733197,30.310697,296.0,197.0,99,86,7.0,105
2016-09-18 14:14:04,-97.733232,30.310641,303.2,197.0,100,83,7.1,102
2016-09-18 14:14:05,-97.733263,30.310591,310.3,197.0,100,86,7.1,104
2016-09-18 14:14:06,-97.733299,30.310533,317.6,197.2,101,86,7.2,102
